Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2013,Dec 201415m,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2014,Mar 2016
Quarterly Results,Sales,294,308,341,482,350,326,381,326,322,387,382,334,343,,,,,,,,,,
Quarterly Results,Expenses,232,305,368,462,269,330,409,285,241,372,393,305,254,,,,,,,,,,
Quarterly Results,Operating Profit,62,3,-27,19,81,-3,-29,41,81,15,-10,29,89,,,,,,,,,,
Quarterly Results,OPM %,21%,1%,-8%,4%,23%,-1%,-8%,13%,25%,4%,-3%,9%,26%,,,,,,,,,,
Quarterly Results,Other Income,-2,-0,1,1,0,1,26,0,1,1,0,64,5,,,,,,,,,,
Quarterly Results,Interest,7,9,9,4,6,10,7,3,10,13,8,1,7,,,,,,,,,,
Quarterly Results,Depreciation,10,9,8,9,9,8,8,9,10,8,8,9,9,,,,,,,,,,
Quarterly Results,Profit before tax,42,-15,-43,7,66,-20,-18,29,63,-6,-27,83,78,,,,,,,,,,
Quarterly Results,Tax %,27%,-22%,-24%,26%,21%,-24%,-38%,39%,25%,-21%,-24%,13%,21%,,,,,,,,,,
Quarterly Results,Net Profit,31,-12,-32,5,52,-16,-11,18,47,-5,-20,73,62,,,,,,,,,,
Quarterly Results,EPS in Rs,7.94,-3.04,-8.29,1.36,13.33,-3.99,-2.92,4.50,12.04,-1.17,-5.16,18.54,15.77,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1478,,,,1482,,,,1355,,,,1446,1342,1399,1485,1191,1344,1165,1161,1469,,
Profit & Loss,Expenses,1373,,,,1405,,,,1265,,,,1324,1398,1452,1379,1022,1301,1050,1109,1372,,
Profit & Loss,Operating Profit,105,,,,77,,,,90,,,,122,-57,-52,106,169,43,115,52,96,,
Profit & Loss,OPM %,7%,,,,5%,,,,7%,,,,8%,-4%,-4%,7%,14%,3%,10%,4%,7%,,
Profit & Loss,Other Income,-2,,,,2,,,,28,,,,70,30,9,10,356,27,11,17,92,,
Profit & Loss,Interest,26,,,,28,,,,30,,,,30,91,77,77,51,38,24,27,35,,
Profit & Loss,Depreciation,40,,,,36,,,,35,,,,34,50,61,38,30,24,33,56,48,,
Profit & Loss,Profit before tax,38,,,,15,,,,53,,,,129,-168,-181,1,443,7,69,-13,105,,
