Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,48.20%,48.20%,48.20%,48.20%,48.20%,48.63%,48.68%,48.68%,48.68%,47.94%,48.12%,48.12%
Shareholding Pattern (Quarterly),FIIs,2.21%,0.67%,5.80%,5.76%,6.49%,6.60%,4.81%,4.27%,5.10%,5.25%,4.31%,5.81%
Shareholding Pattern (Quarterly),DIIs,7.14%,7.15%,8.63%,8.65%,8.73%,7.25%,8.26%,13.02%,13.19%,14.15%,14.06%,14.53%
Shareholding Pattern (Quarterly),Public,42.45%,43.97%,37.37%,37.39%,36.57%,37.54%,38.26%,34.05%,33.03%,32.66%,33.51%,31.55%
Shareholding Pattern (Quarterly),No. of Shareholders,24351,22800,22255,22260,26210,38977,45875,47062,57273,50831,58065,58842
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,48.20%,,,,48.68%,,,,48.12%
Shareholding Pattern (Yearly),FIIs,,,,5.76%,,,,4.27%,,,,5.81%
Shareholding Pattern (Yearly),DIIs,,,,8.65%,,,,13.02%,,,,14.53%
Shareholding Pattern (Yearly),Public,,,,37.39%,,,,34.05%,,,,31.55%
Shareholding Pattern (Yearly),No. of Shareholders,,,,22260,,,,47062,,,,58842
,,,,,,,,,,,,,
