Section,,Mar 2009,Mar 2008,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,1.61%,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,83.33%,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2.17,2.60,1.37,1.28,0.13,0.07,0.06,0.04,0.01,0.02,0.02,0.05,,,,,,,,,,,,,,,
Profit & Loss,Expenses,2.02,3.17,2.09,3.14,1.09,1.50,0.18,0.14,0.14,32.79,0.11,0.12,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,0.15,-0.57,-0.72,-1.86,-0.96,-1.43,-0.12,-0.10,-0.13,-32.77,-0.09,-0.07,,,,,,,,,,,,,,,
Profit & Loss,OPM %,6.91%,-21.92%,-52.55%,-145.31%,-738.46%,-2042.86%,-200.00%,-250.00%,-1300.00%,-163850.00%,-450.00%,-140.00%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,0.39,0.44,0.39,0.49,0.85,0.43,0.04,0.00,0.00,1.47,0.00,-0.97,,,,,,,,,,,,,,,
Profit & Loss,Interest,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,0.26,0.24,0.21,0.21,0.21,0.01,0.01,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,0.27,-0.38,-0.55,-1.59,-0.32,-1.01,-0.09,-0.10,-0.13,-31.30,-0.09,-1.04,,,,,,,,,,,,,,,
Profit & Loss,Tax %,29.63%,13.16%,18.18%,11.32%,46.88%,10.89%,55.56%,50.00%,107.69%,-0.22%,0.00%,0.00%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,0.19,-0.43,-0.65,-1.77,-0.47,-1.12,-0.14,-0.14,-0.27,-31.23,-0.09,-1.04,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.01,-0.03,-0.03,-0.09,-0.02,-0.05,-0.01,-0.01,-0.01,-1.53,-0.00,-0.05,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7.51,5.83,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,,,,,,,,,,,,,,,
Balance Sheet,Reserves,26.67,22.55,24.11,22.13,24.71,25.17,27.49,28.62,30.08,-0.56,-0.64,-1.68,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,0.03,0.03,0.00,0.00,7.00,7.00,7.00,7.00,7.00,7.00,3.40,0.05,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,4.19,2.73,4.32,6.78,3.53,3.68,4.02,4.09,3.81,1.29,3.86,1.32,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,38.40,31.14,37.04,37.52,43.85,44.46,47.12,48.32,49.50,16.34,15.23,8.30,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,2.87,3.13,2.66,2.44,1.07,1.06,1.05,0.97,0.97,0.97,0.97,0.00,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Balance Sheet,Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,35.53,28.01,34.38,35.08,42.78,43.40,46.07,47.35,48.53,15.37,14.26,8.30,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,38.40,31.14,37.04,37.52,43.85,44.46,47.12,48.32,49.50,16.34,15.23,8.30,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0.03,1.99,2.73,3.20,-11.91,,-1.36,-2.16,-1.82,-0.61,0.00,0.03,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,0.09,-5.80,-4.74,-0.19,4.57,,2.59,0.99,1.78,0.60,0.00,0.00,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,0.00,-0.06,1.95,-2.57,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,0.06,-3.87,-0.06,0.44,-0.34,,1.23,-1.17,-0.04,-0.01,0.00,0.03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,3967.90,2470.77,5498.98,5894.18,64296.15,119407.14,152813.33,246010.00,1019810.00,1825.00,730.00,438.00,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,3967.90,2470.77,5498.98,5894.18,64296.15,119407.14,152813.33,246010.00,1019810.00,1825.00,730.00,438.00,,,,,,,,,,,,,,,
Ratios,Working Capital Days,5254.65,3543.31,7998.03,5281.09,83304.23,131973.57,128601.67,209053.75,882205.00,128845.00,127385.00,50516.00,,,,,,,,,,,,,,,
Ratios,ROCE %,0.89%,-1.39%,-1.61%,-4.98%,-0.87%,-2.47%,-0.21%,-0.23%,-0.29%,-103.06%,-0.68%,-0.76%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,39.42%,39.80%,40.90%,40.90%,40.90%,40.90%,40.90%,38.71%,34.35%,26.48%,26.48%,26.48%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,0.05%,0.05%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,60.53%,60.14%,59.09%,59.08%,58.82%,59.10%,59.10%,61.29%,65.65%,73.51%,73.51%,73.50%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,3574,3538,3525,3491,7431,24514,41679,71071,87221,110833,144825,149477,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,39.42%,39.42%,39.42%,,,,40.90%,,,,38.71%,,,,26.48%,39.42%,39.42%,39.42%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,0.05%,0.05%,0.05%,,,,0.01%,,,,0.00%,,,,0.00%,0.05%,0.05%,0.05%
Shareholding Pattern (Yearly),Public,,,,,,,,,,60.53%,60.53%,60.53%,,,,59.08%,,,,61.29%,,,,73.50%,60.53%,60.53%,60.53%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,3717,3521,3523,,,,3491,,,,71071,,,,149477,3549,3644,3609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
