Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201415m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,866,940,897,865,986,930,999,1006,1044,1088,1167,1154,1190,,,,,,,,,
Quarterly Results,Expenses,868,936,844,892,871,796,889,876,874,882,983,943,973,,,,,,,,,
Quarterly Results,Operating Profit,-1,4,53,-27,115,134,111,129,169,205,184,210,218,,,,,,,,,
Quarterly Results,OPM %,-0%,0%,6%,-3%,12%,14%,11%,13%,16%,19%,16%,18%,18%,,,,,,,,,
Quarterly Results,Other Income,9,-52,57,68,20,3,-129,60,-27,9,25,4,-12,,,,,,,,,
Quarterly Results,Interest,49,55,68,58,81,76,79,70,71,80,74,52,50,,,,,,,,,
Quarterly Results,Depreciation,61,60,62,60,61,60,60,49,48,49,48,48,49,,,,,,,,,
Quarterly Results,Profit before tax,-103,-163,-20,-78,-7,0,-157,70,23,85,86,114,106,,,,,,,,,
Quarterly Results,Tax %,-128%,-17%,-197%,5%,106%,3025%,-5%,23%,55%,20%,16%,21%,20%,,,,,,,,,
Quarterly Results,Net Profit,29,-135,19,-82,-14,-9,-149,54,10,68,72,90,86,,,,,,,,,
Quarterly Results,EPS in Rs,3.25,-15.13,2.53,-8.86,-1.06,-0.79,-14.54,5.40,1.98,7.64,7.81,9.54,8.91,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3070,,,,3688,,,,4051,,,,4565,1341,1196,2861,2755,2845,2178,2752,3316,
Profit & Loss,Expenses,3201,,,,3544,,,,3484,,,,3763,1567,967,2486,2228,2448,1982,2351,2779,
Profit & Loss,Operating Profit,-131,,,,145,,,,568,,,,803,-226,229,374,527,398,197,401,537,
Profit & Loss,OPM %,-4%,,,,4%,,,,14%,,,,18%,-17%,19%,13%,19%,14%,9%,15%,16%,
Profit & Loss,Other Income,-112,,,,92,,,,-95,,,,3313,3281,874,63,291,643,303,-30,109,
Profit & Loss,Interest,177,,,,261,,,,314,,,,249,109,47,168,183,196,79,156,150,
Profit & Loss,Depreciation,233,,,,243,,,,221,,,,192,56,64,131,126,154,117,174,206,
