Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Dec 2019,Mar 2021
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3.68,2.94,1.51,0.68,52.97,47.46,46.63,38.51,33.35,28.64,23.43,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,4.46,4.94,2.90,2.87,51.02,55.75,47.36,37.84,42.42,148.09,26.37,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-0.78,-2.00,-1.39,-2.19,1.95,-8.29,-0.73,0.67,-9.07,-119.45,-2.94,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-21.20%,-68.03%,-92.05%,-322.06%,3.68%,-17.47%,-1.57%,1.74%,-27.20%,-417.07%,-12.55%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,3.54,3.81,5.07,5.59,5.31,4.66,3.54,3.28,3.43,3.29,3.33,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0.45,0.40,0.29,0.02,3.14,4.98,4.73,2.79,11.71,8.69,6.09,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,0.77,0.77,0.60,0.64,1.24,8.29,6.54,1.13,1.17,1.50,0.83,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,1.54,0.64,2.79,2.74,2.88,-16.90,-8.46,0.03,-18.52,-126.35,-6.53,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,18.83%,23.44%,22.58%,35.04%,34.72%,5.98%,-2.72%,-300.00%,-2.81%,0.55%,1.99%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,1.25,0.49,2.16,1.78,1.88,-17.91,-8.23,0.12,-18.01,-127.05,-6.67,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,2.71,-18.81,-8.61,0.13,-18.85,-132.97,-6.98,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,28.80%,48.98%,27.78%,16.85%,18.43%,-1.06%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6.00,6.00,6.00,6.00,6.93,9.52,9.56,9.56,9.56,9.56,9.56,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,14.41,14.66,16.22,17.70,37.49,47.66,46.28,42.17,62.89,-90.25,-130.77,,,,,,,,,,,,,,,,,
