Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,
Shareholding Pattern (Quarterly),FIIs,9.80%,9.26%,7.67%,7.20%,6.29%,5.57%,5.09%,5.12%,5.12%,4.21%,3.70%,4.08%,
Shareholding Pattern (Quarterly),DIIs,8.80%,7.84%,3.73%,4.74%,5.48%,6.83%,5.58%,5.92%,5.99%,6.14%,6.08%,3.52%,
Shareholding Pattern (Quarterly),Public,6.40%,7.91%,13.60%,13.07%,13.25%,12.60%,14.34%,13.97%,13.90%,14.65%,15.22%,17.41%,
Shareholding Pattern (Quarterly),No. of Shareholders,85315,83367,81802,77993,74906,67998,68897,65150,63919,64495,64460,64104,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,75.00%,,,,75.00%,,,,75.00%,75.00%
Shareholding Pattern (Yearly),FIIs,,,,7.20%,,,,5.12%,,,,4.08%,10.00%
Shareholding Pattern (Yearly),DIIs,,,,4.74%,,,,5.92%,,,,3.52%,9.06%
Shareholding Pattern (Yearly),Public,,,,13.07%,,,,13.97%,,,,17.41%,5.94%
Shareholding Pattern (Yearly),No. of Shareholders,,,,77993,,,,65150,,,,64104,88284
,,,,,,,,,,,,,,
