Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,49.61,29.14,23.43,4.78,54.45,5.96,20.58,15.21,54.78,11.76,23.46,20.81,60.08,,,,,
Quarterly Results,Expenses,47.05,27.87,22.27,3.94,52.11,5.90,19.36,14.23,50.87,10.75,20.69,17.66,56.56,,,,,
Quarterly Results,Operating Profit,2.56,1.27,1.16,0.84,2.34,0.06,1.22,0.98,3.91,1.01,2.77,3.15,3.52,,,,,
Quarterly Results,OPM %,5.16%,4.36%,4.95%,17.57%,4.30%,1.01%,5.93%,6.44%,7.14%,8.59%,11.81%,15.14%,5.86%,,,,,
Quarterly Results,Other Income,0.29,-0.06,0.16,0.20,0.11,1.14,0.39,1.00,-2.71,0.59,0.93,0.17,0.32,,,,,
Quarterly Results,Interest,1.09,0.87,0.96,0.97,1.13,1.06,1.08,1.16,1.15,0.93,0.65,0.63,0.52,,,,,
Quarterly Results,Depreciation,0.16,0.16,0.21,0.19,0.23,0.22,0.22,0.22,0.22,0.24,0.30,0.27,0.27,,,,,
Quarterly Results,Profit before tax,1.60,0.18,0.15,-0.12,1.09,-0.08,0.31,0.60,-0.17,0.43,2.75,2.42,3.05,,,,,
Quarterly Results,Tax %,44.38%,50.00%,20.00%,-41.67%,34.86%,0.00%,6.45%,5.00%,23.53%,4.65%,19.27%,18.18%,25.90%,,,,,
Quarterly Results,Net Profit,0.88,0.08,0.12,-0.08,0.71,-0.08,0.29,0.56,-0.22,0.41,2.22,1.97,2.25,,,,,
Quarterly Results,EPS in Rs,0.73,0.07,0.10,-0.07,0.59,-0.07,0.24,0.47,-0.18,0.35,1.46,1.30,1.48,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,86,,,,112,,,,97,,,,116,79,102,93,71,78
Profit & Loss,Expenses,81,,,,106,,,,90,,,,106,72,95,86,70,70
Profit & Loss,Operating Profit,5,,,,6,,,,6,,,,11,7,7,7,1,8
Profit & Loss,OPM %,5%,,,,5%,,,,6%,,,,9%,9%,7%,7%,2%,10%
Profit & Loss,Other Income,1,,,,0,,,,-0,,,,2,1,1,1,0,-2
Profit & Loss,Interest,3,,,,4,,,,5,,,,3,2,1,2,3,4
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,1,0,0,0,1,1
Profit & Loss,Profit before tax,2,,,,1,,,,1,,,,9,5,6,5,-2,2
Profit & Loss,Tax %,53%,,,,36%,,,,17%,,,,21%,17%,22%,32%,54%,80%
Profit & Loss,Net Profit,1,,,,1,,,,1,,,,7,4,5,4,-3,0
Profit & Loss,EPS in Rs,0.67,,,,0.68,,,,0.46,,,,4.52,5.26,4.05,3.10,-2.44,0.30
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,6%,8%,-10%,0%
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,15,4,6,6,12,12
Balance Sheet,Reserves,18,,,,19,,,,20,,,,51,5,22,26,17,17
Balance Sheet,Borrowings,24,,,,35,,,,33,,,,21,18,13,24,43,29
Balance Sheet,Other Liabilities,42,,,,35,,,,32,,,,27,36,49,51,37,37
Balance Sheet,Total Liabilities,97,,,,102,,,,97,,,,114,64,91,107,110,95
Balance Sheet,Fixed Assets,4,,,,12,,,,12,,,,12,3,3,4,25,5
Balance Sheet,CWIP,6,,,,0,,,,0,,,,0,0,0,0,6,6
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,1,0
Balance Sheet,Other Assets,87,,,,90,,,,85,,,,101,60,87,102,78,83
Balance Sheet,Total Assets,97,,,,102,,,,97,,,,114,64,91,107,110,95
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,7,,,,-7,,,,5,,,,-15,0,-7,-5,7,6
Cash Flows,Cash from Investing Activity,6,,,,6,,,,9,,,,4,0,-1,0,-23,-1
Cash Flows,Cash from Financing Activity,-6,,,,-15,,,,-12,,,,22,0,7,-2,14,-5
Cash Flows,Net Cash Flow,7,,,,-16,,,,1,,,,10,0,-0,-7,-3,-1
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,134,,,,157,,,,180,,,,203,200,173,250,205,181
Ratios,Inventory Days,129,,,,,,,,,,,,103,83,124,120,178,102
Ratios,Days Payable,72,,,,,,,,,,,,82,183,189,219,208,75
Ratios,Cash Conversion Cycle,191,,,,157,,,,180,,,,225,101,109,151,176,208
Ratios,Working Capital Days,187,,,,181,,,,200,,,,234,107,127,174,199,219
Ratios,ROCE %,10%,,,,10%,,,,13%,,,,13%,,22%,15%,1%,12%
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.49%,65.49%,65.49%,65.49%,65.49%,65.49%,65.49%,65.49%,65.49%,51.61%,51.61%,51.61%,,,,,
Shareholding Pattern (Quarterly),Public,,34.50%,34.51%,34.51%,34.51%,34.51%,34.51%,34.51%,34.51%,34.51%,48.39%,48.39%,48.39%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,2747,2750,2798,2678,2708,2549,2585,2782,3450,3051,3262,3166,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.49%,,,,65.49%,,,,65.49%,,,,51.61%,,70.00%,70.00%,65.49%,65.49%
Shareholding Pattern (Yearly),Public,34.51%,,,,34.51%,,,,34.51%,,,,48.39%,,30.00%,30.00%,34.50%,34.51%
Shareholding Pattern (Yearly),No. of Shareholders,3170,,,,2678,,,,2782,,,,3166,,149,148,532,1314
,,,,,,,,,,,,,,,,,,,
