Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1188,1134,1184,1078,1251,1212,1284,1210,1271,1166,1176,1125,1277,,,,,,
Quarterly Results,Expenses,1116,1086,1127,1033,1181,1153,1236,1150,1174,1086,1093,1040,1174,,,,,,
Quarterly Results,Operating Profit,72,48,57,45,70,58,48,60,97,79,83,85,103,,,,,,
Quarterly Results,OPM %,6%,4%,5%,4%,6%,5%,4%,5%,8%,7%,7%,8%,8%,,,,,,
Quarterly Results,Other Income,7,5,1,15,6,4,7,2,5,4,2,3,3,,,,,,
Quarterly Results,Interest,20,22,26,27,30,31,30,30,31,29,31,31,30,,,,,,
Quarterly Results,Depreciation,26,18,19,18,19,20,21,21,22,23,23,24,24,,,,,,
Quarterly Results,Profit before tax,34,13,14,14,26,11,3,11,50,31,32,33,52,,,,,,
Quarterly Results,Tax %,24%,24%,25%,26%,17%,21%,-12%,19%,24%,25%,25%,24%,25%,,,,,,
Quarterly Results,Net Profit,26,10,10,11,21,9,3,9,38,24,24,25,39,,,,,,
Quarterly Results,EPS in Rs,11.12,4.22,4.72,4.98,9.28,4.07,1.78,4.14,15.76,9.66,10.00,10.25,15.65,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3966,,,,4640,,,,4977,,,,4744,1987,2173,2563,3441,2672,2413
Profit & Loss,Expenses,3712,,,,4420,,,,4711,,,,4392,1815,1987,2364,3196,2500,2270
Profit & Loss,Operating Profit,255,,,,221,,,,266,,,,352,172,186,199,245,172,143
Profit & Loss,OPM %,6%,,,,5%,,,,5%,,,,7%,9%,9%,8%,7%,6%,6%
Profit & Loss,Other Income,16,,,,26,,,,16,,,,11,2,4,23,8,8,2
Profit & Loss,Interest,71,,,,106,,,,122,,,,122,58,48,45,66,67,59
Profit & Loss,Depreciation,101,,,,74,,,,85,,,,93,60,64,70,79,78,86
Profit & Loss,Profit before tax,98,,,,66,,,,75,,,,149,56,78,106,108,36,1
Profit & Loss,Tax %,24%,,,,22%,,,,21%,,,,25%,29%,24%,29%,30%,-33%,85%
Profit & Loss,Net Profit,74,,,,51,,,,59,,,,112,41,59,75,76,47,0
Profit & Loss,EPS in Rs,31.78,,,,23.00,,,,25.69,,,,45.39,17.07,24.58,31.15,31.79,20.39,0.76
Profit & Loss,Dividend Payout %,26%,,,,30%,,,,29%,,,,25%,26%,26%,24%,25%,28%,132%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,24,,,,24,,,,24,,,,24,12,12,12,24,24,24
Balance Sheet,Reserves,710,,,,731,,,,815,,,,898,402,457,575,616,640,637
Balance Sheet,Borrowings,876,,,,819,,,,778,,,,737,386,369,359,495,650,698
Balance Sheet,Other Liabilities,1364,,,,1474,,,,1487,,,,1530,495,532,718,880,674,1118
Balance Sheet,Total Liabilities,2974,,,,3048,,,,3104,,,,3188,1295,1369,1663,2015,1987,2476
Balance Sheet,Fixed Assets,903,,,,1060,,,,1149,,,,1295,518,526,557,710,753,883
Balance Sheet,CWIP,126,,,,114,,,,77,,,,50,17,22,65,65,198,114
Balance Sheet,Investments,24,,,,22,,,,32,,,,46,17,19,21,23,23,23
Balance Sheet,Other Assets,1921,,,,1851,,,,1845,,,,1797,743,802,1019,1216,1013,1456
Balance Sheet,Total Assets,2974,,,,3048,,,,3104,,,,3188,1295,1369,1663,2015,1987,2476
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,28,,,,370,,,,329,,,,400,148,155,131,184,184,148
Cash Flows,Cash from Investing Activity,-120,,,,-152,,,,-150,,,,-213,-69,-75,-135,-230,-242,-118
Cash Flows,Cash from Financing Activity,84,,,,-216,,,,-146,,,,-188,-82,-75,9,38,70,-31
Cash Flows,Net Cash Flow,-9,,,,3,,,,34,,,,-0,-2,5,5,-9,12,-0
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,82,,,,60,,,,53,,,,62,64,73,69,62,65,112
Ratios,Inventory Days,101,,,,95,,,,89,,,,85,84,71,78,66,81,119
Ratios,Days Payable,136,,,,124,,,,121,,,,135,104,108,103,97,99,195
Ratios,Cash Conversion Cycle,46,,,,31,,,,21,,,,12,44,37,44,31,46,36
Ratios,Working Capital Days,53,,,,34,,,,27,,,,22,42,35,40,33,33,58
Ratios,ROCE %,11%,,,,11%,,,,12%,,,,16%,,15%,15%,16%,8%,4%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,57.53%,57.53%,58.10%,58.73%,58.73%,58.31%,58.31%,58.31%,58.31%,58.31%,58.31%,58.31%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.33%,0.40%,0.40%,0.42%,0.21%,0.26%,0.19%,0.29%,0.81%,0.42%,0.34%,0.38%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,19.95%,19.98%,20.02%,20.02%,20.02%,18.81%,18.32%,13.13%,12.16%,11.99%,11.68%,11.68%,,,,,,
Shareholding Pattern (Quarterly),Public,,22.19%,22.09%,21.48%,20.83%,21.04%,22.61%,23.18%,28.27%,28.72%,29.28%,29.67%,29.63%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,16195,15785,15658,15587,15352,16245,16775,20434,21226,22686,23193,23657,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,57.53%,,,,58.73%,,,,58.31%,,,,58.31%,,75.00%,75.00%,75.00%,63.27%,57.53%
Shareholding Pattern (Yearly),FIIs,0.27%,,,,0.42%,,,,0.29%,,,,0.38%,,0.00%,0.00%,0.06%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,19.93%,,,,20.02%,,,,13.13%,,,,11.68%,,7.91%,9.10%,8.96%,18.78%,23.14%
Shareholding Pattern (Yearly),Public,22.27%,,,,20.83%,,,,28.27%,,,,29.63%,,17.10%,15.91%,15.98%,17.95%,19.34%
