Section,,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2021,Mar 2022
Quarterly Results,Sales,1614,2074,2014,1892,1786,2460,2507,3326,3360,3967,4248,3759,3287,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,1532,1998,1975,1811,1774,2299,2267,3114,3114,3654,4047,3588,3237,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,82,76,39,82,13,161,240,212,246,312,201,170,50,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,5%,4%,2%,4%,1%,7%,10%,6%,7%,8%,5%,5%,2%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,-1,-5,-11,12,3,427,6,27,25,36,18,19,35,,,,,,,,,,,,,,,,
Quarterly Results,Interest,24,23,21,16,12,9,6,3,3,5,3,4,4,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,46,46,47,43,44,44,43,49,48,47,45,48,41,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,11,3,-39,34,-41,535,197,187,219,297,171,138,41,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,27%,25%,-17%,-30%,-23%,23%,41%,25%,26%,26%,25%,25%,33%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,8,2,-32,45,-31,413,115,140,161,221,128,104,27,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.89,0.54,-7.48,10.33,-7.20,95.37,26.60,32.36,37.29,50.96,29.55,23.92,6.24,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,7595,,,,,13767,,,,15260,683,847,1055,1318,1627,,,,,,,,,,,
Profit & Loss,Expenses,,,,7316,,,,,12878,,,,14527,597,754,948,1213,1457,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,279,,,,,890,,,,733,86,93,107,104,170,,,,,,,,,,,
Profit & Loss,OPM %,,,,4%,,,,,6%,,,,5%,13%,11%,10%,8%,10%,,,,,,,,,,,
Profit & Loss,Other Income,,,,-4,,,,,76,,,,109,8,-0,2,6,9,,,,,,,,,,,
Profit & Loss,Interest,,,,83,,,,,16,,,,16,2,3,4,7,2,,,,,,,,,,,
Profit & Loss,Depreciation,,,,181,,,,,191,,,,180,22,12,15,17,28,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,10,,,,,759,,,,646,70,78,91,88,150,,,,,,,,,,,
Profit & Loss,Tax %,,,,-131%,,,,,26%,,,,26%,36%,36%,37%,45%,36%,,,,,,,,,,,
Profit & Loss,Net Profit,,,,23,,,,,563,,,,479,45,50,57,49,96,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,5.28,,,,,130.13,,,,110.67,16.07,17.75,20.38,17.24,23.56,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,57%,,,,,12%,,,,18%,44%,39%,34%,41%,34%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,43,,,,43,28,28,28,28,41,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,3180,,,,3591,248,275,309,335,802,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,156,,,,190,5,32,27,22,0,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,3853,,,,4638,127,171,211,289,465,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,7233,,,,8462,408,506,576,674,1308,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,759,,,,777,64,110,128,138,254,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,61,,,,97,16,5,4,21,10,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,0,,,,2,3,3,3,0,0,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,6413,,,,7587,325,388,441,515,1043,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,7233,,,,8462,408,506,576,674,1308,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,807,,,,373,51,48,65,97,46,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,-450,,,,-114,-23,-46,-31,-42,140,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,-102,,,,-129,-27,2,-31,-36,-47,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,255,,,,131,1,4,3,20,140,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,67,,,,62,80,74,67,49,70,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,68,,,,83,103,93,82,91,138,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,114,,,,119,74,86,89,99,134,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,21,,,,26,109,81,60,41,74,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,45,,,,44,103,89,75,54,90,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,18%,,27%,28%,26%,25%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%,,,,,,73.33%,73.33%,73.33%,73.33%,73.33%,73.33%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,3.81%,4.12%,4.35%,4.44%,4.24%,4.29%,,,,,,2.71%,2.78%,2.83%,2.93%,3.02%,3.18%,,,,,
