Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,TTM,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,78.47,81.54,86.54,95.79,114.88,111.10,105.76,105.07,99.34,94.58,96.79,111.09,106.01,,,,,,,
Quarterly Results,Expenses,63.87,70.93,67.62,80.74,89.69,90.93,80.81,84.73,81.05,76.32,78.44,90.62,90.85,,,,,,,
Quarterly Results,Operating Profit,14.60,10.61,18.92,15.05,25.19,20.17,24.95,20.34,18.29,18.26,18.35,20.47,15.16,,,,,,,
Quarterly Results,OPM %,18.61%,13.01%,21.86%,15.71%,21.93%,18.15%,23.59%,19.36%,18.41%,19.31%,18.96%,18.43%,14.30%,,,,,,,
Quarterly Results,Other Income,2.79,3.14,1.99,5.44,1.88,2.07,1.90,1.92,1.90,2.90,2.24,4.00,4.62,,,,,,,
Quarterly Results,Interest,1.95,2.37,2.99,2.73,2.32,3.00,2.66,2.13,1.85,2.41,3.26,2.43,2.11,,,,,,,
Quarterly Results,Depreciation,2.57,2.65,3.05,3.00,3.47,3.23,3.37,3.50,3.53,3.64,3.76,4.01,4.07,,,,,,,
Quarterly Results,Profit before tax,12.87,8.73,14.87,14.76,21.28,16.01,20.82,16.63,14.81,15.11,13.57,18.03,13.60,,,,,,,
Quarterly Results,Tax %,33.88%,26.35%,31.20%,33.27%,33.36%,26.23%,31.12%,33.25%,33.15%,46.66%,36.92%,6.38%,34.56%,,,,,,,
Quarterly Results,Net Profit,8.51,6.43,10.24,9.84,14.18,11.82,14.33,11.10,9.90,8.07,8.56,16.88,8.89,,,,,,,
Quarterly Results,EPS in Rs,2.41,1.82,2.69,2.59,3.73,3.10,3.76,2.83,2.53,2.06,2.17,4.28,1.98,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,291,,,,408,,,,405,,,,408,,,,,,
Profit & Loss,Expenses,,226,,,,328,,,,323,,,,336,,,,,,
Profit & Loss,Operating Profit,,65,,,,80,,,,82,,,,72,,,,,,
Profit & Loss,OPM %,,22%,,,,20%,,,,20%,,,,18%,,,,,,
