Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,73.27%,73.27%,73.80%,73.81%,73.81%,73.81%,73.81%,73.85%,73.85%,73.85%,73.85%,73.85%,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,,,,
Shareholding Pattern (Quarterly),Public,26.73%,26.74%,26.20%,26.19%,26.19%,26.19%,26.19%,26.15%,26.15%,26.15%,26.15%,26.15%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,1760,3963,8915,14611,14706,16010,16468,16437,16437,16437,17301,17342,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.81%,,,,73.85%,,,,73.85%,73.13%,73.13%,73.13%,73.19%
Shareholding Pattern (Yearly),FIIs,,,,0.01%,,,,0.00%,,,,0.01%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,26.19%,,,,26.15%,,,,26.15%,25.32%,26.87%,26.87%,26.80%
Shareholding Pattern (Yearly),No. of Shareholders,,,,14611,,,,16437,,,,17342,211,215,928,2004
,,,,,,,,,,,,,,,,,
