Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,246.64,306.65,280.17,310.21,312.69,304.25,310.34,289.71,287.51,393.33,33.17,11.96,8.66,,,,,,,,,,,
Quarterly Results,Expenses,194.25,269.95,227.16,251.45,258.93,240.58,250.05,224.02,235.82,316.81,42.91,23.76,23.20,,,,,,,,,,,
Quarterly Results,Operating Profit,52.39,36.70,53.01,58.76,53.76,63.67,60.29,65.69,51.69,76.52,-9.74,-11.80,-14.54,,,,,,,,,,,
Quarterly Results,OPM %,21.24%,11.97%,18.92%,18.94%,17.19%,20.93%,19.43%,22.67%,17.98%,19.45%,-29.36%,-98.66%,-167.90%,,,,,,,,,,,
Quarterly Results,Other Income,8.41,21.21,7.39,7.54,8.36,-16.44,5.61,7.40,7.11,411.84,11.14,13.01,13.81,,,,,,,,,,,
Quarterly Results,Interest,23.73,23.49,23.98,23.98,22.38,21.82,20.38,21.14,21.05,-11.47,0.17,0.41,0.11,,,,,,,,,,,
Quarterly Results,Depreciation,21.26,81.81,16.28,16.41,15.39,9.29,13.89,13.19,13.56,12.67,0.25,0.22,0.25,,,,,,,,,,,
Quarterly Results,Profit before tax,15.81,-47.39,20.14,25.91,24.35,16.12,31.63,38.76,24.19,487.16,0.98,0.58,-1.09,,,,,,,,,,,
Quarterly Results,Tax %,-1.39%,29.65%,1.09%,2.16%,-13.43%,255.40%,45.02%,17.88%,19.31%,27.60%,-3.06%,31.03%,-99.08%,,,,,,,,,,,
Quarterly Results,Net Profit,16.03,-61.45,19.88,25.34,27.50,-25.12,17.24,31.66,19.42,352.64,0.94,0.41,0.01,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.71,-10.40,3.36,4.29,4.65,-4.25,2.92,5.36,3.29,59.68,0.16,0.07,0.00,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,1039,,,,1207,,,,1281,,,,1134,965,660,653,716,765,757,780,891,447,
Profit & Loss,Expenses,,837,,,,978,,,,1029,,,,1063,906,571,546,610,631,630,635,709,407,
Profit & Loss,Operating Profit,,202,,,,229,,,,252,,,,72,59,89,107,106,134,126,144,183,40,
Profit & Loss,OPM %,,19%,,,,19%,,,,20%,,,,6%,6%,13%,16%,15%,18%,17%,19%,21%,9%,
Profit & Loss,Other Income,,37,,,,7,,,,434,,,,4,-19,-31,1,15,16,120,33,23,450,
Profit & Loss,Interest,,96,,,,92,,,,51,,,,140,117,117,106,88,28,92,107,100,-11,
Profit & Loss,Depreciation,,131,,,,57,,,,53,,,,54,66,84,85,88,87,104,90,87,13,
Profit & Loss,Profit before tax,,13,,,,87,,,,582,,,,-119,-142,-143,-83,-55,36,50,-20,18,488,
Profit & Loss,Tax %,,117%,,,,45%,,,,28%,,,,-1%,-14%,-17%,-29%,-29%,39%,42%,7%,117%,,
Profit & Loss,Net Profit,,-2,,,,48,,,,421,,,,-118,-122,-119,-59,-39,22,29,-21,-3,354,
Profit & Loss,EPS in Rs,,-0.36,,,,8.06,,,,71.24,,,,-30.02,-29.79,-29.14,-14.33,-8.75,4.85,6.09,-3.59,-0.53,59.91,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
