Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,155.28,189.36,175.38,218.99,195.90,175.72,164.42,191.04,144.69,165.18,142.95,182.13,163.88,,,,,,,,,,,
Quarterly Results,Expenses,141.00,172.80,164.96,208.19,177.09,159.00,155.30,177.98,138.22,155.17,135.70,171.31,159.24,,,,,,,,,,,
Quarterly Results,Operating Profit,14.28,16.56,10.42,10.80,18.81,16.72,9.12,13.06,6.47,10.01,7.25,10.82,4.64,,,,,,,,,,,
Quarterly Results,OPM %,9.20%,8.75%,5.94%,4.93%,9.60%,9.52%,5.55%,6.84%,4.47%,6.06%,5.07%,5.94%,2.83%,,,,,,,,,,,
Quarterly Results,Other Income,2.45,4.82,4.41,5.14,0.71,0.32,1.90,2.06,4.20,3.82,8.53,2.45,5.75,,,,,,,,,,,
Quarterly Results,Interest,3.88,1.86,2.77,3.98,3.68,3.76,4.13,4.16,3.49,5.41,4.36,5.17,4.78,,,,,,,,,,,
Quarterly Results,Depreciation,3.67,3.63,3.97,3.84,3.94,4.26,4.28,4.42,4.42,5.02,4.54,4.67,3.67,,,,,,,,,,,
Quarterly Results,Profit before tax,9.18,15.89,8.09,8.12,11.90,9.02,2.61,6.54,2.76,3.40,6.88,3.43,1.94,,,,,,,,,,,
Quarterly Results,Tax %,28.32%,24.10%,29.17%,28.82%,20.67%,22.62%,38.31%,19.42%,35.87%,9.71%,25.00%,39.65%,60.82%,,,,,,,,,,,
Quarterly Results,Net Profit,7.57,12.68,6.00,6.48,10.21,7.54,2.10,5.95,2.15,3.63,5.40,2.48,0.79,,,,,,,,,,,
Quarterly Results,EPS in Rs,6.87,11.09,4.49,4.86,8.25,6.49,1.37,4.46,1.88,3.62,5.27,1.68,0.51,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,650,,,,766,,,,665,,,,588,753,800,710,666,650,694,609,537,654,
Profit & Loss,Expenses,,593,,,,709,,,,628,,,,529,665,718,639,625,604,635,563,488,621,
Profit & Loss,Operating Profit,,58,,,,57,,,,37,,,,58,88,82,71,41,45,59,46,49,33,
Profit & Loss,OPM %,,9%,,,,7%,,,,6%,,,,10%,12%,10%,10%,6%,7%,9%,8%,9%,5%,
Profit & Loss,Other Income,,9,,,,11,,,,12,,,,5,5,8,11,11,15,7,13,8,21,
Profit & Loss,Interest,,10,,,,14,,,,15,,,,19,25,21,22,21,20,19,17,11,20,
Profit & Loss,Depreciation,,14,,,,16,,,,18,,,,12,14,14,15,16,16,15,15,15,18,
Profit & Loss,Profit before tax,,42,,,,37,,,,15,,,,33,54,55,45,16,25,32,27,30,16,
Profit & Loss,Tax %,,26%,,,,25%,,,,23%,,,,32%,31%,35%,38%,47%,29%,34%,2%,19%,,
Profit & Loss,Net Profit,,36,,,,30,,,,14,,,,22,37,36,28,8,18,21,26,28,12,
Profit & Loss,EPS in Rs,,32.24,,,,24.04,,,,11.32,,,,20.24,33.63,32.37,25.32,7.59,15.99,18.96,23.80,25.38,11.08,
Profit & Loss,Dividend Payout %,,3%,,,,4%,,,,7%,,,,8%,5%,5%,6%,14%,6%,5%,3%,4%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,11,,,,11,,,,11,,11,,11,11,11,11,11,11,11,11,11,,
Balance Sheet,Reserves,,404,,,,427,,,,438,,445,,167,200,234,262,272,289,312,342,370,,
Balance Sheet,Borrowings,,160,,,,192,,,,204,,199,,168,193,232,231,221,220,209,181,145,,
Balance Sheet,Other Liabilities,,211,,,,204,,,,176,,235,,155,180,160,161,151,184,174,147,145,,
Balance Sheet,Total Liabilities,,786,,,,833,,,,828,,890,,501,584,638,667,656,705,707,680,671,,
Balance Sheet,Fixed Assets,,222,,,,249,,,,267,,256,,168,172,193,223,231,224,222,219,211,,
Balance Sheet,CWIP,,8,,,,9,,,,6,,5,,5,3,16,12,4,6,3,2,4,,
Balance Sheet,Investments,,25,,,,28,,,,29,,30,,5,6,9,10,12,16,19,25,28,,
Balance Sheet,Other Assets,,531,,,,548,,,,526,,598,,323,402,420,422,409,460,463,435,427,,
Balance Sheet,Total Assets,,786,,,,833,,,,828,,890,,501,584,638,667,656,705,707,680,671,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-1,,,,27,,,,21,,,,25,25,38,58,60,21,41,56,84,,
Cash Flows,Cash from Investing Activity,,-11,,,,-46,,,,-22,,,,-36,-17,-51,-38,-22,-6,-9,-10,-14,,
Cash Flows,Cash from Financing Activity,,4,,,,17,,,,-4,,,,11,-3,18,-24,-33,-23,-31,-47,-48,,
