Section,,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Revenue,143,140,150,170,182,204,209,235,252,283,304,327,
Quarterly Results,Interest,43,50,58,56,68,72,74,75,77,85,92,102,
Quarterly Results,Expenses,39,45,44,51,57,59,61,67,73,79,85,83,
Quarterly Results,Financing Profit,61,45,49,63,57,73,74,93,102,119,127,142,
Quarterly Results,Financing Margin %,42%,32%,32%,37%,31%,36%,35%,40%,40%,42%,42%,44%,
Quarterly Results,Other Income,5,4,6,8,6,7,10,10,9,1,0,0,
Quarterly Results,Depreciation,2,2,2,2,2,2,2,3,3,3,3,3,
Quarterly Results,Profit before tax,64,47,53,68,61,77,81,100,108,117,124,140,
Quarterly Results,Tax %,23%,24%,23%,22%,23%,22%,23%,22%,23%,23%,23%,23%,
Quarterly Results,Net Profit,50,36,40,53,47,60,62,78,84,90,96,108,
Quarterly Results,EPS in Rs,11.33,8.23,9.17,12.10,10.73,6.69,5.82,7.28,7.79,8.39,8.92,10.02,
Quarterly Results,Gross NPA %,,,,1.13%,1.09%,,1.20%,0.97%,1.14%,1.24%,1.25%,0.99%,
Quarterly Results,Net NPA %,,,,0.85%,0.80%,,0.90%,0.73%,0.86%,0.94%,0.94%,0.75%,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Revenue,448,,,585,,,,830,,,,1166,317
Profit & Loss,Interest,149,,,211,,,,290,,,,355,106
Profit & Loss,Expenses,138,,,185,,,,243,,,,320,99
Profit & Loss,Financing Profit,162,,,189,,,,298,,,,490,112
Profit & Loss,Financing Margin %,36%,,,32%,,,,36%,,,,42%,35%
Profit & Loss,Other Income,12,,,21,,,,32,,,,10,6
Profit & Loss,Depreciation,7,,,8,,,,10,,,,12,5
Profit & Loss,Profit before tax,167,,,202,,,,319,,,,489,113
Profit & Loss,Tax %,23%,,,23%,,,,22%,,,,23%,23%
Profit & Loss,Net Profit,128,,,155,,,,248,,,,378,87
Profit & Loss,EPS in Rs,29.39,,,35.41,,,,23.13,,,,35.02,20.33
Profit & Loss,Dividend Payout %,-0%,,,-0%,,,,-0%,,,,-0%,-0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,44,,,44,,,,54,,,,54,43
Balance Sheet,Reserves,1032,,,1197,,,,2245,,,,2655,894
Balance Sheet,Borrowing,2070,,,2989,,,,3415,,,,4969,1491
Balance Sheet,Other Liabilities,75,,,66,,,,80,,,,70,34
Balance Sheet,Total Liabilities,3221,,,4296,,,,5794,,,,7748,2463
Balance Sheet,Fixed Assets,17,,,24,,,,30,,,,29,15
Balance Sheet,CWIP,-0,,,-0,,,,-0,,,,-0,-0
Balance Sheet,Investments,175,,,47,,,,158,,,,315,-0
Balance Sheet,Other Assets,3029,,,4224,,,,5607,,,,7403,2448
Balance Sheet,Total Assets,3221,,,4296,,,,5794,,,,7748,2463
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-495,,,-852,,,,-1232,,,,-1435,-421
Cash Flows,Cash from Investing Activity,-186,,,162,,,,-236,,,,-61,77
Cash Flows,Cash from Financing Activity,592,,,907,,,,1220,,,,1566,560
Cash Flows,Net Cash Flow,-89,,,217,,,,-249,,,,70,216
,,,,,,,,,,,,,,
Ratios,ROE %,13%,,,13%,,,,14%,,,,15%,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,48.30%,48.30%,48.23%,48.14%,48.00%,47.92%,
Shareholding Pattern (Quarterly),FIIs,,,,,,,5.84%,5.28%,5.16%,5.77%,6.23%,6.93%,
Shareholding Pattern (Quarterly),DIIs,,,,,,,12.61%,16.09%,17.53%,21.87%,20.66%,18.52%,
Shareholding Pattern (Quarterly),Public,,,,,,,33.24%,30.32%,29.09%,24.22%,25.09%,26.64%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,114300,64293,54929,52748,53706,55264,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,48.30%,,,,47.92%,
Shareholding Pattern (Yearly),FIIs,,,,,,,,5.28%,,,,6.93%,
Shareholding Pattern (Yearly),DIIs,,,,,,,,16.09%,,,,18.52%,
Shareholding Pattern (Yearly),Public,,,,,,,,30.32%,,,,26.64%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,64293,,,,55264,
,,,,,,,,,,,,,,
