Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2020,Dec 2021,Dec 2022,Mar 2018,Jun 2018,Sep 2018,Mar 2017
Quarterly Results,Sales,1252,1264,1308,1481,1529,1542,1569,1586,2616,2749,3136,3154,3208,,,,,,,,,,,,
Quarterly Results,Expenses,1061,1075,1096,1244,1289,1308,1298,1308,2285,2331,2645,2664,2680,,,,,,,,,,,,
Quarterly Results,Operating Profit,192,189,212,238,240,234,271,277,331,418,491,490,528,,,,,,,,,,,,
Quarterly Results,OPM %,15%,15%,16%,16%,16%,15%,17%,18%,13%,15%,16%,16%,16%,,,,,,,,,,,,
Quarterly Results,Other Income,-22,-4,-6,20,2,44,-4,-6,10,10,11,24,4,,,,,,,,,,,,
Quarterly Results,Interest,0,0,1,3,3,11,15,13,7,10,23,21,22,,,,,,,,,,,,
Quarterly Results,Depreciation,16,15,21,32,36,52,64,57,94,60,74,76,74,,,,,,,,,,,,
Quarterly Results,Profit before tax,154,170,184,222,203,215,189,201,240,358,406,417,436,,,,,,,,,,,,
Quarterly Results,Tax %,20%,18%,18%,17%,17%,18%,19%,19%,20%,22%,26%,23%,25%,,,,,,,,,,,,
Quarterly Results,Net Profit,123,138,151,184,168,175,152,163,193,279,300,321,327,,,,,,,,,,,,
Quarterly Results,EPS in Rs,4.15,4.65,5.08,6.16,5.62,5.86,5.10,5.42,6.42,9.31,4.98,5.25,5.38,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4648,,,,5583,,,,10380,,,11974,,2285,2582,3124,3535,3942,6262,7178,9200,,,,
Profit & Loss,Expenses,3911,,,,4701,,,,8809,,,10139,,1803,2134,2579,2958,3286,5212,6042,7974,,,,
Profit & Loss,Operating Profit,736,,,,881,,,,1572,,,1835,,482,448,545,577,656,1050,1136,1226,,,,
Profit & Loss,OPM %,16%,,,,16%,,,,15%,,,15%,,21%,17%,17%,16%,17%,17%,16%,13%,,,,
Profit & Loss,Other Income,58,,,,12,,,,22,,,75,,37,16,9,40,49,35,67,179,,,,
Profit & Loss,Interest,3,,,,10,,,,42,,,71,,1,2,1,1,2,52,38,38,,,,
Profit & Loss,Depreciation,65,,,,103,,,,284,,,279,,39,44,48,55,63,232,224,244,,,,
Profit & Loss,Profit before tax,727,,,,779,,,,1268,,,1560,,480,418,505,560,641,800,941,1123,,,,
Profit & Loss,Tax %,20%,,,,18%,,,,21%,,,25%,,21%,23%,22%,25%,22%,22%,20%,21%,,,,
Profit & Loss,Net Profit,583,,,,641,,,,998,,,1174,,379,320,393,419,500,622,749,884,,,,
Profit & Loss,EPS in Rs,19.62,,,,21.49,,,,33.22,,,19.36,,12.64,10.64,13.04,13.88,16.83,20.69,24.93,29.44,,,,
Profit & Loss,Dividend Payout %,43%,,,,40%,,,,53%,,,45%,,88%,89%,66%,40%,24%,17%,32%,75%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,59,,,,60,,,,61,,,61,,60,60,60,60,59,60,60,60,,,,
Balance Sheet,Reserves,2332,,,,2706,,,,4574,,,5296,,1139,1230,1373,1681,1948,3176,3728,4063,,,,
Balance Sheet,Borrowings,0,,,,143,,,,394,,,574,,0,0,0,0,0,236,374,456,,,,
Balance Sheet,Other Liabilities,742,,,,1260,,,,2173,,,3063,,609,463,587,570,538,1666,1511,1934,,,,
Balance Sheet,Total Liabilities,3133,,,,4169,,,,7202,,,8994,,1808,1754,2021,2311,2545,5138,5674,6514,,,,
Balance Sheet,Fixed Assets,574,,,,2038,,,,2454,,,3760,,515,514,533,479,541,2478,2391,2588,,,,
Balance Sheet,CWIP,224,,,,86,,,,55,,,131,,22,35,116,323,256,10,12,6,,,,
Balance Sheet,Investments,13,,,,3,,,,251,,,0,,338,186,41,21,21,0,123,0,,,,
