Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,
Quarterly Results,Expenses,,,,
Quarterly Results,Operating Profit,,,,
Quarterly Results,OPM %,,,,
Quarterly Results,Other Income,,,,
Quarterly Results,Interest,,,,
Quarterly Results,Depreciation,,,,
Quarterly Results,Profit before tax,,,,
Quarterly Results,Tax %,,,,
Quarterly Results,Net Profit,,,,
Quarterly Results,EPS in Rs,,,,
Quarterly Results,Raw PDF,,,,
,,,,,
Profit & Loss,Sales,,,,
Profit & Loss,Expenses,,,,
Profit & Loss,Operating Profit,,,,
Profit & Loss,OPM %,,,,
Profit & Loss,Other Income,,,,
Profit & Loss,Interest,,,,
Profit & Loss,Depreciation,,,,
Profit & Loss,Profit before tax,,,,
Profit & Loss,Tax %,,,,
Profit & Loss,Net Profit,,,,
Profit & Loss,EPS in Rs,,,,
Profit & Loss,Dividend Payout %,,,,
,,,,,
Balance Sheet,Equity Capital,,,,
Balance Sheet,Reserves,,,,
Balance Sheet,Borrowings,,,,
Balance Sheet,Other Liabilities,,,,
Balance Sheet,Total Liabilities,,,,
Balance Sheet,Fixed Assets,,,,
Balance Sheet,CWIP,,,,
Balance Sheet,Investments,,,,
Balance Sheet,Other Assets,,,,
Balance Sheet,Total Assets,,,,
,,,,,
Cash Flows,Cash from Operating Activity,,,,
Cash Flows,Cash from Investing Activity,,,,
Cash Flows,Cash from Financing Activity,,,,
Cash Flows,Net Cash Flow,,,,
,,,,,
Ratios,Debtor Days,,,,
Ratios,Inventory Days,,,,
Ratios,Days Payable,,,,
Ratios,Cash Conversion Cycle,,,,
Ratios,Working Capital Days,,,,
Ratios,ROCE %,,,,
,,,,,
Shareholding Pattern (Quarterly),Promoters,60.40%,60.40%,60.40%,60.40%
Shareholding Pattern (Quarterly),FIIs,6.03%,5.22%,4.42%,4.52%
Shareholding Pattern (Quarterly),DIIs,22.60%,23.83%,25.35%,25.48%
Shareholding Pattern (Quarterly),Public,10.98%,10.56%,9.84%,9.59%
Shareholding Pattern (Quarterly),No. of Shareholders,61091,58582,55734,51859
,,,,,
Shareholding Pattern (Yearly),Promoters,,,,60.40%
Shareholding Pattern (Yearly),FIIs,,,,4.52%
Shareholding Pattern (Yearly),DIIs,,,,25.48%
Shareholding Pattern (Yearly),Public,,,,9.59%
Shareholding Pattern (Yearly),No. of Shareholders,,,,51859
,,,,,
