Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,847,910,668,798,1074,1360,897,866,802,537,283,316,233,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,772,859,584,696,930,1256,788,958,978,787,556,460,465,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,74,51,84,103,144,105,109,-93,-176,-249,-273,-144,-232,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,9%,6%,13%,13%,13%,8%,12%,-11%,-22%,-46%,-97%,-45%,-100%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,2,0,3,0,4,0,1,0,-139,6,6,30,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,85,107,78,85,86,72,68,79,94,98,109,116,77,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,20,32,22,22,22,19,19,19,20,18,15,14,12,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-30,-87,-15,-1,37,18,23,-190,-290,-504,-392,-268,-292,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-88%,-7%,-10%,-106%,-4%,-5%,-2%,-0%,-0%,-0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-4,-81,-14,0,38,19,23,-189,-288,-504,-392,-268,-292,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.20,-4.33,-0.74,0.00,2.04,1.00,1.22,-10.12,-15.39,-26.90,-20.93,-14.33,-15.57,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,3439,,,,3901,,,,3102,,,,1206,2200,1971,1594,1501,1726,2115,2912,3463,1369,,,,,,,,,
Profit & Loss,Expenses,,3080,,,,3465,,,,3512,,,,988,1886,1566,1195,1157,1519,1807,2471,2936,2268,,,,,,,,,
Profit & Loss,Operating Profit,,359,,,,435,,,,-409,,,,218,313,405,399,344,207,308,441,527,-899,,,,,,,,,
Profit & Loss,OPM %,,10%,,,,11%,,,,-13%,,,,18%,14%,21%,25%,23%,12%,15%,15%,15%,-66%,,,,,,,,,
Profit & Loss,Other Income,,5,,,,8,,,,-137,,,,10,5,9,-62,6,20,15,-136,8,-97,,,,,,,,,
Profit & Loss,Interest,,337,,,,321,,,,338,,,,117,221,270,269,265,186,257,275,284,400,,,,,,,,,
Profit & Loss,Depreciation,,91,,,,84,,,,76,,,,62,82,112,111,120,44,43,55,66,60,,,,,,,,,
Profit & Loss,Profit before tax,,-64,,,,38,,,,-961,,,,48,15,32,-43,-35,-3,23,-25,185,-1456,,,,,,,,,
Profit & Loss,Tax %,,-9%,,,,-14%,,,,-0%,,,,64%,153%,122%,81%,34%,456%,101%,-22%,13%,,,,,,,,,,
Profit & Loss,Net Profit,,-58,,,,43,,,,-958,,,,18,-8,-7,-78,-48,-27,-0,-20,160,-1455,,,,,,,,,
Profit & Loss,EPS in Rs,,-3.10,,,,2.30,,,,-51.19,,,,2.84,,0.63,-4.30,-2.10,-1.53,-0.02,-1.04,8.55,-77.73,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,19%,129%,95%,-9%,-10%,-26%,0%,0%,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,37,,,,37,,,,37,,37,,12,24,30,30,30,35,35,37,37,,,,,,,,,,
Balance Sheet,Reserves,,873,,,,916,,,,-42,,-703,,462,580,638,607,701,514,476,973,1136,,,,,,,,,,
Balance Sheet,Borrowings,,2041,,,,2123,,,,2748,,3502,,3008,4953,6524,9429,4264,3825,2199,2312,2220,,,,,,,,,,
Balance Sheet,Other Liabilities,,2762,,,,2693,,,,2218,,1681,,1332,1584,2960,3141,1354,1505,1732,1938,2693,,,,,,,,,,
Balance Sheet,Total Liabilities,,5713,,,,5770,,,,4961,,4518,,4815,7141,10151,13207,6350,5880,4443,5261,6087,,,,,,,,,,
Balance Sheet,Fixed Assets,,456,,,,392,,,,348,,304,,1077,1542,1712,1700,1340,1127,394,419,439,,,,,,,,,,
Balance Sheet,CWIP,,17,,,,29,,,,9,,9,,1279,2200,4970,7933,1481,1310,30,6,7,,,,,,,,,,
Balance Sheet,Investments,,572,,,,565,,,,546,,546,,34,362,358,260,739,859,978,1198,1201,,,,,,,,,,
Balance Sheet,Other Assets,,4667,,,,4783,,,,4057,,3659,,2425,3037,3112,3314,2789,2584,3041,3637,4440,,,,,,,,,,
Balance Sheet,Total Assets,,5713,,,,5770,,,,4961,,4518,,4815,7141,10151,13207,6350,5880,4443,5261,6087,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,361,,,,228,,,,-695,,,,134,-155,1246,600,-24,470,234,213,516,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,311,,,,10,,,,211,,,,-1056,-1796,-3069,-3034,-900,-663,-34,-30,-120,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-683,,,,-273,,,,425,,,,1549,1814,1416,2726,488,226,-217,-164,-324,,,,,,,,,,
Cash Flows,Net Cash Flow,,-10,,,,-35,,,,-58,,,,626,-138,-407,292,-436,32,-17,19,71,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,136,,,,142,,,,137,,,,122,99,151,195,144,119,130,142,154,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,138,190,654,200,186,61,211,112,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,507,595,927,775,306,170,387,306,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,136,,,,142,,,,137,,,,-246,-305,-121,-380,23,10,-46,-53,154,,,,,,,,,,
Ratios,Working Capital Days,,208,,,,180,,,,199,,,,166,115,161,-542,172,221,220,236,198,,,,,,,,,,
Ratios,ROCE %,,9%,,,,12%,,,,-17%,,,,5%,5%,4%,3%,3%,4%,8%,13%,14%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
