Section,,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,5.92,9.38,18.69,7.73,6.08,7.08,11.35,4.41,2.44,7.17,12.43,10.03,2.03,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,6.31,6.56,11.83,6.28,4.22,6.85,9.03,5.42,5.26,6.42,9.30,4.91,2.78,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-0.39,2.82,6.86,1.45,1.86,0.23,2.32,-1.01,-2.82,0.75,3.13,5.12,-0.75,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-6.59%,30.06%,36.70%,18.76%,30.59%,3.25%,20.44%,-22.90%,-115.57%,10.46%,25.18%,51.05%,-36.95%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.16,0.20,0.38,0.30,0.29,0.07,0.14,0.19,0.11,0.16,0.17,0.10,0.52,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1.73,2.01,1.96,1.84,1.57,1.75,1.74,1.70,2.00,1.41,1.39,1.31,0.74,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1.59,1.65,1.66,1.66,1.65,1.58,1.59,1.59,1.56,1.57,1.58,1.58,1.37,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-3.55,-0.64,3.62,-1.75,-1.07,-3.03,-0.87,-4.11,-6.27,-2.07,0.33,2.33,-2.34,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,31.83%,-14.06%,16.02%,-20.57%,-12.15%,-6.93%,-32.18%,-27.98%,10.53%,-13.04%,-81.82%,2.15%,15.38%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-4.69,-0.55,3.04,-1.39,-0.94,-2.81,-0.60,-2.96,-6.92,-1.80,0.60,2.28,-2.70,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-2.96,-0.53,2.44,-1.34,-0.81,-2.43,-0.52,-2.56,-5.98,-1.56,0.52,1.97,-2.33,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,34.70,,,,41.88,,,,25.28,,,,31.66,17.14,26.89,31.71,31.47,19.44,18.98,32.62,40.30,,,,,,,,,,,,
Profit & Loss,Expenses,28.46,,,,28.90,,,,26.54,,,,23.41,6.71,10.26,14.92,17.87,13.34,12.28,19.39,28.39,,,,,,,,,,,,
Profit & Loss,Operating Profit,6.24,,,,12.98,,,,-1.26,,,,8.25,10.43,16.63,16.79,13.60,6.10,6.70,13.23,11.91,,,,,,,,,,,,
Profit & Loss,OPM %,17.98%,,,,30.99%,,,,-4.98%,,,,26.06%,60.85%,61.84%,52.95%,43.22%,31.38%,35.30%,40.56%,29.55%,,,,,,,,,,,,
Profit & Loss,Other Income,-3.72,,,,1.18,,,,0.49,,,,0.95,2.27,3.13,1.23,2.14,2.80,5.84,1.10,0.38,,,,,,,,,,,,
Profit & Loss,Interest,6.86,,,,7.38,,,,7.18,,,,4.85,4.38,9.58,12.05,11.75,12.21,12.50,11.54,7.85,,,,,,,,,,,,
Profit & Loss,Depreciation,6.17,,,,6.62,,,,6.32,,,,6.10,7.81,8.01,9.27,9.55,6.51,6.58,6.50,6.26,,,,,,,,,,,,
Profit & Loss,Profit before tax,-10.51,,,,0.16,,,,-14.27,,,,-1.75,0.51,2.17,-3.30,-5.56,-9.82,-6.54,-3.71,-1.82,,,,,,,,,,,,
Profit & Loss,Tax %,9.61%,,,,6.25%,,,,-7.01%,,,,-7.43%,-1.96%,80.18%,-26.97%,-26.26%,-33.40%,16.67%,-43.13%,105.49%,,,,,,,,,,,,
Profit & Loss,Net Profit,-11.52,,,,0.16,,,,-13.27,,,,-1.62,0.52,0.43,-2.42,-4.10,-6.51,-7.59,-2.10,-3.71,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-8.63,,,,-0.24,,,,-11.47,,,,-1.40,0.50,0.32,-0.86,-1.18,-4.03,-3.93,-0.07,-2.11,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,156.22%,-57.85%,-84.45%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11.57,,,,11.57,,,,11.57,,,,11.57,11.56,11.56,11.57,11.57,11.57,11.57,11.57,11.57,,,,,,,,,,,,
Balance Sheet,Reserves,29.78,,,,14.88,,,,-1.68,,,,18.64,31.39,30.51,28.83,26.94,22.34,17.79,47.38,69.99,,,,,,,,,,,,
Balance Sheet,Borrowings,85.80,,,,98.14,,,,93.36,,,,18.81,0.00,91.13,70.75,99.09,105.42,109.71,91.49,72.79,,,,,,,,,,,,
Balance Sheet,Other Liabilities,18.97,,,,17.41,,,,16.03,,,,14.38,120.87,37.03,44.81,22.30,16.15,24.87,22.07,29.11,,,,,,,,,,,,
Balance Sheet,Total Liabilities,146.12,,,,142.00,,,,119.28,,,,63.40,163.82,170.23,155.96,159.90,155.48,163.94,172.51,183.46,,,,,,,,,,,,
Balance Sheet,Fixed Assets,89.42,,,,85.44,,,,79.78,,,,32.37,101.39,98.08,131.45,116.10,112.79,106.23,102.93,96.68,,,,,,,,,,,,
Balance Sheet,CWIP,1.47,,,,1.71,,,,0.00,,,,0.00,36.14,43.37,2.85,3.13,3.45,3.76,1.29,1.29,,,,,,,,,,,,
Balance Sheet,Investments,25.60,,,,20.09,,,,16.10,,,,1.88,3.18,3.20,3.33,7.67,7.70,7.74,29.02,60.93,,,,,,,,,,,,
Balance Sheet,Other Assets,29.63,,,,34.76,,,,23.40,,,,29.15,23.11,25.58,18.33,33.00,31.54,46.21,39.27,24.56,,,,,,,,,,,,
Balance Sheet,Total Assets,146.12,,,,142.00,,,,119.28,,,,63.40,163.82,170.23,155.96,159.90,155.48,163.94,172.51,183.46,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,6.29,,,,7.75,,,,10.63,,,,-1.09,0.00,1.16,10.86,-15.71,0.72,-12.81,4.68,21.71,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-10.58,,,,-18.54,,,,1.40,,,,50.18,0.00,-11.94,-2.22,-0.26,-3.45,-0.34,8.50,3.86,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,7.38,,,,3.47,,,,-11.83,,,,-49.39,0.00,13.42,-9.92,15.94,3.33,13.22,-14.29,-21.09,,,,,,,,,,,,
Cash Flows,Net Cash Flow,3.09,,,,-7.32,,,,0.20,,,,-0.30,0.00,2.64,-1.28,-0.03,0.59,0.08,-1.11,4.47,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,110.03,,,,144.33,,,,98.32,,,,114.25,267.25,162.61,60.89,61.47,306.42,600.77,291.26,76.35,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,110.03,,,,144.33,,,,98.32,,,,114.25,267.25,162.61,60.89,61.47,306.42,600.77,291.26,76.35,,,,,,,,,,,,
Ratios,Working Capital Days,57.22,,,,66.06,,,,93.70,,,,149.41,-159.93,21.72,-103.60,53.35,61.40,280.19,137.29,34.33,,,,,,,,,,,,
Ratios,ROCE %,1.75%,,,,5.95%,,,,-6.22%,,,,4.07%,,12.46%,6.85%,4.53%,0.73%,0.54%,5.35%,3.84%,,,,,,,,,,,,
