Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,521,297,551,555,580,563,529,587,,,,,
Quarterly Results,Expenses,493,273,558,540,571,547,492,556,,,,,
Quarterly Results,Operating Profit,28,24,-7,15,10,16,38,31,,,,,
Quarterly Results,OPM %,5%,8%,-1%,3%,2%,3%,7%,5%,,,,,
Quarterly Results,Other Income,-3,3,22,7,5,-0,-4,221,,,,,
Quarterly Results,Interest,21,11,24,22,26,26,27,24,,,,,
Quarterly Results,Depreciation,37,21,43,39,38,40,45,49,,,,,
Quarterly Results,Profit before tax,-33,-6,-53,-39,-50,-51,-39,179,,,,,
Quarterly Results,Tax %,8%,75%,19%,22%,12%,6%,13%,20%,,,,,
Quarterly Results,Net Profit,-36,-10,-63,-47,-56,-54,-44,144,,,,,
Quarterly Results,EPS in Rs,,,,,,,-20.03,65.11,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1415,,,,2259,14730,17903,1128,1692,2053
Profit & Loss,Expenses,,,,1384,,,,2165,13726,16393,988,1499,1928
Profit & Loss,Operating Profit,,,,31,,,,95,1004,1510,140,193,124
Profit & Loss,OPM %,,,,2%,,,,4%,7%,8%,12%,11%,6%
Profit & Loss,Other Income,,,,32,,,,221,170,148,-2,-14,-7
Profit & Loss,Interest,,,,57,,,,104,88,372,47,46,60
Profit & Loss,Depreciation,,,,103,,,,173,377,447,80,131,144
Profit & Loss,Profit before tax,,,,-97,,,,39,709,839,11,3,-86
Profit & Loss,Tax %,,,,23%,,,,127%,23%,25%,529%,724%,25%
Profit & Loss,Net Profit,,,,-120,,,,-11,547,629,-48,-17,-108
Profit & Loss,EPS in Rs,,,,,,,,-4.83,,,,,
Profit & Loss,Dividend Payout %,,,,-9%,,,,-98%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,10,,,,11,10,10,10,10,10
Balance Sheet,Reserves,,,,590,,,,960,1857,2141,420,547,764
Balance Sheet,Borrowings,,,,1426,,,,1493,1665,7593,941,990,1107
Balance Sheet,Other Liabilities,,,,648,,,,635,3759,4982,732,778,531
Balance Sheet,Total Liabilities,,,,2674,,,,3099,7291,14726,2103,2325,2412
Balance Sheet,Fixed Assets,,,,1474,,,,2154,2943,3751,736,1390,1471
Balance Sheet,CWIP,,,,330,,,,48,101,396,737,64,78
Balance Sheet,Investments,,,,26,,,,26,1241,484,10,10,10
Balance Sheet,Other Assets,,,,844,,,,871,3006,10096,620,860,853
Balance Sheet,Total Assets,,,,2674,,,,3099,7291,14726,2103,2325,2412
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,46,,,,-10,838,324,111,105,126
Cash Flows,Cash from Investing Activity,,,,-278,,,,-307,-818,-1379,-46,-99,-186
Cash Flows,Cash from Financing Activity,,,,151,,,,329,-61,805,-107,97,40
Cash Flows,Net Cash Flow,,,,-81,,,,12,-40,-250,-42,103,-20
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,76,,,,49,21,27,72,58,45
Ratios,Inventory Days,,,,179,,,,115,55,44,202,165,133
Ratios,Days Payable,,,,214,,,,111,83,94,179,154,129
Ratios,Cash Conversion Cycle,,,,40,,,,53,-7,-23,94,69,49
Ratios,Working Capital Days,,,,40,,,,34,2,36,70,57,38
Ratios,ROCE %,,,,-2%,,,,-2%,,16%,,4%,-1%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.45%,67.45%,67.45%,67.45%,61.90%,61.90%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,1.01%,0.45%,0.35%,0.45%,0.43%,0.93%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,12.30%,15.81%,14.46%,12.64%,19.87%,19.11%,,,,,
Shareholding Pattern (Quarterly),Public,,,12.23%,16.28%,17.74%,19.46%,17.80%,18.05%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,21154,22037,21837,21792,22127,21928,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,67.45%,,,,61.90%,,,,,
Shareholding Pattern (Yearly),FIIs,,,,0.45%,,,,0.93%,,,,,
Shareholding Pattern (Yearly),DIIs,,,,15.81%,,,,19.11%,,,,,
Shareholding Pattern (Yearly),Public,,,,16.28%,,,,18.05%,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,22037,,,,21928,,,,,
,,,,,,,,,,,,,,
