Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,
Quarterly Results,Expenses,,,,,,,
Quarterly Results,Operating Profit,,,,,,,
Quarterly Results,OPM %,,,,,,,
Quarterly Results,Other Income,,,,,,,
Quarterly Results,Interest,,,,,,,
Quarterly Results,Depreciation,,,,,,,
Quarterly Results,Profit before tax,,,,,,,
Quarterly Results,Tax %,,,,,,,
Quarterly Results,Net Profit,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,,,,,,
Profit & Loss,Expenses,,,,,,,
Profit & Loss,Operating Profit,,,,,,,
Profit & Loss,OPM %,,,,,,,
Profit & Loss,Other Income,,,,,,,
Profit & Loss,Interest,,,,,,,
Profit & Loss,Depreciation,,,,,,,
Profit & Loss,Profit before tax,,,,,,,
Profit & Loss,Tax %,,,,,,,
Profit & Loss,Net Profit,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,
,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,
Balance Sheet,Reserves,,,,,,,
Balance Sheet,Borrowings,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,
Balance Sheet,CWIP,,,,,,,
Balance Sheet,Investments,,,,,,,
Balance Sheet,Other Assets,,,,,,,
Balance Sheet,Total Assets,,,,,,,
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,
,,,,,,,,
Ratios,Debtor Days,,,,,,,
Ratios,Inventory Days,,,,,,,
Ratios,Days Payable,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,
Ratios,Working Capital Days,,,,,,,
Ratios,ROCE %,,,,,,,
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,55.48%,55.48%,55.48%,55.48%,50.72%,50.72%,50.72%
Shareholding Pattern (Quarterly),FIIs,10.47%,3.82%,0.15%,1.19%,0.73%,2.38%,1.84%
Shareholding Pattern (Quarterly),DIIs,0.01%,0.01%,0.01%,0.01%,0.39%,0.27%,0.23%
Shareholding Pattern (Quarterly),Public,34.05%,40.70%,44.38%,43.32%,48.17%,46.63%,47.21%
Shareholding Pattern (Quarterly),No. of Shareholders,41229,42400,44745,44404,54887,53829,54261
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,55.48%,,,,50.72%
Shareholding Pattern (Yearly),FIIs,,,0.15%,,,,1.84%
Shareholding Pattern (Yearly),DIIs,,,0.01%,,,,0.23%
Shareholding Pattern (Yearly),Public,,,44.38%,,,,47.21%
Shareholding Pattern (Yearly),No. of Shareholders,,,44745,,,,54261
,,,,,,,,
