Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jan 2016
Quarterly Results,Sales,7.09,12.93,28.91,8.10,4.33,11.19,8.63,13.72,63.14,31.26,29.22,58.74,15.80,,,,,,,,,
Quarterly Results,Expenses,4.95,5.72,9.34,5.04,19.21,3.90,3.45,3.43,40.92,16.99,13.37,32.51,11.32,,,,,,,,,
Quarterly Results,Operating Profit,2.14,7.21,19.57,3.06,-14.88,7.29,5.18,10.29,22.22,14.27,15.85,26.23,4.48,,,,,,,,,
Quarterly Results,OPM %,30.18%,55.76%,67.69%,37.78%,-343.65%,65.15%,60.02%,75.00%,35.19%,45.65%,54.24%,44.65%,28.35%,,,,,,,,,
Quarterly Results,Other Income,0.09,0.13,0.01,0.01,1.17,0.09,0.05,0.06,0.23,0.12,0.05,0.06,0.33,,,,,,,,,
Quarterly Results,Interest,0.01,0.11,0.08,0.01,0.01,0.01,0.03,0.01,0.02,0.02,0.22,0.25,0.07,,,,,,,,,
Quarterly Results,Depreciation,0.43,0.43,0.43,0.44,0.42,0.42,0.48,0.52,0.53,0.53,0.55,0.55,0.54,,,,,,,,,
Quarterly Results,Profit before tax,1.79,6.80,19.07,2.62,-14.14,6.95,4.72,9.82,21.90,13.84,15.13,25.49,4.20,,,,,,,,,
Quarterly Results,Tax %,32.40%,16.91%,21.87%,18.70%,-21.64%,18.13%,5.93%,6.31%,18.26%,22.04%,17.05%,23.46%,7.62%,,,,,,,,,
Quarterly Results,Net Profit,1.21,5.65,14.90,2.13,-11.08,5.68,4.44,9.19,17.90,10.81,12.55,19.51,3.89,,,,,,,,,
Quarterly Results,EPS in Rs,0.59,2.71,7.13,1.03,-5.32,2.72,2.13,4.40,8.56,5.17,6.00,9.33,1.86,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,96,,,,40,,,,97,,,,135,63,57,144,94,201,150,45,42,
Profit & Loss,Expenses,70,,,,25,,,,52,,,,74,53,49,111,64,170,109,24,26,
Profit & Loss,Operating Profit,26,,,,15,,,,45,,,,61,10,8,33,30,31,41,21,16,
Profit & Loss,OPM %,27%,,,,37%,,,,47%,,,,45%,15%,14%,23%,32%,16%,28%,47%,38%,
Profit & Loss,Other Income,1,,,,1,,,,0,,,,1,2,8,7,3,1,6,1,2,
Profit & Loss,Interest,0,,,,0,,,,0,,,,1,0,0,0,0,0,0,0,0,
Profit & Loss,Depreciation,2,,,,2,,,,2,,,,2,2,2,3,2,2,2,2,2,
Profit & Loss,Profit before tax,25,,,,14,,,,43,,,,59,10,14,38,31,30,45,20,16,
Profit & Loss,Tax %,24%,,,,19%,,,,14%,,,,20%,26%,2%,6%,10%,-2%,20%,19%,37%,
Profit & Loss,Net Profit,19,,,,12,,,,37,,,,47,7,13,36,28,31,36,16,10,
Profit & Loss,EPS in Rs,9.25,,,,5.56,,,,17.81,,,,22.36,3.83,7.09,16.55,13.10,14.23,16.67,7.70,4.91,
Profit & Loss,Dividend Payout %,0%,,,,36%,,,,11%,,,,9%,39%,21%,9%,0%,11%,0%,0%,39%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,,,21,,,,21,,,,21,19,19,22,22,22,22,21,21,
Balance Sheet,Reserves,516,,,,540,,,,624,,,,759,270,282,319,357,388,432,408,464,
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,
