Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 201318m,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2013,Mar 2015
Quarterly Results,Sales,10.45,9.83,8.68,15.87,12.12,20.68,15.40,17.91,12.82,29.14,29.83,21.18,12.71,,,,,,,,,,
Quarterly Results,Expenses,9.03,6.56,7.66,10.60,6.95,13.75,10.54,7.76,10.26,16.53,11.60,10.73,11.54,,,,,,,,,,
Quarterly Results,Operating Profit,1.42,3.27,1.02,5.27,5.17,6.93,4.86,10.15,2.56,12.61,18.23,10.45,1.17,,,,,,,,,,
Quarterly Results,OPM %,13.59%,33.27%,11.75%,33.21%,42.66%,33.51%,31.56%,56.67%,19.97%,43.27%,61.11%,49.34%,9.21%,,,,,,,,,,
Quarterly Results,Other Income,0.01,0.09,0.85,0.00,1.21,0.00,0.00,0.00,0.00,3.68,0.00,0.00,0.00,,,,,,,,,,
Quarterly Results,Interest,0.25,0.09,0.12,0.18,0.18,0.06,0.02,0.04,0.02,0.02,0.02,0.01,0.07,,,,,,,,,,
Quarterly Results,Depreciation,0.16,0.22,0.27,0.28,0.37,0.22,0.26,0.24,0.25,0.28,0.31,0.32,0.41,,,,,,,,,,
Quarterly Results,Profit before tax,1.02,3.05,1.48,4.81,5.83,6.65,4.58,9.87,2.29,15.99,17.90,10.12,0.69,,,,,,,,,,
Quarterly Results,Tax %,38.24%,19.02%,46.62%,19.75%,30.36%,24.36%,13.76%,19.66%,27.95%,24.33%,3.91%,18.48%,-34.78%,,,,,,,,,,
Quarterly Results,Net Profit,0.63,2.47,0.79,3.86,4.06,5.03,3.95,7.93,1.65,12.10,17.20,8.20,0.80,,,,,,,,,,
Quarterly Results,EPS in Rs,0.20,0.78,0.25,1.20,1.25,1.54,1.20,2.41,0.50,3.61,5.13,2.44,0.24,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,46,,,,47,,,,67,,,,89,-37,-9,12,20,24,47,74,44,,
Profit & Loss,Expenses,26,,,,32,,,,42,,,,47,37,8,4,-35,8,30,62,33,,
Profit & Loss,Operating Profit,20,,,,15,,,,24,,,,42,-74,-17,8,55,16,17,12,11,,
Profit & Loss,OPM %,44%,,,,32%,,,,37%,,,,47%,,,68%,281%,67%,36%,16%,24%,,
Profit & Loss,Other Income,3,,,,2,,,,0,,,,4,1,6,8,-35,2,-0,-0,2,,
Profit & Loss,Interest,0,,,,1,,,,0,,,,0,13,3,0,0,0,0,0,0,,
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,1,1,1,1,0,0,0,1,1,,
Profit & Loss,Profit before tax,21,,,,15,,,,23,,,,45,-86,-15,15,19,17,16,11,11,,
Profit & Loss,Tax %,21%,,,,26%,,,,21%,,,,14%,0%,1%,4%,31%,17%,23%,27%,23%,,
Profit & Loss,Net Profit,17,,,,11,,,,19,,,,38,-87,-15,14,13,14,13,8,8,,
Profit & Loss,EPS in Rs,5.45,,,,3.46,,,,5.58,,,,11.39,-32.75,-5.75,5.36,5.06,5.39,4.76,2.98,3.10,,
Profit & Loss,Dividend Payout %,41%,,,,14%,,,,18%,,,,13%,0%,0%,0%,0%,0%,0%,0%,145%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,16,,,,17,,,,17,,,13,13,13,13,13,13,13,13
Balance Sheet,Reserves,96,,,,111,,,,141,,,,189,,,-14,-18,-3,20,32,44,-13,-28
Balance Sheet,Borrowings,5,,,,0,,,,0,,,,0,,,89,17,8,4,0,0,102,110
Balance Sheet,Other Liabilities,14,,,,14,,,,19,,,,24,,,114,10,4,11,16,24,179,146
Balance Sheet,Total Liabilities,131,,,,141,,,,177,,,,230,,,203,22,22,49,62,81,282,241
Balance Sheet,Fixed Assets,3,,,,3,,,,2,,,,5,,,3,3,3,2,4,3,5,5
Balance Sheet,CWIP,1,,,,0,,,,0,,,,0,,,0,0,0,0,0,0,0,0
Balance Sheet,Investments,44,,,,56,,,,109,,,,176,,,49,2,2,3,2,17,75,57
Balance Sheet,Other Assets,83,,,,83,,,,66,,,,49,,,150,18,17,44,56,62,201,180
Balance Sheet,Total Assets,131,,,,141,,,,177,,,,230,,,203,22,22,49,62,81,282,241
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1,,,,-5,,,,13,,,,28,,,-0,7,7,-1,15,40,-40,-14
Cash Flows,Cash from Investing Activity,-48,,,,3,,,,-18,,,,-26,,,9,20,0,-2,-3,-27,39,7
Cash Flows,Cash from Financing Activity,34,,,,-6,,,,4,,,,-1,,,-7,-25,-9,4,-3,-0,-20,6
Cash Flows,Net Cash Flow,-13,,,,-8,,,,-1,,,,0,,,1,3,-2,1,9,13,-21,-1
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,28,,,,117,,,,67,,,,89,,,3787,80,20,172,22,7,-1278,-4828
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,0,0
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,28,,,,117,,,,67,,,,89,,,3787,80,20,172,22,7,-1278,-4828
Ratios,Working Capital Days,34,,,,111,,,,48,,,,36,,,784,-57,42,205,112,-59,84,864
Ratios,ROCE %,22%,,,,12%,,,,17%,,,,23%,,,20%,18%,105%,60%,27%,21%,-49%,-14%
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,4.89%,4.86%,5.34%,5.85%,5.59%,8.45%,7.04%,5.88%,6.04%,5.26%,4.38%,4.59%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.05%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,4.85%,4.85%,4.84%,4.95%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,95.06%,95.09%,94.61%,94.10%,94.37%,91.50%,92.91%,94.08%,89.12%,89.89%,90.79%,90.46%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,19339,19106,18808,18496,18927,18320,17934,17980,17538,17695,19014,21539,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,4.47%,,,,5.85%,,,,5.88%,,,,4.59%,,,,1.28%,0.56%,0.04%,0.23%,1.40%,,
Shareholding Pattern (Yearly),DIIs,0.05%,,,,0.04%,,,,0.04%,,,,4.95%,,,,0.06%,0.16%,0.06%,0.05%,0.06%,,
Shareholding Pattern (Yearly),Public,95.48%,,,,94.10%,,,,94.08%,,,,90.46%,,,,98.66%,99.28%,99.90%,99.72%,98.54%,,
Shareholding Pattern (Yearly),No. of Shareholders,19538,,,,18496,,,,17980,,,,21539,,,,24377,23681,21978,20721,19694,,
,,,,,,,,,,,,,,,,,,,,,,,,
