Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,67.05%,66.47%,66.47%,66.47%,66.47%,66.47%,63.94%,63.57%,57.66%,57.66%,49.11%,49.11%,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.91%,8.96%,,,,
Shareholding Pattern (Quarterly),Public,32.95%,33.53%,33.53%,33.54%,33.53%,33.54%,36.07%,36.43%,42.33%,42.34%,42.98%,41.93%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,156,159,881,1870,2666,3466,4601,7009,7091,9488,12001,11855,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,66.47%,,,,63.57%,,,,49.11%,68.91%,68.91%,68.91%,67.69%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,8.96%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,33.54%,,,,36.43%,,,,41.93%,31.09%,31.09%,31.09%,32.32%
Shareholding Pattern (Yearly),No. of Shareholders,,,,1870,,,,7009,,,,11855,217,195,178,163
,,,,,,,,,,,,,,,,,
