Section,,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1432,1493,1483,1395,1613,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,1386,1422,1438,1327,1489,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,46,72,46,68,123,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,3%,5%,3%,5%,8%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,20,15,18,6,4,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,22,24,19,21,18,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,17,17,17,18,20,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,28,46,27,35,90,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,40%,30%,17%,45%,33%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,17,32,23,19,60,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.86,1.67,1.16,0.99,3.12,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,58%,30%,43%,50%,29%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,98,98,98,97,97,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,57,78,91,100,140,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,179,143,140,138,155,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,233,211,280,299,394,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,567,529,608,633,785,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,260,247,230,251,256,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,20,19,37,33,29,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,1,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,286,263,340,349,500,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,567,529,608,633,785,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,33,70,58,54,45,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-11,-0,-13,-29,-17,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-8,-71,-34,-37,-11,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,14,-1,11,-12,17,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,27,26,42,40,52,,,,,,,,,,,,,,,,,,
