Section,,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Jun 2007,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Dec 2016,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019
Quarterly Results,Sales,42.03,40.74,46.84,50.74,54.76,50.17,56.02,53.33,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,36.83,35.14,40.92,44.08,46.43,43.05,48.20,45.59,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,5.20,5.60,5.92,6.66,8.33,7.12,7.82,7.74,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,12.37%,13.75%,12.64%,13.13%,15.21%,14.19%,13.96%,14.51%,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.35,0.20,0.21,0.28,0.60,0.35,0.09,0.29,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1.83,1.78,1.90,1.85,1.74,1.92,2.27,2.89,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1.32,1.49,1.55,1.68,1.86,1.91,2.24,2.26,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,2.40,2.53,2.68,3.41,5.33,3.64,3.40,2.88,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,56.67%,31.62%,38.43%,42.23%,27.58%,35.71%,27.94%,31.25%,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.04,1.73,1.53,1.81,3.69,2.25,2.38,1.93,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,1.52,1.80,3.67,2.24,2.37,1.76,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,190,,,,220,227,244,255,351,386,363,393,425,372,257,,,,,,,,,,,
Profit & Loss,Expenses,,,,,163,,,,190,196,213,218,299,326,305,366,373,348,253,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,27,,,,30,32,31,38,52,60,58,27,53,24,4,,,,,,,,,,,
Profit & Loss,OPM %,,,,,14%,,,,14%,14%,13%,15%,15%,15%,16%,7%,12%,6%,2%,,,,,,,,,,,
Profit & Loss,Other Income,,,,,1,,,,3,4,4,2,4,1,3,1,2,2,13,,,,,,,,,,,
Profit & Loss,Interest,,,,,7,,,,9,12,16,15,19,26,32,37,38,39,41,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,7,,,,9,9,10,13,19,23,22,17,12,16,17,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,14,,,,16,15,8,11,18,12,7,-27,4,-29,-41,,,,,,,,,,,
Profit & Loss,Tax %,,,,,39%,,,,42%,38%,46%,39%,33%,21%,24%,2%,29%,14%,0%,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,9,,,,9,9,4,7,12,10,5,-28,3,-32,-40,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,8.72,,,,8.17,8.55,3.91,6.32,11.21,8.81,4.79,-25.16,3.00,-29.52,-36.54,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,23%,,,,22%,14%,15%,16%,13%,17%,17%,0%,0%,0%,0%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,10,,,,11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,,
Balance Sheet,Reserves,,,,,59,,,,74,82,84,90,100,108,112,85,88,55,15,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,62,,,,70,110,121,123,148,201,239,266,271,253,261,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,60,,,,65,73,76,97,134,119,100,138,181,169,176,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,191,,,,220,275,291,321,394,439,462,500,550,488,462,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,37,,,,49,57,67,64,95,106,93,88,90,150,144,,,,,,,,,,,
Balance Sheet,CWIP,,,,,4,,,,0,3,1,1,1,0,1,4,24,18,24,,,,,,,,,,,
Balance Sheet,Investments,,,,,1,,,,1,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,148,,,,169,214,221,255,296,331,366,405,434,318,290,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,191,,,,220,275,291,321,394,439,462,500,550,488,462,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,4,,,,1,-13,6,11,43,19,7,29,59,76,30,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-14,,,,-16,-19,-19,-9,-50,-34,-8,-22,-26,-29,3,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,4,,,,10,38,9,0,7,14,3,-10,-33,-46,-35,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,-6,,,,-6,7,-3,3,-1,-1,2,-3,-0,1,-2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,85,,,,79,105,91,94,80,79,84,85,82,73,78,,,,,,,,,,,
Ratios,Inventory Days,,,,,415,,,,413,465,437,548,421,475,593,575,539,404,604,,,,,,,,,,,
Ratios,Days Payable,,,,,200,,,,190,209,186,245,218,171,129,131,167,146,168,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,301,,,,302,361,342,397,282,383,548,529,454,331,515,,,,,,,,,,,
Ratios,Working Capital Days,,,,,162,,,,165,212,211,213,140,170,229,229,206,133,140,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,17%,15%,12%,12%,15%,13%,11%,3%,12%,3%,0%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,63.16%,63.16%,63.16%,63.16%,63.16%,62.94%,62.85%,62.85%,62.85%,62.85%,62.85%,62.85%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,36.80%,36.80%,36.80%,36.80%,36.80%,37.03%,37.11%,37.11%,37.11%,37.11%,37.11%,37.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,6665,6643,6634,6533,6513,6517,6394,6492,6476,6436,6400,6382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,,,,,63.16%,,,,,62.94%,,,,62.85%,,62.85%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,,,,,0.01%,,,,,0.01%,,,,0.01%,,0.01%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,,,,,0.03%,,,,,0.03%,,,,0.03%,,0.03%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,,,,,36.80%,,,,,37.03%,,,,37.11%,,37.11%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,,,,,6665,,,,,6517,,,,6436,,6382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
