Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,
,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.84%,74.84%,74.84%,74.84%,74.84%,74.85%,74.97%,74.97%,74.99%,74.99%,74.99%
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.14%,0.17%,0.12%,0.01%,0.02%,0.03%,0.03%,0.36%
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.24%,0.31%,0.26%,0.49%,0.52%
Shareholding Pattern (Quarterly),Public,25.16%,25.15%,25.15%,25.01%,24.98%,24.78%,24.77%,24.69%,24.71%,24.48%,24.11%
Shareholding Pattern (Quarterly),No. of Shareholders,10493,12035,13200,18398,24071,25981,27151,28422,37383,37924,38539
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,74.84%,,,,74.97%,,,,74.99%
Shareholding Pattern (Yearly),FIIs,,,0.00%,,,,0.01%,,,,0.36%
Shareholding Pattern (Yearly),DIIs,,,0.00%,,,,0.24%,,,,0.52%
Shareholding Pattern (Yearly),Public,,,25.15%,,,,24.77%,,,,24.11%
Shareholding Pattern (Yearly),No. of Shareholders,,,13200,,,,27151,,,,38539
,,,,,,,,,,,,
