Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Mar 20159m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,278,263,107,106,107,111,113,110,106,110,109,113,117,,,,,,,,,
Quarterly Results,Expenses,276,263,109,108,105,110,109,108,100,109,112,115,116,,,,,,,,,
Quarterly Results,Operating Profit,1,0,-2,-1,2,1,4,3,6,1,-3,-2,1,,,,,,,,,
Quarterly Results,OPM %,1%,0%,-2%,-1%,2%,1%,3%,2%,6%,1%,-3%,-1%,1%,,,,,,,,,
Quarterly Results,Other Income,10,4,-3,-0,2,-22,-1,1,39,3,-1,-14,-9,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,1,0,1,0,0,1,1,1,,,,,,,,,
Quarterly Results,Depreciation,6,7,5,6,7,1,1,1,4,1,2,2,2,,,,,,,,,
Quarterly Results,Profit before tax,5,-3,-10,-8,-3,-22,2,2,41,2,-6,-18,-10,,,,,,,,,
Quarterly Results,Tax %,33%,54%,-7%,-13%,-34%,-0%,211%,209%,9%,88%,25%,7%,18%,,,,,,,,,
Quarterly Results,Net Profit,3,-4,-9,-7,-2,-22,-2,-2,38,0,-7,-20,-12,,,,,,,,,
Quarterly Results,EPS in Rs,0.13,-0.19,-0.35,-0.29,-0.06,-0.94,-0.11,-0.05,1.61,0.01,-0.32,-0.84,-0.53,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,991,,,,432,,,,439,,,,448,2111,1587,855,259,281,377,407,712,
Profit & Loss,Expenses,976,,,,429,,,,426,,,,452,2105,1833,864,288,276,362,401,700,
Profit & Loss,Operating Profit,15,,,,3,,,,14,,,,-3,6,-246,-9,-29,5,14,6,12,
Profit & Loss,OPM %,2%,,,,1%,,,,3%,,,,-1%,0%,-16%,-1%,-11%,2%,4%,1%,2%,
Profit & Loss,Other Income,20,,,,-3,,,,18,,,,-21,12,-25,-19,21,-23,18,-35,24,
Profit & Loss,Interest,1,,,,1,,,,2,,,,3,3,3,1,0,2,3,4,2,
Profit & Loss,Depreciation,20,,,,22,,,,7,,,,6,38,24,28,20,17,18,21,23,
Profit & Loss,Profit before tax,13,,,,-23,,,,22,,,,-32,-23,-298,-57,-28,-37,12,-54,12,
Profit & Loss,Tax %,50%,,,,-6%,,,,46%,,,,20%,18%,3%,17%,36%,22%,24%,4%,53%,
Profit & Loss,Net Profit,7,,,,-22,,,,12,,,,-39,-28,-306,-67,-38,-45,9,-56,6,
Profit & Loss,EPS in Rs,0.23,,,,-0.89,,,,0.50,,,,-1.68,-1.24,-13.49,-3.01,-1.57,-1.57,0.27,-2.16,0.50,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,-12%,0%,0%,0%,0%,150%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,61,,,,62,,,,62,,,,62,68,,68,54,61,61,61,61,68
Balance Sheet,Reserves,186,,,,170,,,,184,,,,150,616,,211,225,216,224,163,177,305
Balance Sheet,Borrowings,54,,,,84,,,,26,,,,79,14,,53,6,34,57,26,34,15
Balance Sheet,Other Liabilities,399,,,,392,,,,378,,,,421,375,,320,262,131,187,168,260,454
Balance Sheet,Total Liabilities,700,,,,708,,,,649,,,,713,1073,,652,547,442,529,418,531,842
Balance Sheet,Fixed Assets,104,,,,85,,,,71,,,,81,398,,127,155,132,127,124,106,192
Balance Sheet,CWIP,4,,,,2,,,,6,,,,0,8,,1,9,8,4,4,5,10
Balance Sheet,Investments,0,,,,0,,,,38,,,,0,83,,84,10,18,22,6,1,73
Balance Sheet,Other Assets,592,,,,620,,,,534,,,,631,584,,440,372,284,376,284,419,568
Balance Sheet,Total Assets,700,,,,708,,,,649,,,,713,1073,,652,547,442,529,418,531,842
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,149,,,,6,,,,42,,,,12,37,,-65,-68,-11,-33,57,119,-39
Cash Flows,Cash from Investing Activity,-119,,,,-37,,,,5,,,,14,21,,41,14,78,-4,-7,-83,30
Cash Flows,Cash from Financing Activity,-8,,,,26,,,,-56,,,,48,-66,,36,19,-47,1,-27,0,-1
Cash Flows,Net Cash Flow,22,,,,-5,,,,-9,,,,74,-9,,13,-36,20,-37,23,36,-10
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,26,,,,29,,,,18,,,,22,23,,44,76,48,72,42,29,30
Ratios,Inventory Days,,,,,,,,,,,,,,20,,34,28,1,1,2,4,32
Ratios,Days Payable,,,,,,,,,,,,,,58,,134,465,541,342,183,56,94
Ratios,Cash Conversion Cycle,26,,,,29,,,,18,,,,22,-16,,-56,-360,-492,-269,-140,-23,-31
Ratios,Working Capital Days,-95,,,,-229,,,,-228,,,,-155,5,,-5,-49,22,54,-36,-70,-6
