Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,364,339,278,354,369,348,231,220,253,231,258,307,402,,,,
Quarterly Results,Expenses,207,188,179,207,198,181,133,154,180,151,154,189,328,,,,
Quarterly Results,Operating Profit,157,151,100,147,172,167,98,66,73,80,104,118,74,,,,
Quarterly Results,OPM %,43%,45%,36%,41%,47%,48%,42%,30%,29%,35%,40%,38%,18%,,,,
Quarterly Results,Other Income,17,11,11,13,11,11,20,14,17,18,14,16,11,,,,
Quarterly Results,Interest,2,1,0,1,5,1,0,2,2,2,2,3,6,,,,
Quarterly Results,Depreciation,10,12,12,12,12,13,12,13,17,13,17,20,27,,,,
Quarterly Results,Profit before tax,161,149,98,146,166,164,105,65,71,83,100,110,52,,,,
Quarterly Results,Tax %,43%,28%,27%,26%,25%,26%,25%,29%,25%,27%,18%,24%,25%,,,,
Quarterly Results,Net Profit,92,108,72,108,124,121,80,47,53,61,82,83,39,,,,
Quarterly Results,EPS in Rs,3.60,4.22,2.83,4.23,4.87,4.74,3.13,1.84,2.10,2.39,3.23,3.26,1.65,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1320,,,,1340,,,,1051,,,,1198,378,834,1010,
Profit & Loss,Expenses,738,,,,766,,,,645,,,,822,206,449,567,
Profit & Loss,Operating Profit,582,,,,574,,,,406,,,,375,172,385,443,
Profit & Loss,OPM %,44%,,,,43%,,,,39%,,,,31%,45%,46%,44%,
Profit & Loss,Other Income,133,,,,46,,,,62,,,,59,1,66,68,
Profit & Loss,Interest,9,,,,13,,,,7,,,,12,3,23,12,
Profit & Loss,Depreciation,39,,,,48,,,,55,,,,77,12,24,32,
Profit & Loss,Profit before tax,668,,,,560,,,,406,,,,344,158,405,468,
Profit & Loss,Tax %,32%,,,,27%,,,,26%,,,,23%,31%,22%,23%,
Profit & Loss,Net Profit,454,,,,411,,,,300,,,,265,109,317,362,
Profit & Loss,EPS in Rs,17.83,,,,16.16,,,,11.80,,,,10.52,,12.45,14.23,
Profit & Loss,Dividend Payout %,28%,,,,37%,,,,0%,,,,0%,0%,20%,14%,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,25,,,,25,,,,25,0.00,13,25,
Balance Sheet,Reserves,1502,,,,1710,,,,2025,,,,1671,578,832,1155,
Balance Sheet,Borrowings,97,,,,70,,,,65,,,,279,83,186,143,
Balance Sheet,Other Liabilities,205,,,,160,,,,138,,,,1056,123,142,151,
Balance Sheet,Total Liabilities,1830,,,,1966,,,,2254,,,,3032,783,1173,1474,
Balance Sheet,Fixed Assets,534,,,,663,,,,670,,,,1714,271,357,441,
Balance Sheet,CWIP,30,,,,165,,,,179,,,,255,111,102,96,
Balance Sheet,Investments,598,,,,536,,,,904,,,,337,7,338,542,
Balance Sheet,Other Assets,667,,,,601,,,,501,,,,726,394,376,395,
Balance Sheet,Total Assets,1830,,,,1966,,,,2254,,,,3032,783,1173,1474,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,330,,,,457,,,,358,,,,288,50,407,383,
Cash Flows,Cash from Investing Activity,-136,,,,-195,,,,-362,,,,-255,-65,-413,-311,
Cash Flows,Cash from Financing Activity,-156,,,,-242,,,,-14,,,,3,26,7,-76,
Cash Flows,Net Cash Flow,37,,,,20,,,,-18,,,,36,11,1,-5,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,65,,,,30,,,,46,,,,87,142,51,37,
Ratios,Inventory Days,259,,,,279,,,,268,,,,199,556,278,243,
Ratios,Days Payable,97,,,,63,,,,49,,,,96,190,113,100,
Ratios,Cash Conversion Cycle,228,,,,247,,,,265,,,,190,509,217,180,
Ratios,Working Capital Days,126,,,,117,,,,130,,,,153,285,105,95,
Ratios,ROCE %,41%,,,,32%,,,,19%,,,,17%,,50%,40%,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,50.10%,50.10%,50.10%,50.10%,50.10%,,,,66.41%
Shareholding Pattern (Quarterly),FIIs,,,7.58%,8.11%,9.47%,9.50%,10.01%,10.14%,9.54%,9.80%,10.70%,10.84%,11.05%,,,,7.38%
Shareholding Pattern (Quarterly),DIIs,,,10.87%,11.36%,11.43%,10.63%,14.13%,15.94%,17.24%,17.42%,16.95%,16.67%,16.60%,,,,11.02%
Shareholding Pattern (Quarterly),Government,,,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,0.01%
Shareholding Pattern (Quarterly),Public,,,21.56%,20.55%,19.10%,19.88%,15.85%,13.93%,23.11%,22.67%,22.26%,22.37%,22.24%,,,,15.18%
Shareholding Pattern (Quarterly),No. of Shareholders,,,82577,79412,72885,72167,73715,70052,68932,65777,69337,84210,86325,,,,88658
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.00%,,,,60.00%,,,,50.10%,,,,50.10%,,60.00%,60.00%,66.41%
Shareholding Pattern (Yearly),FIIs,8.56%,,,,9.47%,,,,9.54%,,,,11.05%,,0.00%,6.93%,7.38%
Shareholding Pattern (Yearly),DIIs,6.56%,,,,11.43%,,,,17.24%,,,,16.60%,,8.19%,5.52%,11.02%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.01%,,,,0.01%,,0.00%,0.00%,0.01%
Shareholding Pattern (Yearly),Public,24.88%,,,,19.10%,,,,23.11%,,,,22.24%,,31.81%,27.55%,15.18%
Shareholding Pattern (Yearly),No. of Shareholders,85725,,,,72885,,,,68932,,,,86325,,60684,75207,88658
,,,,,,,,,,,,,,,,,,
