Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,368.88,397.68,321.97,300.68,343.69,347.96,339.49,324.45,380.40,343.16,352.58,338.94,372.97,,
Quarterly Results,Expenses,320.70,348.16,274.02,259.66,292.89,306.14,304.25,284.70,325.86,287.99,310.74,296.17,337.81,,
Quarterly Results,Operating Profit,48.18,49.52,47.95,41.02,50.80,41.82,35.24,39.75,54.54,55.17,41.84,42.77,35.16,,
Quarterly Results,OPM %,13.06%,12.45%,14.89%,13.64%,14.78%,12.02%,10.38%,12.25%,14.34%,16.08%,11.87%,12.62%,9.43%,,
Quarterly Results,Other Income,6.76,6.20,4.27,13.50,5.82,4.00,6.65,11.09,7.75,7.90,12.08,6.72,-16.65,,
Quarterly Results,Interest,5.52,5.40,5.58,2.30,2.56,2.62,2.48,2.84,2.83,2.56,2.62,2.13,1.46,,
Quarterly Results,Depreciation,8.97,8.81,8.96,9.20,9.15,9.56,9.76,10.02,9.98,10.21,10.39,10.08,9.86,,
Quarterly Results,Profit before tax,40.45,41.51,37.68,43.02,44.91,33.64,29.65,37.98,49.48,50.30,40.91,37.28,7.19,,
Quarterly Results,Tax %,25.78%,25.68%,25.50%,26.22%,27.37%,26.93%,31.23%,21.85%,25.67%,28.33%,29.21%,28.41%,133.24%,,
Quarterly Results,Net Profit,30.02,30.85,28.07,31.74,32.62,24.58,20.39,29.68,36.78,36.05,28.96,26.69,-2.39,,
Quarterly Results,EPS in Rs,3.89,3.99,3.08,3.49,3.58,2.70,2.24,3.26,4.04,3.96,3.18,2.93,-0.26,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1321,,,,1364,,,,1392,,,,1408,886,874
Profit & Loss,Expenses,1152,,,,1174,,,,1221,,,,1233,799,752
Profit & Loss,Operating Profit,169,,,,190,,,,171,,,,175,86,122
Profit & Loss,OPM %,13%,,,,14%,,,,12%,,,,12%,10%,14%
Profit & Loss,Other Income,17,,,,29,,,,30,,,,10,13,3
Profit & Loss,Interest,25,,,,16,,,,11,,,,9,33,30
Profit & Loss,Depreciation,35,,,,36,,,,39,,,,41,35,34
Profit & Loss,Profit before tax,127,,,,167,,,,151,,,,136,32,61
Profit & Loss,Tax %,27%,,,,26%,,,,26%,,,,34%,31%,25%
Profit & Loss,Net Profit,92,,,,123,,,,111,,,,89,22,45
Profit & Loss,EPS in Rs,11.90,,,,13.54,,,,12.24,,,,9.81,4.38,9.09
Profit & Loss,Dividend Payout %,0%,,,,7%,,,,8%,,,,10%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,77,,,,91,,,,91,,,,91,50,50
Balance Sheet,Reserves,445,,,,981,,,,1084,,,,1163,322,377
Balance Sheet,Borrowings,385,,,,182,,,,177,,,,200,419,357
Balance Sheet,Other Liabilities,252,,,,191,,,,215,,,,236,197,197
Balance Sheet,Total Liabilities,1158,,,,1445,,,,1567,,,,1691,988,981
Balance Sheet,Fixed Assets,356,,,,387,,,,418,,,,414,334,342
Balance Sheet,CWIP,2,,,,12,,,,15,,,,161,3,3
Balance Sheet,Investments,6,,,,194,,,,234,,,,305,7,9
Balance Sheet,Other Assets,794,,,,853,,,,900,,,,810,644,626
Balance Sheet,Total Assets,1158,,,,1445,,,,1567,,,,1691,988,981
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,36,,,,137,,,,136,,,,206,113,121
Cash Flows,Cash from Investing Activity,-52,,,,-312,,,,-158,,,,-212,-51,-20
Cash Flows,Cash from Financing Activity,4,,,,216,,,,-25,,,,6,-38,-92
Cash Flows,Net Cash Flow,-12,,,,41,,,,-47,,,,0,24,9
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,78,,,,75,,,,84,,,,78,98,89
Ratios,Inventory Days,185,,,,187,,,,166,,,,165,185,235
Ratios,Days Payable,90,,,,58,,,,62,,,,72,89,103
Ratios,Cash Conversion Cycle,173,,,,204,,,,187,,,,171,194,222
Ratios,Working Capital Days,138,,,,142,,,,145,,,,187,151,158
Ratios,ROCE %,18%,,,,17%,,,,12%,,,,12%,,12%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,,
Shareholding Pattern (Quarterly),FIIs,,,3.84%,4.07%,3.74%,1.81%,1.86%,1.61%,1.61%,0.76%,0.56%,0.58%,0.54%,,
Shareholding Pattern (Quarterly),DIIs,,,9.04%,11.06%,11.37%,10.02%,9.19%,8.14%,7.43%,8.69%,8.85%,8.72%,8.64%,,
Shareholding Pattern (Quarterly),Public,,,12.52%,10.27%,10.27%,13.56%,14.33%,15.62%,16.36%,15.92%,15.98%,16.08%,16.21%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,164536,132892,122843,105011,99274,96528,91107,78307,79500,77771,77352,,
,,,,,,,,,,,,,,,,
