Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,1257,1372,1972,1512,1668,2001,2436,1588,,,,
Quarterly Results,Expenses,1212,1326,1880,1423,1604,1947,2313,1494,,,,
Quarterly Results,Operating Profit,45,45,92,89,64,54,123,94,,,,
Quarterly Results,OPM %,4%,3%,5%,6%,4%,3%,5%,6%,,,,
Quarterly Results,Other Income,1,2,2,2,2,12,7,15,,,,
Quarterly Results,Interest,10,11,11,12,12,13,6,11,,,,
Quarterly Results,Depreciation,6,6,6,5,6,7,8,13,,,,
Quarterly Results,Profit before tax,30,30,77,73,48,46,115,85,,,,
Quarterly Results,Tax %,27%,28%,26%,25%,26%,24%,25%,27%,,,,
Quarterly Results,Net Profit,22,22,58,55,35,35,86,62,,,,
Quarterly Results,EPS in Rs,4.01,3.98,10.43,4.66,2.99,2.57,6.34,4.57,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,6060,,,,7693,2458,1901,2539,4488
Profit & Loss,Expenses,,,,5791,,,,7358,2355,1846,2428,4366
Profit & Loss,Operating Profit,,,,269,,,,336,103,55,111,123
Profit & Loss,OPM %,,,,4%,,,,4%,4%,3%,4%,3%
Profit & Loss,Other Income,,,,8,,,,35,17,15,31,52
Profit & Loss,Interest,,,,46,,,,43,43,37,35,35
Profit & Loss,Depreciation,,,,23,,,,35,27,27,22,22
Profit & Loss,Profit before tax,,,,208,,,,293,50,6,85,118
Profit & Loss,Tax %,,,,26%,,,,26%,46%,218%,18%,21%
Profit & Loss,Net Profit,,,,154,,,,218,27,-7,70,94
Profit & Loss,EPS in Rs,,,,13.08,,,,16.08,4.88,-1.32,10.43,13.46
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,118,,,,136,55,55,55,55
Balance Sheet,Reserves,,,,416,,,,1418,132,135,191,256
Balance Sheet,Borrowings,,,,455,,,,930,443,361,398,387
Balance Sheet,Other Liabilities,,,,475,,,,660,563,469,465,365
Balance Sheet,Total Liabilities,,,,1465,,,,3144,1192,1020,1110,1063
Balance Sheet,Fixed Assets,,,,242,,,,322,184,199,234,208
Balance Sheet,CWIP,,,,4,,,,4,56,46,4,4
Balance Sheet,Investments,,,,1,,,,9,1,1,1,1
Balance Sheet,Other Assets,,,,1218,,,,2811,951,774,872,850
Balance Sheet,Total Assets,,,,1465,,,,3144,1192,1020,1110,1063
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,6,,,,-675,68,146,73,105
Cash Flows,Cash from Investing Activity,,,,-49,,,,-424,3,-26,-22,-45
Cash Flows,Cash from Financing Activity,,,,51,,,,1167,-93,-127,-46,-55
Cash Flows,Net Cash Flow,,,,9,,,,68,-22,-7,5,5
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,2,,,,2,9,6,4,3
Ratios,Inventory Days,,,,63,,,,106,126,133,111,53
Ratios,Days Payable,,,,10,,,,13,18,15,27,12
Ratios,Cash Conversion Cycle,,,,55,,,,95,117,124,89,44
Ratios,Working Capital Days,,,,40,,,,71,40,47,49,35
Ratios,ROCE %,,,,30%,,,,19%,,8%,21%,23%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,83.11%,83.11%,83.11%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.80%,1.93%,0.65%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,5.80%,5.34%,5.49%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,7.29%,9.60%,10.75%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,168356,188567,201809,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,83.11%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.65%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,5.49%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,10.75%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,201809,,,,
,,,,,,,,,,,,,
