Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 200615m,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2019,Mar 2020,Mar 2006,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2017,Mar 2018
Quarterly Results,Sales,38.13,26.61,54.86,68.15,58.66,53.35,3.36,6.26,78.66,7.84,5.28,2.17,0.81,,,,,,,,,,,,,,,
Quarterly Results,Expenses,37.88,34.86,55.19,68.54,65.04,53.70,0.15,2.04,15.36,2.08,1.89,6.06,2.00,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,0.25,-8.25,-0.33,-0.39,-6.38,-0.35,3.21,4.22,63.30,5.76,3.39,-3.89,-1.19,,,,,,,,,,,,,,,
Quarterly Results,OPM %,0.66%,-31.00%,-0.60%,-0.57%,-10.88%,-0.66%,95.54%,67.41%,80.47%,73.47%,64.20%,-179.26%,-146.91%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,2.10,0.75,1.83,-0.22,37.03,0.29,-3.74,0.71,34.41,-2.65,-13.40,-5.75,6.16,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.53,0.53,0.70,0.56,0.56,0.44,0.54,1.29,1.64,1.69,1.71,1.71,1.68,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.80,1.12,1.15,0.78,0.72,1.07,0.20,0.20,0.19,0.19,0.20,0.20,0.07,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.02,-9.15,-0.35,-1.95,29.37,-1.57,-1.27,3.44,95.88,1.23,-11.92,-11.55,3.22,,,,,,,,,,,,,,,
Quarterly Results,Tax %,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,-0.93%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.85,-9.15,-0.35,-1.95,29.37,-1.57,-1.27,3.44,95.82,1.23,-11.92,-11.55,3.25,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.04,-0.48,-0.02,-0.10,1.53,-0.08,-0.07,0.18,5.00,0.06,-0.62,-0.60,0.17,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,104,,,,207,,,,90,,,,10,449,236,223,208,225,259,336,285,,,,,,,
Profit & Loss,Expenses,121,,,,222,,,,18,,,,6,420,231,229,208,222,249,339,289,,,,,,,
Profit & Loss,Operating Profit,-17,,,,-15,,,,72,,,,4,28,5,-6,-0,3,10,-4,-4,,,,,,,
Profit & Loss,OPM %,-16%,,,,-7%,,,,80%,,,,39%,6%,2%,-3%,-0%,1%,4%,-1%,-1%,,,,,,,
Profit & Loss,Other Income,11,,,,38,,,,29,,,,-16,-41,-12,-21,-10,-32,-1,50,8,,,,,,,
Profit & Loss,Interest,2,,,,2,,,,4,,,,7,26,3,2,4,1,1,8,2,,,,,,,
Profit & Loss,Depreciation,3,,,,3,,,,1,,,,1,20,15,15,14,14,13,6,5,,,,,,,
Profit & Loss,Profit before tax,-11,,,,18,,,,96,,,,-19,-59,-26,-44,-28,-44,-5,33,-3,,,,,,,
Profit & Loss,Tax %,2%,,,,0%,,,,0%,,,,-0%,1%,1%,0%,1%,0%,0%,0%,0%,,,,,,,
Profit & Loss,Net Profit,-11,,,,18,,,,96,,,,-19,-59,-26,-44,-28,-44,-5,33,-3,,,,,,,
Profit & Loss,EPS in Rs,-0.60,,,,0.93,,,,5.03,,,,-0.99,-5.20,-2.27,-3.92,-2.49,-3.85,-0.46,2.54,-0.26,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,192,,,,192,,,,192,,,,192,,33,33,33,33,33,93,53,33,,,,,,
Balance Sheet,Reserves,18,,,,35,,,,125,,,,107,,-239,-265,-293,-305,-272,132,29,-210,,,,,,
Balance Sheet,Borrowings,23,,,,18,,,,124,,,,122,,588,528,531,528,491,28,25,591,,,,,,
Balance Sheet,Other Liabilities,37,,,,73,,,,92,,,,82,,37,38,33,29,29,66,189,40,,,,,,
Balance Sheet,Total Liabilities,269,,,,318,,,,533,,,,502,,420,335,304,286,282,319,296,454,,,,,,
Balance Sheet,Fixed Assets,134,,,,117,,,,131,,,,47,,284,250,228,213,199,137,139,311,,,,,,
Balance Sheet,CWIP,1,,,,8,,,,7,,,,0,,0,0,0,0,0,0,1,0,,,,,,
Balance Sheet,Investments,3,,,,13,,,,31,,,,31,,4,4,0,0,0,13,15,4,,,,,,
Balance Sheet,Other Assets,131,,,,180,,,,364,,,,425,,132,81,76,73,83,169,142,139,,,,,,
Balance Sheet,Total Assets,269,,,,318,,,,533,,,,502,,420,335,304,286,282,319,296,454,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-8,,,,-26,,,,-39,,,,-20,,6,5,-3,6,-2,-26,4,35,,,,,,
Cash Flows,Cash from Investing Activity,-7,,,,37,,,,-3,,,,29,,-5,-2,2,0,1,55,13,-2,,,,,,
Cash Flows,Cash from Financing Activity,13,,,,-6,,,,86,,,,-10,,-3,-2,-1,-3,-0,-24,-20,-40,,,,,,
Cash Flows,Net Cash Flow,-2,,,,6,,,,44,,,,-0,,-2,1,-2,3,-2,6,-2,-7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,,39,,,,152,,,,137,,22,23,32,33,25,27,21,14,,,,,,
Ratios,Inventory Days,246,,,,246,,,,7521,,,,,,154,137,130,113,133,157,142,76,,,,,,
Ratios,Days Payable,172,,,,153,,,,1733,,,,,,69,77,68,54,44,116,104,36,,,,,,
Ratios,Cash Conversion Cycle,124,,,,133,,,,5940,,,,137,,107,83,94,92,114,68,58,54,,,,,,
Ratios,Working Capital Days,110,,,,126,,,,653,,,,6666,,129,48,59,54,65,78,80,71,,,,,,
