Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,120.06,99.11,36.82,8.32,5.07,7.25,0.00,2.13,1.28,2.49,2.04,17.84,1.47,,,,,,
Quarterly Results,Expenses,109.10,100.29,38.73,12.57,16.40,7.65,0.45,3.17,1.84,3.32,3.20,20.70,1.28,,,,,,
Quarterly Results,Operating Profit,10.96,-1.18,-1.91,-4.25,-11.33,-0.40,-0.45,-1.04,-0.56,-0.83,-1.16,-2.86,0.19,,,,,,
Quarterly Results,OPM %,9.13%,-1.19%,-5.19%,-51.08%,-223.47%,-5.52%,,-48.83%,-43.75%,-33.33%,-56.86%,-16.03%,12.93%,,,,,,
Quarterly Results,Other Income,0.18,0.02,0.29,0.03,-0.05,0.06,0.01,0.76,-0.06,0.23,0.74,0.04,0.09,,,,,,
Quarterly Results,Interest,0.47,0.24,0.35,0.65,0.29,0.02,0.11,0.11,-0.07,0.02,0.01,0.03,0.00,,,,,,
Quarterly Results,Depreciation,1.01,0.82,0.85,0.77,0.75,0.05,0.05,0.04,0.06,0.04,0.04,0.04,0.02,,,,,,
Quarterly Results,Profit before tax,9.66,-2.22,-2.82,-5.64,-12.42,-0.41,-0.60,-0.43,-0.61,-0.66,-0.47,-2.89,0.26,,,,,,
Quarterly Results,Tax %,16.15%,-1.80%,-0.71%,-9.22%,-44.85%,2.44%,-1.67%,0.00%,-85.25%,-25.76%,-17.02%,-17.30%,-11.54%,,,,,,
Quarterly Results,Net Profit,8.10,-2.18,-2.79,-5.11,-6.85,-0.42,-0.59,-0.43,-0.09,-0.49,-0.40,-2.39,0.28,,,,,,
Quarterly Results,EPS in Rs,7.29,-1.96,-2.51,-4.60,-6.17,-0.38,-0.53,-0.39,-0.08,-0.44,-0.36,-2.15,0.25,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,202.81,,,,149.33,,,,10.63,,,,23.84,89.90,109.81,133.37,173.47,158.90,210.44
Profit & Loss,Expenses,194.06,,,,156.15,,,,13.07,,,,28.36,85.91,101.51,122.81,155.85,149.94,202.89
Profit & Loss,Operating Profit,8.75,,,,-6.82,,,,-2.44,,,,-4.52,3.99,8.30,10.56,17.62,8.96,7.55
Profit & Loss,OPM %,4.31%,,,,-4.57%,,,,-22.95%,,,,-18.96%,4.44%,7.56%,7.92%,10.16%,5.64%,3.59%
Profit & Loss,Other Income,0.26,,,,-11.52,,,,0.77,,,,1.13,1.12,0.83,0.10,0.36,0.12,0.13
Profit & Loss,Interest,1.81,,,,1.56,,,,0.17,,,,0.05,2.02,2.42,2.51,4.06,3.63,3.31
Profit & Loss,Depreciation,3.86,,,,3.18,,,,0.21,,,,0.11,0.28,1.05,0.90,4.21,5.39,4.55
Profit & Loss,Profit before tax,3.34,,,,-23.08,,,,-2.05,,,,-3.55,2.81,5.66,7.25,9.71,0.06,-0.18
Profit & Loss,Tax %,7.78%,,,,-26.78%,,,,-25.37%,,,,-21.41%,33.10%,33.04%,34.62%,35.12%,350.00%,-144.44%
Profit & Loss,Net Profit,3.10,,,,-16.90,,,,-1.53,,,,-2.79,1.88,3.79,4.74,6.30,-0.15,0.08
Profit & Loss,EPS in Rs,2.79,,,,-15.22,,,,-1.38,,,,-2.51,20.89,7.02,4.27,5.68,-0.14,0.07
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,7.81%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11.11,,,,11.11,,,,11.11,,,,11.11,0.60,3.60,7.40,7.40,11.11,11.11
Balance Sheet,Reserves,21.28,,,,4.39,,,,2.86,,,,0.39,4.20,4.98,15.94,21.94,18.07,18.16
Balance Sheet,Borrowings,14.83,,,,1.02,,,,0.72,,,,1.49,26.94,24.77,47.32,51.65,41.14,32.04
Balance Sheet,Other Liabilities,2.25,,,,1.65,,,,5.75,,,,7.17,3.34,2.87,9.70,8.54,4.86,9.36
Balance Sheet,Total Liabilities,49.47,,,,18.17,,,,20.44,,,,20.16,35.08,36.22,80.36,89.53,75.18,70.67
Balance Sheet,Fixed Assets,26.49,,,,1.15,,,,0.66,,,,0.18,6.05,6.88,18.93,37.92,33.97,29.89
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.50,9.52,0.00,0.00,0.00
Balance Sheet,Investments,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Balance Sheet,Other Assets,22.98,,,,17.02,,,,19.78,,,,19.98,29.03,28.84,51.91,51.61,41.21,40.78
Balance Sheet,Total Assets,49.47,,,,18.17,,,,20.44,,,,20.16,35.08,36.22,80.36,89.53,75.18,70.67
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,16.94,,,,2.95,,,,-1.02,,,,-2.21,,7.44,-7.46,17.26,14.08,13.45
Cash Flows,Cash from Investing Activity,-0.36,,,,11.05,,,,0.52,,,,0.53,,-2.30,-21.89,-13.61,-1.35,-0.39
Cash Flows,Cash from Financing Activity,-16.29,,,,-14.24,,,,-0.34,,,,0.85,,-4.47,29.45,-3.73,-12.77,-12.71
Cash Flows,Net Cash Flow,0.29,,,,-0.24,,,,-0.84,,,,-0.83,,0.66,0.10,-0.08,-0.04,0.34
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,12.20,,,,15.55,,,,66.61,,,,37.36,46.45,44.97,41.74,62.85,24.21,24.63
Ratios,Inventory Days,16.03,,,,0.60,,,,118.14,,,,0.00,65.11,38.50,77.84,16.01,43.93,27.20
Ratios,Days Payable,1.45,,,,1.63,,,,8.54,,,,,9.23,0.77,18.92,9.70,7.93,15.81
Ratios,Cash Conversion Cycle,26.79,,,,14.52,,,,176.22,,,,37.36,102.32,82.70,100.66,69.17,60.21,36.02
Ratios,Working Capital Days,31.08,,,,18.94,,,,230.06,,,,85.43,97.16,78.68,103.67,77.37,70.98,44.59
Ratios,ROCE %,9.45%,,,,-30.47%,,,,-12.50%,,,,-25.29%,,24.83%,18.77%,18.16%,4.88%,4.76%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,52.39%,52.39%,52.39%,52.39%,52.39%,52.12%,52.09%,52.09%,52.09%,52.09%,9.46%,6.54%,,,,,,
Shareholding Pattern (Quarterly),Public,,47.61%,47.61%,47.61%,47.61%,47.61%,47.88%,47.91%,47.91%,47.91%,47.91%,90.54%,93.46%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1446,1611,1768,1824,2325,2736,3084,5027,4772,4848,5254,5433,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.39%,,,,52.39%,,,,52.09%,,,,6.54%,,,72.93%,72.93%,74.96%,74.96%
Shareholding Pattern (Yearly),Public,47.61%,,,,47.61%,,,,47.91%,,,,93.46%,,,27.08%,27.06%,25.03%,25.04%
Shareholding Pattern (Yearly),No. of Shareholders,906,,,,1824,,,,5027,,,,5433,,,301,263,231,208
,,,,,,,,,,,,,,,,,,,,
