Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,23.80,19.85,9.46,16.24,12.39,14.85,24.98,19.22,21.68,19.86,15.76,,,,,
Quarterly Results,Expenses,22.96,18.27,9.03,15.33,11.60,13.86,24.42,18.53,20.95,19.24,15.59,,,,,
Quarterly Results,Operating Profit,0.84,1.58,0.43,0.91,0.79,0.99,0.56,0.69,0.73,0.62,0.17,,,,,
Quarterly Results,OPM %,3.53%,7.96%,4.55%,5.60%,6.38%,6.67%,2.24%,3.59%,3.37%,3.12%,1.08%,,,,,
Quarterly Results,Other Income,0.00,0.00,0.11,0.00,0.00,0.00,0.26,0.07,0.08,0.06,0.07,,,,,
Quarterly Results,Interest,0.05,0.24,0.08,0.09,0.00,0.02,0.00,0.04,0.05,0.01,0.06,,,,,
Quarterly Results,Depreciation,0.00,0.15,0.05,0.04,0.03,0.05,0.13,0.06,0.05,0.06,0.05,,,,,
Quarterly Results,Profit before tax,0.79,1.19,0.41,0.78,0.76,0.92,0.69,0.66,0.71,0.61,0.13,,,,,
Quarterly Results,Tax %,0.00%,53.78%,26.83%,14.10%,36.84%,26.09%,27.54%,25.76%,26.76%,22.95%,100.00%,,,,,
Quarterly Results,Net Profit,0.72,0.52,0.60,0.65,0.54,0.79,0.58,0.62,0.61,0.90,0.16,,,,,
Quarterly Results,EPS in Rs,0.05,0.04,0.04,0.05,0.04,0.06,0.04,0.04,0.04,0.06,0.01,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,65.99,,,,68.43,,,,76.51,55.16,82.41,,,
Profit & Loss,Expenses,,,62.55,,,,65.12,,,,74.31,54.68,80.40,,,
Profit & Loss,Operating Profit,,,3.44,,,,3.31,,,,2.20,0.48,2.01,,,
Profit & Loss,OPM %,,,5.21%,,,,4.84%,,,,2.88%,0.87%,2.44%,,,
Profit & Loss,Other Income,,,0.12,,,,0.26,,,,0.28,0.00,0.01,,,
Profit & Loss,Interest,,,0.46,,,,0.17,,,,0.15,0.16,0.32,,,
Profit & Loss,Depreciation,,,0.20,,,,0.25,,,,0.22,0.08,0.24,,,
Profit & Loss,Profit before tax,,,2.90,,,,3.15,,,,2.11,0.24,1.46,,,
Profit & Loss,Tax %,,,25.86%,,,,26.03%,,,,29.38%,37.50%,26.71%,,,
Profit & Loss,Net Profit,,,2.17,,,,2.56,,,,2.29,0.14,1.07,,,
Profit & Loss,EPS in Rs,,,0.15,,,,0.18,,,,0.16,0.01,0.07,,,
Profit & Loss,Dividend Payout %,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,14.27,,,,14.27,,,,14.27,9.91,14.27,,,
Balance Sheet,Reserves,,,3.20,,,,5.72,,,,8.01,4.38,1.09,,,
Balance Sheet,Borrowings,,,1.41,,,,1.57,,,,0.08,0.60,2.32,,,
Balance Sheet,Other Liabilities,,,2.93,,,,2.20,,,,2.05,11.19,20.86,,,
Balance Sheet,Total Liabilities,,,21.81,,,,23.76,,,,24.41,26.08,38.54,,,
Balance Sheet,Fixed Assets,,,0.41,,,,0.47,,,,0.27,0.39,0.50,,,
Balance Sheet,CWIP,,,0.00,,,,0.00,,,,0.00,0.00,0.00,,,
Balance Sheet,Investments,,,0.91,,,,2.60,,,,3.51,0.00,0.60,,,
Balance Sheet,Other Assets,,,20.49,,,,20.69,,,,20.63,25.69,37.44,,,
Balance Sheet,Total Assets,,,21.81,,,,23.76,,,,24.41,26.08,38.54,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,4.72,,,,0.63,,,,2.51,-2.08,0.31,,,
Cash Flows,Cash from Investing Activity,,,-0.99,,,,-3.31,,,,0.23,-0.37,-0.94,,,
Cash Flows,Cash from Financing Activity,,,-1.33,,,,-0.03,,,,-1.73,-0.03,0.91,,,
Cash Flows,Net Cash Flow,,,2.40,,,,-2.71,,,,1.01,-2.48,0.28,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,70.63,,,,74.46,,,,62.64,118.45,130.48,,,
Ratios,Inventory Days,,,12.38,,,,12.86,,,,7.96,45.68,11.46,,,
Ratios,Days Payable,,,15.52,,,,9.85,,,,7.06,74.30,78.18,,,
Ratios,Cash Conversion Cycle,,,67.49,,,,77.48,,,,63.54,89.83,63.76,,,
Ratios,Working Capital Days,,,73.62,,,,79.74,,,,67.03,95.02,65.51,,,
Ratios,ROCE %,,,18.38%,,,,16.42%,,,,10.29%,,10.93%,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,71.03%,71.03%,71.03%,69.97%,69.97%,69.97%,69.97%,69.97%,69.97%,69.97%,69.97%,,71.03%,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.01%,0.47%,0.01%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,,0.00%,,,
Shareholding Pattern (Quarterly),Public,28.98%,28.98%,28.97%,29.56%,30.03%,30.03%,30.02%,30.03%,30.03%,29.87%,30.03%,,28.97%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,189,480,15804,27306,31725,35881,40533,47207,64359,82744,85352,,78,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,71.03%,,,,69.97%,,,,69.97%,71.03%,71.03%,71.03%,71.03%,71.03%
Shareholding Pattern (Yearly),FIIs,,,0.01%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,28.97%,,,,30.02%,,,,30.03%,28.97%,28.97%,28.97%,28.97%,28.97%
Shareholding Pattern (Yearly),No. of Shareholders,,,15804,,,,40533,,,,85352,58,78,64,59,63
,,,,,,,,,,,,,,,,,
