Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,May 2025
Quarterly Results,Sales,18,34,37,71,31,54,60,53,51,57,56,90,,,,,,,,,
Quarterly Results,Expenses,18,30,33,65,28,46,52,44,44,48,45,70,,,,,,,,,
Quarterly Results,Operating Profit,0,4,3,6,3,7,8,9,7,9,11,19,,,,,,,,,
Quarterly Results,OPM %,0%,11%,9%,9%,9%,13%,13%,17%,14%,16%,19%,22%,,,,,,,,,
Quarterly Results,Other Income,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
Quarterly Results,Profit before tax,0,4,3,6,3,7,8,8,7,9,12,19,,,,,,,,,
Quarterly Results,Tax %,60%,19%,18%,23%,23%,25%,26%,26%,24%,23%,23%,27%,,,,,,,,,
Quarterly Results,Net Profit,0,3,2,5,2,5,6,7,5,8,9,15,,,,,,,,,
Quarterly Results,EPS in Rs,0.01,0.20,0.15,0.33,0.15,0.33,0.37,0.43,0.33,0.48,0.57,0.93,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,160,,,,197,,,,254,120,115,124,161,132,99,170,190,
Profit & Loss,Expenses,,,,146,,,,170,,,,207,110,104,111,138,117,92,149,168,
Profit & Loss,Operating Profit,,,,14,,,,27,,,,47,11,11,14,23,14,7,21,23,
Profit & Loss,OPM %,,,,9%,,,,14%,,,,18%,9%,10%,11%,14%,11%,7%,12%,12%,
Profit & Loss,Other Income,,,,3,,,,4,,,,5,0,0,1,1,1,0,1,2,
Profit & Loss,Interest,,,,0,,,,1,,,,1,0,0,1,1,2,2,1,0,
Profit & Loss,Depreciation,,,,3,,,,4,,,,4,3,3,3,3,4,4,4,4,
Profit & Loss,Profit before tax,,,,13,,,,26,,,,47,8,8,11,20,9,2,17,21,
Profit & Loss,Tax %,,,,23%,,,,25%,,,,25%,32%,34%,36%,33%,15%,8%,29%,27%,
Profit & Loss,Net Profit,,,,11,,,,21,,,,38,5,5,7,14,8,2,12,15,
Profit & Loss,EPS in Rs,,,,0.70,,,,1.28,,,,2.32,0.34,0.35,0.46,0.83,0.49,0.09,0.73,0.92,
Profit & Loss,Dividend Payout %,,,,19%,,,,0%,,,,6%,27%,26%,20%,11%,8%,0%,0%,10%,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,6,,,,6,,,,16,6,6,6,6,6,6,6,6,
Balance Sheet,Reserves,,,,103,,,,121,,,,147,29,33,40,57,63,64,77,93,
Balance Sheet,Borrowings,,,,2,,,,1,,,,0,4,7,7,15,19,8,3,0,
Balance Sheet,Other Liabilities,,,,70,,,,99,,,,161,36,42,59,78,47,72,72,61,
Balance Sheet,Total Liabilities,,,,180,,,,227,,,,324,75,87,111,157,135,150,158,160,
Balance Sheet,Fixed Assets,,,,37,,,,42,,,,55,20,18,29,47,47,44,41,39,
Balance Sheet,CWIP,,,,3,,,,5,,,,1,2,6,1,2,1,2,2,3,
Balance Sheet,Investments,,,,17,,,,12,,,,16,5,2,0,2,2,1,3,17,
