Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,38,49,49,40,40,36,40,40,109,57,47,46,57,,
Quarterly Results,Expenses,32,41,38,32,32,31,33,33,92,50,45,51,59,,
Quarterly Results,Operating Profit,7,7,12,8,8,5,7,7,16,7,2,-5,-2,,
Quarterly Results,OPM %,17%,15%,24%,21%,20%,14%,17%,17%,15%,13%,4%,-12%,-3%,,
Quarterly Results,Other Income,2,2,-1,0,1,1,2,1,-0,1,1,5,0,,
Quarterly Results,Interest,1,1,1,1,1,1,1,1,1,3,3,4,5,,
Quarterly Results,Depreciation,3,0,4,3,2,2,2,2,4,5,5,5,5,,
Quarterly Results,Profit before tax,5,8,7,5,6,4,6,4,11,0,-5,-9,-11,,
Quarterly Results,Tax %,1%,1%,8%,5%,3%,41%,40%,24%,6%,604%,24%,19%,-4%,,
Quarterly Results,Net Profit,5,8,6,5,6,2,3,3,11,-1,-6,-10,-11,,
Quarterly Results,EPS in Rs,1.48,2.23,1.79,1.45,1.36,0.51,0.64,0.77,2.48,-0.29,-1.51,-2.45,-2.48,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,190,,,,178,,,,225,,,,208,163,176
Profit & Loss,Expenses,148,,,,143,,,,190,,,,206,123,128
Profit & Loss,Operating Profit,42,,,,36,,,,35,,,,2,41,48
Profit & Loss,OPM %,22%,,,,20%,,,,16%,,,,1%,25%,27%
Profit & Loss,Other Income,8,,,,3,,,,4,,,,7,2,3
Profit & Loss,Interest,3,,,,4,,,,4,,,,15,5,3
Profit & Loss,Depreciation,11,,,,9,,,,9,,,,19,17,13
Profit & Loss,Profit before tax,36,,,,25,,,,25,,,,-25,21,35
Profit & Loss,Tax %,1%,,,,4%,,,,22%,,,,16%,-1%,2%
Profit & Loss,Net Profit,36,,,,24,,,,20,,,,-29,21,34
Profit & Loss,EPS in Rs,10.52,,,,5.72,,,,4.41,,,,-6.73,32.50,52.61
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,34,,,,42,,,,42,,,,42,6,6
Balance Sheet,Reserves,100,,,,219,,,,288,,,,260,58,92
Balance Sheet,Borrowings,79,,,,166,,,,145,,,,199,54,38
Balance Sheet,Other Liabilities,23,,,,35,,,,47,,,,56,11,22
Balance Sheet,Total Liabilities,236,,,,462,,,,522,,,,558,129,159
Balance Sheet,Fixed Assets,88,,,,89,,,,294,,,,286,60,54
Balance Sheet,CWIP,7,,,,124,,,,0,,,,0,0,1
Balance Sheet,Investments,11,,,,6,,,,0,,,,0,0,0
Balance Sheet,Other Assets,131,,,,244,,,,227,,,,271,69,104
Balance Sheet,Total Assets,236,,,,462,,,,522,,,,558,129,159
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,28,,,,27,,,,-37,,,,-31,54,32
Cash Flows,Cash from Investing Activity,-28,,,,-205,,,,9,,,,-6,-11,-8
Cash Flows,Cash from Financing Activity,-3,,,,183,,,,24,,,,37,-46,-19
Cash Flows,Net Cash Flow,-3,,,,4,,,,-4,,,,0,-3,5
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,75,,,,90,,,,178,,,,224,63,83
Ratios,Inventory Days,198,,,,190,,,,236,,,,342,126,170
Ratios,Days Payable,79,,,,70,,,,119,,,,166,42,81
Ratios,Cash Conversion Cycle,193,,,,210,,,,295,,,,400,147,172
Ratios,Working Capital Days,154,,,,128,,,,243,,,,320,106,123
Ratios,ROCE %,21%,,,,9%,,,,7%,,,,-2%,,30%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,73.37%,73.37%,73.37%,73.37%,73.37%,73.37%,73.26%,73.25%,73.25%,,
Shareholding Pattern (Quarterly),FIIs,,,,,7.49%,4.85%,1.71%,2.34%,2.11%,1.89%,1.53%,1.53%,1.67%,,
Shareholding Pattern (Quarterly),DIIs,,,,,1.02%,0.45%,0.62%,0.45%,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Quarterly),Public,,,,,18.13%,21.32%,24.29%,23.85%,24.52%,24.75%,25.22%,25.24%,25.08%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,13037,11578,12357,13603,12894,13519,14343,14800,14668,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,73.37%,,,,73.37%,,,,73.25%,,
Shareholding Pattern (Yearly),FIIs,,,,,7.49%,,,,2.11%,,,,1.67%,,
Shareholding Pattern (Yearly),DIIs,,,,,1.02%,,,,0.00%,,,,0.00%,,
Shareholding Pattern (Yearly),Public,,,,,18.13%,,,,24.52%,,,,25.08%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,13037,,,,12894,,,,14668,,
,,,,,,,,,,,,,,,,
