Section,,Mar 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2023,Jun 2024,Sep 2024,Jun 2025
Quarterly Results,Revenue,1391,1698,1905,,,,,,,,,
Quarterly Results,Interest,847,1032,1104,,,,,,,,,
Quarterly Results,Expenses,56,119,171,,,,,,,,,
Quarterly Results,Financing Profit,488,548,630,,,,,,,,,
Quarterly Results,Financing Margin %,35%,32%,33%,,,,,,,,,
Quarterly Results,Other Income,0,1,11,,,,,,,,,
Quarterly Results,Depreciation,9,10,11,,,,,,,,,
Quarterly Results,Profit before tax,480,538,630,,,,,,,,,
Quarterly Results,Tax %,30%,21%,20%,,,,,,,,,
Quarterly Results,Net Profit,337,425,502,,,,,,,,,
Quarterly Results,EPS in Rs,1.26,1.58,1.87,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Revenue,4964,,6743,1331,1810,2020,2369,2614,,,,
Profit & Loss,Interest,3164,,4141,810,1006,1183,1459,1570,,,,
Profit & Loss,Expenses,86,,472,194,240,431,649,496,,,,
Profit & Loss,Financing Profit,1714,,2130,327,564,406,260,548,,,,
Profit & Loss,Financing Margin %,35%,,32%,25%,31%,20%,11%,21%,,,,
Profit & Loss,Other Income,1,,12,-7,7,-72,3,44,,,,
Profit & Loss,Depreciation,30,,39,7,21,23,23,23,,,,
Profit & Loss,Profit before tax,1685,,2104,313,549,311,241,570,,,,
Profit & Loss,Tax %,26%,,19%,33%,26%,20%,11%,39%,,,,
Profit & Loss,Net Profit,1252,,1698,210,405,250,215,346,,,,
Profit & Loss,EPS in Rs,4.66,,6.32,267.74,5.17,3.18,2.74,4.41,,,,
Profit & Loss,Dividend Payout %,0%,,0%,60%,31%,0%,0%,0%,,,,
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,2688,,2688,785,785,785,785,785,,,,
Balance Sheet,Reserves,5872,,7579,1643,1661,1800,1737,2211,,,,
Balance Sheet,Borrowing,49687,,64740,12777,14985,18753,21854,24000,,,,
Balance Sheet,Other Liabilities,4354,,4728,3592,2937,3181,3277,3298,,,,
Balance Sheet,Total Liabilities,62600,,79735,18797,20368,24518,27652,30293,,,,
Balance Sheet,Fixed Assets,361,,349,318,314,303,282,266,,,,
Balance Sheet,CWIP,0,,0,0,3,0,0,0,,,,
Balance Sheet,Investments,101,,600,0,1,0,1,1,,,,
Balance Sheet,Other Assets,62138,,78786,18479,20050,24215,27370,30027,,,,
Balance Sheet,Total Assets,62600,,79735,18797,20368,24518,27652,30293,,,,
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-11100,,-14460,-1282,-1846,-5018,-1709,-3206,,,,
Cash Flows,Cash from Investing Activity,-23,,-518,-282,-53,-37,-0,-2,,,,
Cash Flows,Cash from Financing Activity,11059,,14960,2644,1701,3736,2141,2441,,,,
Cash Flows,Net Cash Flow,-64,,-17,1081,-198,-1319,431,-767,,,,
,,,,,,,,,,,,,
Ratios,ROE %,,,18%,,17%,12%,8%,13%,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,75.00%,75.00%,75.00%,,,,,,75.00%,75.00%,75.00%,71.76%
Shareholding Pattern (Quarterly),FIIs,1.36%,1.85%,1.74%,,,,,,1.88%,2.70%,2.02%,3.26%
Shareholding Pattern (Quarterly),DIIs,0.94%,0.63%,0.51%,,,,,,4.37%,0.42%,0.35%,3.12%
Shareholding Pattern (Quarterly),Public,22.70%,22.51%,22.74%,,,,,,18.75%,21.87%,22.62%,21.86%
Shareholding Pattern (Quarterly),No. of Shareholders,2147272,2619358,2679938,,,,,,1367953,2243293,2616555,2642007
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.00%,,75.00%,,,,,,,,,71.76%
Shareholding Pattern (Yearly),FIIs,1.36%,,1.74%,,,,,,,,,3.26%
Shareholding Pattern (Yearly),DIIs,0.94%,,0.51%,,,,,,,,,3.12%
Shareholding Pattern (Yearly),Public,22.70%,,22.74%,,,,,,,,,21.86%
Shareholding Pattern (Yearly),No. of Shareholders,2147272,,2679938,,,,,,,,,2642007
,,,,,,,,,,,,,
