Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,463.76,383.02,345.95,289.46,328.46,194.19,279.14,197.84,248.25,215.86,232.87,213.11,225.52,,,,,,,,,
Quarterly Results,Expenses,442.43,351.34,335.51,284.23,324.68,180.24,274.22,181.52,257.37,212.53,212.97,192.87,204.43,,,,,,,,,
Quarterly Results,Operating Profit,21.33,31.68,10.44,5.23,3.78,13.95,4.92,16.32,-9.12,3.33,19.90,20.24,21.09,,,,,,,,,
Quarterly Results,OPM %,4.60%,8.27%,3.02%,1.81%,1.15%,7.18%,1.76%,8.25%,-3.67%,1.54%,8.55%,9.50%,9.35%,,,,,,,,,
Quarterly Results,Other Income,1.55,0.49,0.47,1.95,0.75,1.48,11.24,2.28,15.66,12.44,0.33,-0.69,-0.38,,,,,,,,,
Quarterly Results,Interest,12.01,13.62,15.49,14.59,10.53,12.74,11.37,12.46,12.52,11.72,11.29,10.97,11.04,,,,,,,,,
Quarterly Results,Depreciation,9.93,8.23,8.27,8.49,8.15,7.70,7.73,7.02,7.43,6.44,6.57,6.48,6.39,,,,,,,,,
Quarterly Results,Profit before tax,0.94,10.32,-12.85,-15.90,-14.15,-5.01,-2.94,-0.88,-13.41,-2.39,2.37,2.10,3.28,,,,,,,,,
Quarterly Results,Tax %,208.51%,25.29%,-29.26%,-30.19%,-28.20%,-36.33%,-96.26%,-92.05%,-19.76%,-230.54%,50.63%,49.52%,43.60%,,,,,,,,,
Quarterly Results,Net Profit,-1.03,7.70,-9.09,-11.10,-10.17,-3.20,-0.12,-0.07,-10.76,3.12,1.17,1.06,1.84,,,,,,,,,
Quarterly Results,EPS in Rs,-0.04,0.74,-1.48,-1.68,-1.29,-0.60,-0.29,-0.25,-1.61,0.39,0.15,0.13,0.23,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1560,,,,1398,,,,924,,,,887,699,730,822,868,1008,1174,1134,1019,
Profit & Loss,Expenses,1393,,,,1346,,,,894,,,,823,581,647,726,783,911,1057,1038,940,
Profit & Loss,Operating Profit,167,,,,53,,,,30,,,,65,118,83,96,85,97,117,96,78,
Profit & Loss,OPM %,11%,,,,4%,,,,3%,,,,7%,17%,11%,12%,10%,10%,10%,8%,8%,
Profit & Loss,Other Income,6,,,,6,,,,27,,,,11,1,3,1,3,6,9,18,4,
Profit & Loss,Interest,53,,,,58,,,,49,,,,45,38,38,38,44,60,67,72,62,
Profit & Loss,Depreciation,34,,,,35,,,,30,,,,26,35,28,30,30,31,34,33,33,
Profit & Loss,Profit before tax,86,,,,-33,,,,-22,,,,5,46,20,29,15,11,25,10,-12,
Profit & Loss,Tax %,34%,,,,-32%,,,,-35%,,,,-34%,31%,33%,33%,22%,15%,6%,41%,-14%,
Profit & Loss,Net Profit,56,,,,-23,,,,-14,,,,7,32,13,20,12,10,24,6,-10,
Profit & Loss,EPS in Rs,6.56,,,,-3.70,,,,-2.75,,,,0.90,3.97,1.66,2.45,1.44,1.10,2.63,0.30,-1.38,
Profit & Loss,Dividend Payout %,7%,,,,0%,,,,0%,,,,0%,10%,18%,13%,25%,29%,12%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,32,,,,32,,,,32,,,,32,16,16,16,16,16,16,16,16,
Balance Sheet,Reserves,420,,,,388,,,,367,,,,383,227,228,244,269,279,297,297,286,
Balance Sheet,Borrowings,520,,,,621,,,,507,,,,467,448,462,499,555,702,725,680,584,
Balance Sheet,Other Liabilities,263,,,,243,,,,322,,,,123,120,146,189,101,211,222,255,229,
Balance Sheet,Total Liabilities,1235,,,,1284,,,,1228,,,,1005,810,852,947,941,1208,1259,1247,1114,
Balance Sheet,Fixed Assets,599,,,,638,,,,482,,,,478,440,452,514,574,669,659,640,613,
Balance Sheet,CWIP,30,,,,6,,,,10,,,,15,2,50,20,3,1,1,4,17,
Balance Sheet,Investments,2,,,,7,,,,4,,,,4,24,5,4,21,1,1,0,0,
Balance Sheet,Other Assets,604,,,,633,,,,732,,,,509,344,344,409,345,537,598,603,484,
Balance Sheet,Total Assets,1235,,,,1284,,,,1228,,,,1005,810,852,947,941,1208,1259,1247,1114,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,56,,,,1,,,,125,,,,23,4,113,59,26,22,67,139,160,
Cash Flows,Cash from Investing Activity,-34,,,,-48,,,,-9,,,,54,-29,-75,-60,-67,-42,-26,7,-12,
Cash Flows,Cash from Financing Activity,-21,,,,38,,,,-113,,,,-82,24,-44,-3,53,19,-48,-123,-165,
Cash Flows,Net Cash Flow,1,,,,-9,,,,3,,,,-5,-1,-6,-4,12,-1,-6,24,-17,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,44,,,,52,,,,66,,,,64,35,40,43,36,45,59,54,50,
Ratios,Inventory Days,108,,,,122,,,,110,,,,126,148,117,136,114,173,150,157,138,
Ratios,Days Payable,51,,,,41,,,,52,,,,30,31,45,59,22,62,53,71,69,
Ratios,Cash Conversion Cycle,101,,,,134,,,,125,,,,160,152,112,120,128,156,156,140,120,
Ratios,Working Capital Days,92,,,,117,,,,79,,,,134,83,65,68,77,121,114,102,109,
Ratios,ROCE %,14%,,,,2%,,,,2%,,,,4%,13%,8%,9%,7%,8%,9%,6%,5%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,55.33%,55.33%,55.33%,55.33%,55.33%,55.33%,55.33%,55.33%,55.33%,55.33%,55.33%,,,,,,,,,49.55%
Shareholding Pattern (Quarterly),FIIs,,,0.32%,0.12%,0.08%,0.08%,0.15%,0.07%,0.05%,0.01%,0.01%,0.01%,0.28%,,,,,,,,,0.00%
Shareholding Pattern (Quarterly),Public,,,44.34%,44.54%,44.59%,44.58%,44.51%,44.59%,44.61%,44.66%,44.65%,44.65%,44.39%,,,,,,,,,50.45%
Shareholding Pattern (Quarterly),No. of Shareholders,,,17715,17827,17543,17798,17483,18249,20872,20760,24056,23020,22821,,,,,,,,,23328
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,55.33%,,,,55.33%,,,,55.33%,,,,55.33%,,,,55.55%,55.55%,55.55%,55.55%,55.55%,49.55%
Shareholding Pattern (Yearly),FIIs,0.25%,,,,0.08%,,,,0.05%,,,,0.28%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,44.41%,,,,44.59%,,,,44.61%,,,,44.39%,,,,44.45%,44.43%,44.45%,44.45%,44.45%,50.45%
