Section,,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,104,117,114,101,106,65,119,134,161,134,160,160,178,,,,,,,,,,,,,,,
Quarterly Results,Expenses,86,98,94,82,88,56,93,106,129,108,128,129,146,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,19,19,20,19,18,9,26,28,32,25,32,32,32,,,,,,,,,,,,,,,
Quarterly Results,OPM %,18%,16%,18%,19%,17%,14%,22%,21%,20%,19%,20%,20%,18%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
Quarterly Results,Interest,2,3,3,3,3,2,2,2,3,3,3,3,1,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,5,5,5,5,5,5,6,5,6,6,7,7,7,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,12,13,13,11,11,2,18,20,24,17,23,22,25,,,,,,,,,,,,,,,
Quarterly Results,Tax %,27%,27%,20%,21%,22%,28%,26%,26%,24%,27%,23%,25%,30%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,9,9,10,9,9,2,13,15,18,12,18,17,17,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.13,3.32,3.72,3.13,3.09,0.53,4.76,5.28,6.50,4.32,6.24,5.51,5.54,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,405,,,,438,,,,479,,,,631,267,301,346,,,,,,,,,,,,
Profit & Loss,Expenses,335,,,,361,,,,384,,,,511,221,251,284,,,,,,,,,,,,
Profit & Loss,Operating Profit,70,,,,77,,,,95,,,,121,46,50,62,,,,,,,,,,,,
Profit & Loss,OPM %,17%,,,,18%,,,,20%,,,,19%,17%,17%,18%,,,,,,,,,,,,
Profit & Loss,Other Income,1,,,,1,,,,1,,,,2,0,1,1,,,,,,,,,,,,
Profit & Loss,Interest,8,,,,10,,,,10,,,,9,1,2,5,,,,,,,,,,,,
Profit & Loss,Depreciation,16,,,,19,,,,22,,,,26,8,10,13,,,,,,,,,,,,
Profit & Loss,Profit before tax,48,,,,48,,,,64,,,,87,37,38,45,,,,,,,,,,,,
Profit & Loss,Tax %,33%,,,,23%,,,,25%,,,,26%,34%,37%,38%,,,,,,,,,,,,
Profit & Loss,Net Profit,32,,,,37,,,,48,,,,64,24,24,28,,,,,,,,,,,,
