Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,123.48,163.11,126.30,93.87,123.78,102.79,95.33,102.15,125.97,134.28,141.61,133.72,152.75,,,,,
Quarterly Results,Expenses,115.36,151.34,120.02,96.17,132.27,103.68,89.93,97.18,117.19,120.55,128.12,121.84,135.68,,,,,
Quarterly Results,Operating Profit,8.12,11.77,6.28,-2.30,-8.49,-0.89,5.40,4.97,8.78,13.73,13.49,11.88,17.07,,,,,
Quarterly Results,OPM %,6.58%,7.22%,4.97%,-2.45%,-6.86%,-0.87%,5.66%,4.87%,6.97%,10.22%,9.53%,8.88%,11.18%,,,,,
Quarterly Results,Other Income,0.50,0.19,1.20,0.36,2.14,0.65,26.56,0.49,0.72,0.78,1.02,1.64,0.61,,,,,
Quarterly Results,Interest,1.41,2.80,3.51,3.82,3.89,3.17,2.96,2.74,3.67,3.96,4.31,4.36,3.84,,,,,
Quarterly Results,Depreciation,2.98,3.63,3.67,3.73,3.83,3.82,3.83,4.03,4.54,4.52,4.81,4.79,4.66,,,,,
Quarterly Results,Profit before tax,4.23,5.53,0.30,-9.49,-14.07,-7.23,25.17,-1.31,1.29,6.03,5.39,4.37,9.18,,,,,
Quarterly Results,Tax %,22.46%,42.50%,430.00%,-5.37%,-17.06%,-19.09%,9.77%,62.60%,29.46%,27.53%,38.78%,47.37%,25.05%,,,,,
Quarterly Results,Net Profit,3.28,3.18,-0.99,-8.98,-11.68,-5.85,22.71,-2.12,0.91,4.37,3.31,2.30,6.87,,,,,
Quarterly Results,EPS in Rs,3.88,3.96,1.01,-6.24,-8.69,-3.95,20.00,-0.87,1.83,4.39,3.26,2.63,6.48,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,411,,,,505,,,,426,,,,562,294,284,283,,
Profit & Loss,Expenses,379,,,,499,,,,408,,,,506,253,249,233,,
Profit & Loss,Operating Profit,32,,,,5,,,,18,,,,56,40,34,50,,
Profit & Loss,OPM %,8%,,,,1%,,,,4%,,,,10%,14%,12%,18%,,
Profit & Loss,Other Income,6,,,,6,,,,28,,,,4,-1,1,4,,
Profit & Loss,Interest,5,,,,14,,,,13,,,,16,5,4,2,,
Profit & Loss,Depreciation,12,,,,15,,,,16,,,,19,8,8,9,,
Profit & Loss,Profit before tax,21,,,,-18,,,,18,,,,25,26,23,44,,
Profit & Loss,Tax %,30%,,,,4%,,,,13%,,,,33%,30%,2%,27%,,
Profit & Loss,Net Profit,15,,,,-18,,,,16,,,,17,18,23,32,,
Profit & Loss,EPS in Rs,16.10,,,,-9.88,,,,17.01,,,,16.76,14.88,18.98,26.78,,
Profit & Loss,Dividend Payout %,3%,,,,-5%,,,,3%,,,,9%,20%,16%,13%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,12,12,12,,
Balance Sheet,Reserves,230,,,,207,,,,224,,,,243,181,189,215,,
Balance Sheet,Borrowings,87,,,,180,,,,197,,,,167,62,22,50,,
Balance Sheet,Other Liabilities,138,,,,147,,,,138,,,,168,54,55,112,,
Balance Sheet,Total Liabilities,468,,,,545,,,,570,,,,590,309,278,389,,
Balance Sheet,Fixed Assets,235,,,,275,,,,306,,,,305,150,129,213,,
Balance Sheet,CWIP,0,,,,25,,,,11,,,,0,1,11,9,,
Balance Sheet,Investments,1,,,,1,,,,1,,,,0,14,13,2,,
Balance Sheet,Other Assets,231,,,,244,,,,253,,,,284,143,125,166,,
Balance Sheet,Total Assets,468,,,,545,,,,570,,,,590,309,278,389,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0,,,,30,,,,9,,,,58,27,57,8,,
Cash Flows,Cash from Investing Activity,-28,,,,-77,,,,-13,,,,-5,-3,-16,-60,,
Cash Flows,Cash from Financing Activity,28,,,,47,,,,4,,,,-49,-24,-39,50,,
Cash Flows,Net Cash Flow,-0,,,,0,,,,-0,,,,3,0,2,-2,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,80,,,,77,,,,105,,,,96,68,71,101,,
Ratios,Inventory Days,151,,,,83,,,,103,,,,85,132,62,114,,
Ratios,Days Payable,104,,,,79,,,,96,,,,109,66,51,98,,
Ratios,Cash Conversion Cycle,127,,,,82,,,,111,,,,73,134,82,117,,
Ratios,Working Capital Days,128,,,,101,,,,135,,,,97,126,104,145,,
Ratios,ROCE %,7%,,,,-1%,,,,1%,,,,9%,,11%,15%,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,66.64%,66.73%,66.73%,66.73%,66.73%,66.73%,66.77%,66.77%,66.77%,66.83%,66.83%,66.83%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.29%,0.33%,0.01%,0.02%,0.00%,0.00%,0.17%,0.10%,0.07%,0.07%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,33.08%,32.95%,33.26%,33.25%,33.28%,33.27%,33.05%,33.13%,33.16%,32.89%,33.17%,33.17%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,24025,14105,13864,11071,10353,10391,10394,9030,9053,10070,9852,9772,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.64%,,,,66.73%,,,,66.77%,,,,66.83%,65.81%,66.42%,66.64%,65.28%,65.41%
Shareholding Pattern (Yearly),FIIs,0.33%,,,,0.02%,,,,0.10%,,,,0.00%,0.39%,0.24%,0.24%,0.04%,0.33%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.04%,0.00%,0.00%,0.07%,0.03%
Shareholding Pattern (Yearly),Public,33.04%,,,,33.25%,,,,33.13%,,,,33.17%,33.77%,33.34%,33.12%,34.62%,34.23%
Shareholding Pattern (Yearly),No. of Shareholders,13406,,,,11071,,,,9030,,,,9772,6696,6405,7286,6437,6412
,,,,,,,,,,,,,,,,,,,
