Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Quarterly Results,Sales,229,240,284,278,279,263,254,258,256,255,225,195,190,,,,,,,,,
Quarterly Results,Expenses,204,214,250,251,254,240,227,229,235,231,202,186,165,,,,,,,,,
Quarterly Results,Operating Profit,25,26,33,26,25,23,28,28,22,24,23,8,26,,,,,,,,,
Quarterly Results,OPM %,11%,11%,12%,10%,9%,9%,11%,11%,8%,10%,10%,4%,13%,,,,,,,,,
Quarterly Results,Other Income,19,1,3,20,8,7,5,32,6,8,14,2,44,,,,,,,,,
Quarterly Results,Interest,2,2,2,2,3,2,2,2,2,2,2,2,3,,,,,,,,,
Quarterly Results,Depreciation,34,19,18,19,19,19,21,21,20,15,15,13,14,,,,,,,,,
Quarterly Results,Profit before tax,8,7,16,25,11,9,11,36,5,15,20,-5,53,,,,,,,,,
Quarterly Results,Tax %,18%,42%,20%,30%,2%,53%,20%,32%,30%,22%,57%,41%,24%,,,,,,,,,
Quarterly Results,Net Profit,7,4,13,18,11,4,8,24,3,12,8,-6,40,,,,,,,,,
Quarterly Results,EPS in Rs,0.73,0.44,1.39,1.87,1.17,0.43,0.89,2.58,0.35,1.22,0.88,-0.67,4.26,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,895,,,,1080,,,,1031,,,,865,467,532,440,442,421,695,746,709,
Profit & Loss,Expenses,781,,,,970,,,,931,,,,784,405,390,322,343,342,570,635,648,
Profit & Loss,Operating Profit,114,,,,111,,,,101,,,,81,62,143,118,99,80,125,112,61,
Profit & Loss,OPM %,13%,,,,10%,,,,10%,,,,9%,13%,27%,27%,22%,19%,18%,15%,9%,
Profit & Loss,Other Income,46,,,,33,,,,50,,,,68,13,-8,34,42,40,-10,19,41,
Profit & Loss,Interest,7,,,,8,,,,8,,,,8,13,11,9,7,5,9,9,8,
Profit & Loss,Depreciation,92,,,,75,,,,82,,,,57,28,41,39,37,45,78,86,79,
Profit & Loss,Profit before tax,61,,,,60,,,,60,,,,83,35,83,103,97,69,28,35,15,
Profit & Loss,Tax %,24%,,,,23%,,,,33%,,,,35%,62%,44%,34%,31%,33%,75%,28%,105%,
Profit & Loss,Net Profit,46,,,,46,,,,40,,,,54,13,46,69,67,46,7,26,-1,
Profit & Loss,EPS in Rs,4.84,,,,4.87,,,,4.25,,,,5.70,320.87,5.67,7.25,7.02,4.86,1.21,3.68,0.24,
Profit & Loss,Dividend Payout %,23%,,,,21%,,,,24%,,,,0%,3%,1%,14%,21%,21%,82%,26%,415%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,95,,,,95,,,,95,,,,95,4,82,95,95,95,95,95,95,
Balance Sheet,Reserves,587,,,,622,,,,653,,,,698,170,150,399,464,487,510,523,548,
Balance Sheet,Borrowings,136,,,,105,,,,110,,,,120,223,222,166,111,107,169,200,176,
Balance Sheet,Other Liabilities,239,,,,281,,,,178,,,,172,115,141,111,112,196,256,214,202,
Balance Sheet,Total Liabilities,1057,,,,1102,,,,1037,,,,1085,512,595,771,781,885,1030,1031,1020,
Balance Sheet,Fixed Assets,360,,,,311,,,,325,,,,286,229,231,191,216,349,490,444,426,
Balance Sheet,CWIP,34,,,,82,,,,28,,,,58,5,16,14,9,9,26,34,9,
Balance Sheet,Investments,194,,,,177,,,,225,,,,320,62,62,76,117,154,100,130,196,
Balance Sheet,Other Assets,469,,,,532,,,,459,,,,420,216,285,490,440,373,414,423,388,
