Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Apr 2025,Mar 2017,Mar 2018
Quarterly Results,Sales,22.75,33.09,33.53,35.58,38.67,41.94,43.54,46.50,47.32,43.05,44.74,45.14,29.61,,,,,,
Quarterly Results,Expenses,17.79,27.43,27.67,29.71,32.18,34.99,38.89,41.60,41.57,39.60,39.43,38.43,31.22,,,,,,
Quarterly Results,Operating Profit,4.96,5.66,5.86,5.87,6.49,6.95,4.65,4.90,5.75,3.45,5.31,6.71,-1.61,,,,,,
Quarterly Results,OPM %,21.80%,17.10%,17.48%,16.50%,16.78%,16.57%,10.68%,10.54%,12.15%,8.01%,11.87%,14.86%,-5.44%,,,,,,
Quarterly Results,Other Income,0.34,0.96,0.52,0.63,0.35,0.38,0.55,0.83,0.57,0.59,0.29,0.14,5.23,,,,,,
Quarterly Results,Interest,0.56,0.77,0.62,0.68,0.86,0.96,0.91,0.65,1.89,0.71,1.04,0.76,0.65,,,,,,
Quarterly Results,Depreciation,1.52,1.53,1.62,1.60,1.62,1.69,1.82,1.80,1.77,1.77,2.61,2.21,0.48,,,,,,
Quarterly Results,Profit before tax,3.22,4.32,4.14,4.22,4.36,4.68,2.47,3.28,2.66,1.56,1.95,3.88,2.49,,,,,,
Quarterly Results,Tax %,14.60%,17.13%,13.04%,10.66%,13.53%,15.81%,39.68%,38.11%,22.93%,48.72%,53.85%,24.74%,25.30%,,,,,,
Quarterly Results,Net Profit,2.75,3.59,3.60,3.77,3.77,3.95,1.47,2.03,2.04,0.80,0.91,2.92,1.87,,,,,,
Quarterly Results,EPS in Rs,2.25,2.94,2.85,2.97,3.07,3.30,1.19,1.90,1.68,1.06,1.15,2.73,1.90,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,115,,,,141,,,,179,,,,163,123,125,113,,,
Profit & Loss,Expenses,91,,,,117,,,,156,,,,149,105,106,93,,,
Profit & Loss,Operating Profit,24,,,,24,,,,24,,,,14,17,20,20,,,
Profit & Loss,OPM %,21%,,,,17%,,,,13%,,,,9%,14%,16%,17%,,,
Profit & Loss,Other Income,2,,,,2,,,,2,,,,6,4,2,1,,,
Profit & Loss,Interest,2,,,,3,,,,6,,,,3,1,1,2,,,
Profit & Loss,Depreciation,6,,,,6,,,,7,,,,7,2,2,3,,,
Profit & Loss,Profit before tax,18,,,,17,,,,13,,,,10,18,18,16,,,
Profit & Loss,Tax %,18%,,,,14%,,,,27%,,,,34%,31%,26%,26%,,,
Profit & Loss,Net Profit,15,,,,15,,,,9,,,,7,12,13,12,,,
Profit & Loss,EPS in Rs,12.20,,,,11.73,,,,8.60,,,,5.59,10.28,10.88,9.93,,,
Profit & Loss,Dividend Payout %,8%,,,,9%,,,,12%,,,,18%,10%,5%,10%,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,13,,,,13,,,,13,12,12,12,,,
Balance Sheet,Reserves,134,,,,181,,,,194,,,,200,75,109,121,,,
Balance Sheet,Borrowings,26,,,,26,,,,31,,,,33,12,11,19,,,
Balance Sheet,Other Liabilities,53,,,,59,,,,56,,,,51,38,49,42,,,
Balance Sheet,Total Liabilities,226,,,,279,,,,295,,,,297,137,181,194,,,
Balance Sheet,Fixed Assets,92,,,,93,,,,92,,,,87,24,34,90,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,15,40,0,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,,,
