Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,12.74,10.26,10.55,13.25,13.21,10.62,13.86,11.09,14.39,10.44
Quarterly Results,Expenses,11.97,10.18,9.97,13.64,13.17,12.14,12.53,10.91,13.23,11.18
Quarterly Results,Operating Profit,0.77,0.08,0.58,-0.39,0.04,-1.52,1.33,0.18,1.16,-0.74
Quarterly Results,OPM %,6.04%,0.78%,5.50%,-2.94%,0.30%,-14.31%,9.60%,1.62%,8.06%,-7.09%
Quarterly Results,Other Income,0.01,7.40,0.03,0.00,0.14,7.22,0.40,0.27,0.19,7.42
Quarterly Results,Interest,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.03,0.02,0.03
Quarterly Results,Depreciation,0.11,0.11,0.10,0.09,0.10,0.10,0.10,0.10,0.10,0.10
Quarterly Results,Profit before tax,0.65,7.36,0.50,-0.49,0.07,5.60,1.63,0.32,1.23,6.55
Quarterly Results,Tax %,3.08%,22.42%,0.00%,0.00%,0.00%,28.93%,16.56%,21.88%,1.63%,22.44%
Quarterly Results,Net Profit,0.63,5.71,0.50,-0.49,0.07,3.98,1.36,0.25,1.21,5.08
Quarterly Results,EPS in Rs,,,,-0.13,0.02,1.03,0.35,0.06,0.31,1.32
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,42.93,,,,47.63,,,,49.78
Profit & Loss,Expenses,,43.55,,,,48.93,,,,47.84
Profit & Loss,Operating Profit,,-0.62,,,,-1.30,,,,1.94
Profit & Loss,OPM %,,-1.44%,,,,-2.73%,,,,3.90%
Profit & Loss,Other Income,,7.43,,,,7.39,,,,8.28
Profit & Loss,Interest,,0.06,,,,0.03,,,,0.08
Profit & Loss,Depreciation,,0.42,,,,0.39,,,,0.40
Profit & Loss,Profit before tax,,6.33,,,,5.67,,,,9.74
Profit & Loss,Tax %,,26.54%,,,,28.57%,,,,18.79%
Profit & Loss,Net Profit,,4.65,,,,4.05,,,,7.91
Profit & Loss,EPS in Rs,,,,,,1.05,,,,2.05
Profit & Loss,Dividend Payout %,,0.00%,,,,0.00%,,,,0.00%
,,,,,,,,,,,
Balance Sheet,Equity Capital,,0.00,,,,38.56,,,,38.56
Balance Sheet,Reserves,,97.01,,,,187.27,,,,236.12
Balance Sheet,Borrowings,,0.44,,,,0.09,,,,0.84
Balance Sheet,Other Liabilities,,49.05,,,,25.29,,,,38.58
Balance Sheet,Total Liabilities,,146.50,,,,251.21,,,,314.10
Balance Sheet,Fixed Assets,,0.53,,,,0.17,,,,0.90
Balance Sheet,CWIP,,0.00,,,,0.00,,,,0.00
Balance Sheet,Investments,,122.06,,,,220.94,,,,288.10
Balance Sheet,Other Assets,,23.91,,,,30.10,,,,25.10
Balance Sheet,Total Assets,,146.50,,,,251.21,,,,314.10
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-8.58,,,,7.62,,,,-8.01
Cash Flows,Cash from Investing Activity,,14.62,,,,-2.85,,,,1.38
Cash Flows,Cash from Financing Activity,,-0.44,,,,-0.38,,,,-0.40
Cash Flows,Net Cash Flow,,5.61,,,,4.38,,,,-7.03
,,,,,,,,,,,
Ratios,Debtor Days,,27.29,,,,30.65,,,,22.51
Ratios,Inventory Days,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,
Ratios,Cash Conversion Cycle,,27.29,,,,30.65,,,,22.51
Ratios,Working Capital Days,,134.76,,,,44.06,,,,157.94
Ratios,ROCE %,,,,,,3.51%,,,,3.92%
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,58.83%,58.83%,58.83%,58.83%,58.83%,58.83%
Shareholding Pattern (Quarterly),FIIs,,,,,17.65%,5.21%,3.62%,3.47%,3.08%,2.97%
Shareholding Pattern (Quarterly),DIIs,,,,,2.22%,1.07%,1.29%,1.29%,1.23%,0.62%
Shareholding Pattern (Quarterly),Public,,,,,21.06%,34.64%,36.02%,36.16%,36.61%,37.33%
Shareholding Pattern (Quarterly),Others,,,,,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,63409,49693,45509,43407,42050,40389
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,58.83%,,,,58.83%
Shareholding Pattern (Yearly),FIIs,,,,,,5.21%,,,,2.97%
Shareholding Pattern (Yearly),DIIs,,,,,,1.07%,,,,0.62%
Shareholding Pattern (Yearly),Public,,,,,,34.64%,,,,37.33%
Shareholding Pattern (Yearly),Others,,,,,,0.24%,,,,0.24%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,49693,,,,40389
,,,,,,,,,,,
