Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,61.02%,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.10%,0.03%,0.07%,0.05%,0.22%,0.47%,0.49%,0.43%,0.42%,0.25%,0.16%,,,,,
Shareholding Pattern (Quarterly),DIIs,0.01%,0.01%,0.11%,0.11%,0.01%,0.03%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,
Shareholding Pattern (Quarterly),Public,38.97%,38.88%,38.86%,38.82%,38.93%,38.72%,38.52%,38.49%,38.55%,38.55%,38.72%,38.82%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,12723,12538,12065,11153,9991,9933,11418,11180,11118,12025,12028,12014,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,61.02%,,,,61.02%,,,,61.02%,60.95%,60.95%,60.95%,60.95%,61.02%
Shareholding Pattern (Yearly),FIIs,,,,0.07%,,,,0.49%,,,,0.16%,0.00%,0.00%,0.00%,0.00%,0.12%
Shareholding Pattern (Yearly),DIIs,,,,0.11%,,,,0.01%,,,,0.01%,3.08%,3.08%,0.26%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,,,,38.82%,,,,38.49%,,,,38.82%,35.97%,35.97%,38.80%,39.04%,38.85%
Shareholding Pattern (Yearly),No. of Shareholders,,,,11153,,,,11180,,,,12014,7649,7237,7629,7907,11389
,,,,,,,,,,,,,,,,,,
