Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,545,560,541,575,643,671,695,775,887,935,901,,,,,
Quarterly Results,Expenses,140,147,130,146,162,162,157,181,184,171,171,,,,,
Quarterly Results,Operating Profit,404,413,410,428,481,509,539,594,703,764,730,,,,,
Quarterly Results,OPM %,74%,74%,76%,75%,75%,76%,77%,77%,79%,82%,81%,,,,,
Quarterly Results,Other Income,104,103,97,158,122,143,156,173,171,93,124,,,,,
Quarterly Results,Interest,2,2,2,2,2,2,2,2,2,2,3,,,,,
Quarterly Results,Depreciation,13,13,13,13,13,13,13,13,14,15,17,,,,,
Quarterly Results,Profit before tax,493,500,492,571,588,637,679,752,858,840,835,,,,,
Quarterly Results,Tax %,26%,26%,24%,16%,26%,23%,20%,20%,33%,24%,24%,,,,,
Quarterly Results,Net Profit,364,369,376,477,437,488,541,604,577,641,638,,,,,
Quarterly Results,EPS in Rs,17.06,17.30,17.63,22.36,20.45,22.86,25.33,28.27,26.99,30.00,29.86,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,2478,,,,3160,,,,4051,,,,,
Profit & Loss,Expenses,,,550,,,,627,,,,707,,,,,
Profit & Loss,Operating Profit,,,1929,,,,2533,,,,3345,,,,,
Profit & Loss,OPM %,,,78%,,,,80%,,,,83%,,,,,
Profit & Loss,Other Income,,,4,,,,4,,,,9,,,,,
Profit & Loss,Interest,,,10,,,,9,,,,9,,,,,
Profit & Loss,Depreciation,,,53,,,,52,,,,59,,,,,
Profit & Loss,Profit before tax,,,1870,,,,2475,,,,3286,,,,,
Profit & Loss,Tax %,,,24%,,,,22%,,,,25%,,,,,
Profit & Loss,Net Profit,,,1423,,,,1943,,,,2460,,,,,
Profit & Loss,EPS in Rs,,,66.69,,,,91.00,,,,115.07,,,,,
Profit & Loss,Dividend Payout %,,,72%,,,,77%,,,,78%,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,107,,,,107,,,,107,,,,,
Balance Sheet,Reserves,,,6001,,,,6968,,,,8023,,,,,
Balance Sheet,Borrowings,,,0,,,,0,,,,0,,,,,
Balance Sheet,Other Liabilities,,,428,,,,479,,,,621,,,,,
Balance Sheet,Total Liabilities,,,6536,,,,7554,,,,8751,,,,,
Balance Sheet,Fixed Assets,,,150,,,,153,,,,198,,,,,
Balance Sheet,CWIP,,,2,,,,1,,,,0,,,,,
Balance Sheet,Investments,,,6076,,,,7156,,,,8255,,,,,
Balance Sheet,Other Assets,,,307,,,,244,,,,297,,,,,
Balance Sheet,Total Assets,,,6536,,,,7554,,,,8751,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,1149,,,,1615,,,,2075,,,,,
Cash Flows,Cash from Investing Activity,,,-217,,,,-543,,,,-598,,,,,
Cash Flows,Cash from Financing Activity,,,-930,,,,-1066,,,,-1475,,,,,
Cash Flows,Net Cash Flow,,,3,,,,6,,,,2,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,27,,,,11,,,,12,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,27,,,,11,,,,12,,,,,
Ratios,Working Capital Days,,,-4,,,,-18,,,,-14,,,,,
Ratios,ROCE %,,,,,,,38%,,,,43%,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.80%,62.78%,62.76%,52.55%,52.55%,52.55%,52.55%,52.52%,52.51%,52.48%,52.47%,68.80%,,,,
Shareholding Pattern (Quarterly),FIIs,12.34%,12.09%,7.50%,12.99%,16.12%,17.99%,20.01%,20.60%,21.55%,21.32%,20.51%,7.28%,,,,
Shareholding Pattern (Quarterly),DIIs,12.27%,13.40%,17.63%,22.32%,20.66%,19.50%,18.37%,17.67%,16.92%,17.04%,18.01%,11.32%,,,,
Shareholding Pattern (Quarterly),Public,12.58%,11.72%,12.10%,12.15%,10.67%,9.96%,9.06%,9.20%,9.01%,9.15%,8.99%,12.59%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,593851,550055,554569,549337,497961,457910,436183,432584,426681,436623,433737,599522,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,62.76%,,,,52.55%,,,,52.47%,,82.72%,79.61%,73.92%,68.81%
Shareholding Pattern (Yearly),FIIs,,,7.50%,,,,20.01%,,,,20.51%,,4.17%,8.00%,9.37%,10.42%
Shareholding Pattern (Yearly),DIIs,,,17.63%,,,,18.37%,,,,18.01%,,2.21%,1.40%,5.95%,9.02%
Shareholding Pattern (Yearly),Public,,,12.10%,,,,9.06%,,,,8.99%,,10.90%,10.99%,10.76%,11.75%
Shareholding Pattern (Yearly),No. of Shareholders,,,554569,,,,436183,,,,433737,,389062,418795,464596,577010
,,,,,,,,,,,,,,,,,
