Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Jun 2025
Quarterly Results,Sales,2624,2069,2436,3136,2548,,,,,
Quarterly Results,Expenses,2197,1818,2134,2631,2191,,,,,
Quarterly Results,Operating Profit,427,251,302,505,357,,,,,
Quarterly Results,OPM %,16%,12%,12%,16%,14%,,,,,
Quarterly Results,Other Income,10,7,13,19,19,,,,,
Quarterly Results,Interest,33,36,34,31,49,,,,,
Quarterly Results,Depreciation,132,136,141,141,171,,,,,
Quarterly Results,Profit before tax,272,85,141,352,156,,,,,
Quarterly Results,Tax %,25%,28%,26%,25%,26%,,,,,
Quarterly Results,Net Profit,205,61,104,263,115,,,,,
Quarterly Results,EPS in Rs,0.46,0.14,0.23,0.58,0.25,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,8912,,,10716,5292,4452,5589,7586,
Profit & Loss,Expenses,,7635,,,9186,4635,3826,4763,6542,
Profit & Loss,Operating Profit,,1276,,,1530,657,626,826,1044,
Profit & Loss,OPM %,,14%,,,14%,12%,14%,15%,14%,
Profit & Loss,Other Income,,32,,,59,20,115,62,33,
Profit & Loss,Interest,,170,,,149,236,232,213,185,
Profit & Loss,Depreciation,,517,,,590,340,395,406,461,
Profit & Loss,Profit before tax,,621,,,849,101,114,270,431,
Profit & Loss,Tax %,,26%,,,26%,55%,28%,25%,25%,
Profit & Loss,Net Profit,,462,,,632,45,82,203,321,
Profit & Loss,EPS in Rs,,1.02,,,1.37,0.10,0.18,0.45,0.71,
Profit & Loss,Dividend Payout %,,0%,,,0%,0%,0%,0%,0%,
,,,,,,,,,,,
Balance Sheet,Equity Capital,,4509,,,4597,4366,4484,4503,4507,
Balance Sheet,Reserves,,1113,,,1804,-143,18,322,650,
Balance Sheet,Borrowings,,1483,,,1729,793,770,1790,1462,
Balance Sheet,Other Liabilities,,1401,,,1862,2377,2563,1603,1671,
Balance Sheet,Total Liabilities,,8506,,,9993,7392,7835,8218,8289,
Balance Sheet,Fixed Assets,,6183,,,6535,5736,5723,5802,5893,
Balance Sheet,CWIP,,38,,,14,20,11,11,69,
Balance Sheet,Investments,,0,,,387,87,547,417,35,
Balance Sheet,Other Assets,,2284,,,3057,1549,1555,1988,2293,
Balance Sheet,Total Assets,,8506,,,9993,7392,7835,8218,8289,
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,830,,,1399,557,1054,657,636,
Cash Flows,Cash from Investing Activity,,-130,,,-610,-149,-695,27,177,
Cash Flows,Cash from Financing Activity,,-658,,,-479,-429,-276,-710,-865,
Cash Flows,Net Cash Flow,,41,,,310,-22,84,-26,-52,
,,,,,,,,,,,
Ratios,Debtor Days,,1,,,2,0,0,0,0,
Ratios,Inventory Days,,83,,,88,106,110,111,98,
Ratios,Days Payable,,69,,,70,102,144,133,99,
Ratios,Cash Conversion Cycle,,15,,,20,4,-34,-22,-0,
Ratios,Working Capital Days,,20,,,28,-17,-50,-7,7,
Ratios,ROCE %,,11%,,,13%,,7%,8%,9%,
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,76.02%,74.55%,,,,,54.22%
Shareholding Pattern (Quarterly),FIIs,,,,6.58%,7.03%,,,,,12.85%
Shareholding Pattern (Quarterly),DIIs,,,,9.90%,12.22%,,,,,27.31%
Shareholding Pattern (Quarterly),Public,,,,7.51%,6.20%,,,,,5.62%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,933227,739867,,,,,662906
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,74.55%,,,,,54.22%
Shareholding Pattern (Yearly),FIIs,,,,,7.03%,,,,,12.85%
Shareholding Pattern (Yearly),DIIs,,,,,12.22%,,,,,27.31%
Shareholding Pattern (Yearly),Public,,,,,6.20%,,,,,5.62%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,739867,,,,,662906
,,,,,,,,,,,
