Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,107,37,97,120,227,88,104,94,191,,
Quarterly Results,Expenses,89,29,75,79,192,79,92,87,172,,
Quarterly Results,Operating Profit,18,8,22,40,35,9,12,6,19,,
Quarterly Results,OPM %,17%,21%,23%,34%,16%,11%,11%,7%,10%,,
Quarterly Results,Other Income,1,1,-0,1,-3,3,4,3,9,,
Quarterly Results,Interest,2,2,2,4,3,4,2,5,4,,
Quarterly Results,Depreciation,3,1,1,2,2,1,1,2,2,,
Quarterly Results,Profit before tax,14,6,19,36,28,7,12,3,22,,
Quarterly Results,Tax %,25%,34%,35%,16%,41%,12%,34%,2%,40%,,
Quarterly Results,Net Profit,11,4,12,30,17,6,8,3,13,,
Quarterly Results,EPS in Rs,11.10,0.81,2.52,6.18,3.44,1.15,1.39,0.51,2.37,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,407,,,,480,,,,477,138,296
Profit & Loss,Expenses,338,,,,381,,,,430,112,243
Profit & Loss,Operating Profit,69,,,,99,,,,47,25,54
Profit & Loss,OPM %,17%,,,,21%,,,,10%,18%,18%
Profit & Loss,Other Income,4,,,,5,,,,18,1,1
Profit & Loss,Interest,4,,,,10,,,,14,1,4
Profit & Loss,Depreciation,7,,,,6,,,,6,2,3
Profit & Loss,Profit before tax,63,,,,89,,,,44,23,48
Profit & Loss,Tax %,26%,,,,30%,,,,31%,28%,25%
Profit & Loss,Net Profit,46,,,,63,,,,30,16,36
Profit & Loss,EPS in Rs,48.29,,,,12.95,,,,5.41,274.67,37.48
Profit & Loss,Dividend Payout %,-0%,,,,2%,,,,6%,-0%,-0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,11,0.60,10
Balance Sheet,Reserves,113,,,,186,,,,493,36,63
Balance Sheet,Borrowings,44,,,,66,,,,19,12,15
Balance Sheet,Other Liabilities,172,,,,267,,,,266,77,181
Balance Sheet,Total Liabilities,338,,,,528,,,,789,125,268
Balance Sheet,Fixed Assets,21,,,,23,,,,29,3,20
Balance Sheet,CWIP,-0,,,,3,,,,6,-0,-0
Balance Sheet,Investments,-0,,,,-0,,,,-0,-0,11
Balance Sheet,Other Assets,317,,,,501,,,,755,122,237
Balance Sheet,Total Assets,338,,,,528,,,,789,125,268
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,20,,,,-10,,,,-65,20,34
Cash Flows,Cash from Investing Activity,-25,,,,-14,,,,-14,-17,-25
Cash Flows,Cash from Financing Activity,-2,,,,15,,,,218,-0,6
Cash Flows,Net Cash Flow,-7,,,,-10,,,,139,3,15
,,,,,,,,,,,,
Ratios,Debtor Days,103,,,,162,,,,260,143,135
Ratios,Inventory Days,213,,,,133,,,,44,74,245
Ratios,Days Payable,103,,,,183,,,,115,358,178
Ratios,Cash Conversion Cycle,212,,,,113,,,,189,-140,203
Ratios,Working Capital Days,93,,,,139,,,,214,54,28
Ratios,ROCE %,53%,,,,46%,,,,15%,,76%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,67.97%,67.97%,67.78%,67.79%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.50%,3.41%,3.13%,3.06%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,18.53%,18.67%,18.44%,17.87%,,
Shareholding Pattern (Quarterly),Public,,,,,,9.98%,9.95%,10.64%,11.29%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,57170,55490,59844,55433,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,67.79%,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,3.06%,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,17.87%,,
Shareholding Pattern (Yearly),Public,,,,,,,,,11.29%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,55433,,
,,,,,,,,,,,,
