Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023
Quarterly Results,Sales,746,780,756,781,742,743,732,,
Quarterly Results,Expenses,694,720,677,705,684,685,665,,
Quarterly Results,Operating Profit,52,61,79,76,58,58,68,,
Quarterly Results,OPM %,7%,8%,10%,10%,8%,8%,9%,,
Quarterly Results,Other Income,6,2,10,7,4,5,4,,
Quarterly Results,Interest,5,6,5,5,5,5,2,,
Quarterly Results,Depreciation,11,11,11,11,11,12,12,,
Quarterly Results,Profit before tax,41,45,72,67,45,47,57,,
Quarterly Results,Tax %,26%,23%,28%,25%,28%,27%,24%,,
Quarterly Results,Net Profit,30,34,52,50,33,34,44,,
Quarterly Results,EPS in Rs,4.20,4.76,7.26,6.96,4.53,4.05,5.17,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,,2958,,,,2999,3185,3329
Profit & Loss,Expenses,,,2724,,,,2736,2640,3061
Profit & Loss,Operating Profit,,,233,,,,263,545,268
Profit & Loss,OPM %,,,8%,,,,9%,17%,8%
Profit & Loss,Other Income,,,22,,,,17,16,16
Profit & Loss,Interest,,,30,,,,18,40,31
Profit & Loss,Depreciation,,,44,,,,46,42,43
Profit & Loss,Profit before tax,,,181,,,,216,479,209
Profit & Loss,Tax %,,,26%,,,,26%,26%,27%
Profit & Loss,Net Profit,,,134,,,,160,355,153
Profit & Loss,EPS in Rs,,,18.61,,,,19.01,49.40,21.23
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,,,72,,,,84,72,72
Balance Sheet,Reserves,,,1203,,,,1724,915,1068
Balance Sheet,Borrowings,,,380,,,,1084,378,281
Balance Sheet,Other Liabilities,,,549,,,,636,428,486
Balance Sheet,Total Liabilities,,,2204,,,,3528,1793,1907
Balance Sheet,Fixed Assets,,,931,,,,934,897,950
Balance Sheet,CWIP,,,141,,,,1587,2,21
Balance Sheet,Investments,,,107,,,,0,55,48
Balance Sheet,Other Assets,,,1025,,,,1007,839,888
Balance Sheet,Total Assets,,,2204,,,,3528,1793,1907
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,192,,,,284,295,362
Cash Flows,Cash from Investing Activity,,,-245,,,,-1342,-96,-235
Cash Flows,Cash from Financing Activity,,,74,,,,1059,-199,-126
Cash Flows,Net Cash Flow,,,21,,,,1,-1,1
,,,,,,,,,,
Ratios,Debtor Days,,,16,,,,18,16,16
Ratios,Inventory Days,,,69,,,,64,80,61
Ratios,Days Payable,,,75,,,,84,56,57
Ratios,Cash Conversion Cycle,,,10,,,,-1,40,19
Ratios,Working Capital Days,,,29,,,,23,48,26
Ratios,ROCE %,,,14%,,,,10%,,17%
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,78.58%,78.58%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.75%,1.89%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.89%,12.10%,,
Shareholding Pattern (Quarterly),Public,,,,,,8.79%,7.42%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,69433,46282,,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,78.58%,,
Shareholding Pattern (Yearly),FIIs,,,,,,,1.89%,,
Shareholding Pattern (Yearly),DIIs,,,,,,,12.10%,,
Shareholding Pattern (Yearly),Public,,,,,,,7.42%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,46282,,
,,,,,,,,,,
