Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,
Quarterly Results,Expenses,,,,,,
Quarterly Results,Operating Profit,,,,,,
Quarterly Results,OPM %,,,,,,
Quarterly Results,Other Income,,,,,,
Quarterly Results,Interest,,,,,,
Quarterly Results,Depreciation,,,,,,
Quarterly Results,Profit before tax,,,,,,
Quarterly Results,Tax %,,,,,,
Quarterly Results,Net Profit,,,,,,
Quarterly Results,EPS in Rs,,,,,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,,,,,
Profit & Loss,Expenses,,,,,,
Profit & Loss,Operating Profit,,,,,,
Profit & Loss,OPM %,,,,,,
Profit & Loss,Other Income,,,,,,
Profit & Loss,Interest,,,,,,
Profit & Loss,Depreciation,,,,,,
Profit & Loss,Profit before tax,,,,,,
Profit & Loss,Tax %,,,,,,
Profit & Loss,Net Profit,,,,,,
Profit & Loss,EPS in Rs,,,,,,
Profit & Loss,Dividend Payout %,,,,,,
,,,,,,,
Balance Sheet,Equity Capital,,,,,,
Balance Sheet,Reserves,,,,,,
Balance Sheet,Borrowings,,,,,,
Balance Sheet,Other Liabilities,,,,,,
Balance Sheet,Total Liabilities,,,,,,
Balance Sheet,Fixed Assets,,,,,,
Balance Sheet,CWIP,,,,,,
Balance Sheet,Investments,,,,,,
Balance Sheet,Other Assets,,,,,,
Balance Sheet,Total Assets,,,,,,
,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,
Cash Flows,Net Cash Flow,,,,,,
,,,,,,,
Ratios,Debtor Days,,,,,,
Ratios,Inventory Days,,,,,,
Ratios,Days Payable,,,,,,
Ratios,Cash Conversion Cycle,,,,,,
Ratios,Working Capital Days,,,,,,
Ratios,ROCE %,,,,,,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,69.83%,69.83%,69.83%,69.83%,69.83%,69.83%
Shareholding Pattern (Quarterly),FIIs,2.20%,0.00%,0.22%,0.07%,0.01%,0.02%
Shareholding Pattern (Quarterly),DIIs,2.12%,0.00%,0.06%,0.06%,0.17%,0.17%
Shareholding Pattern (Quarterly),Public,25.84%,30.17%,29.90%,30.04%,29.98%,29.99%
Shareholding Pattern (Quarterly),No. of Shareholders,48137,57605,54211,51634,50343,48951
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,69.83%,,,,69.83%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.02%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.17%
Shareholding Pattern (Yearly),Public,,30.17%,,,,29.99%
Shareholding Pattern (Yearly),No. of Shareholders,,57605,,,,48951
,,,,,,,
