Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,TTM,Jun 2022,Sep 2022,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,26.88,19.71,18.30,21.24,21.80,30.89,26.01,23.05,23.35,,,,,,,,
Quarterly Results,Expenses,24.15,15.89,14.83,17.34,19.01,23.95,22.67,21.02,21.15,,,,,,,,
Quarterly Results,Operating Profit,2.73,3.82,3.47,3.90,2.79,6.94,3.34,2.03,2.20,,,,,,,,
Quarterly Results,OPM %,10.16%,19.38%,18.96%,18.36%,12.80%,22.47%,12.84%,8.81%,9.42%,,,,,,,,
Quarterly Results,Other Income,0.81,0.15,0.06,0.10,0.05,0.39,0.53,0.37,0.31,,,,,,,,
Quarterly Results,Interest,0.43,0.48,0.35,0.48,0.35,0.60,0.54,0.48,0.35,,,,,,,,
Quarterly Results,Depreciation,1.82,2.00,1.80,1.84,1.95,1.96,1.71,1.74,1.78,,,,,,,,
Quarterly Results,Profit before tax,1.29,1.49,1.38,1.68,0.54,4.77,1.62,0.18,0.38,,,,,,,,
Quarterly Results,Tax %,25.58%,28.86%,25.36%,25.60%,24.07%,26.42%,26.54%,38.89%,28.95%,,,,,,,,
Quarterly Results,Net Profit,0.97,1.06,1.04,1.26,0.41,3.51,1.20,0.11,0.26,,,,,,,,
Quarterly Results,EPS in Rs,0.10,0.10,0.10,0.12,0.04,0.35,0.12,0.01,0.03,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,93,,,,92,,,,103,,,,,,,
Profit & Loss,Expenses,,79,,,,75,,,,89,,,,,,,
Profit & Loss,Operating Profit,,13,,,,17,,,,15,,,,,,,
Profit & Loss,OPM %,,14%,,,,19%,,,,14%,,,,,,,
Profit & Loss,Other Income,,1,,,,1,,,,2,,,,,,,
Profit & Loss,Interest,,2,,,,2,,,,2,,,,,,,
Profit & Loss,Depreciation,,7,,,,8,,,,7,,,,,,,
Profit & Loss,Profit before tax,,6,,,,8,,,,7,,,,,,,
Profit & Loss,Tax %,,26%,,,,26%,,,,,,,,,,,
Profit & Loss,Net Profit,,5,,,,6,,,,5,,,,,,,
Profit & Loss,EPS in Rs,,0.45,,,,0.61,,,,0.51,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,10,,,,10,,10,,,,,,,,,
Balance Sheet,Reserves,,42,,,,48,,50,,,,,,,,,
Balance Sheet,Borrowings,,24,,,,26,,14,,,,,,,,,
Balance Sheet,Other Liabilities,,7,,,,10,,13,,,,,,,,,
Balance Sheet,Total Liabilities,,83,,,,94,,87,,,,,,,,,
Balance Sheet,Fixed Assets,,63,,,,59,,56,,,,,,,,,
Balance Sheet,CWIP,,0,,,,0,,0,,,,,,,,,
Balance Sheet,Investments,,0,,,,7,,3,,,,,,,,,
Balance Sheet,Other Assets,,20,,,,28,,27,,,,,,,,,
Balance Sheet,Total Assets,,83,,,,94,,87,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,18,,,,10,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-24,,,,-10,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,6,,,,-0,,,,,,,,,,,
Cash Flows,Net Cash Flow,,1,,,,-0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,61,,,,97,,,,,,,,,,,
Ratios,Inventory Days,,0,,,,0,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,61,,,,97,,,,,,,,,,,
Ratios,Working Capital Days,,19,,,,40,,,,,,,,,,,
Ratios,ROCE %,,,,,,13%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,,66.77%,66.67%,66.54%,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.06%,0.03%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,33.32%,33.33%,33.33%,33.33%,33.27%,33.30%,33.32%,33.33%,33.33%,,33.23%,33.33%,33.46%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,19477,23860,24153,27510,33216,37338,41861,46171,47419,,7406,9718,47267,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,66.67%,,,,66.67%,,,,,,,66.54%,73.33%,73.33%,73.33%,69.25%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.03%,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,33.33%,,,,33.30%,,,,,,,33.46%,26.66%,26.66%,26.66%,30.75%
Shareholding Pattern (Yearly),No. of Shareholders,,23860,,,,37338,,,,,,,47267,99,62,642,5587
,,,,,,,,,,,,,,,,,,
