Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,594.17,284.66,221.13,573.43,333.13,323.96,440.40,531.97,542.47,679.97,562.62,502.16,536.73,,,
Quarterly Results,Expenses,588.01,290.71,222.15,564.48,319.83,314.42,436.11,526.23,526.61,669.04,548.17,490.98,528.94,,,
Quarterly Results,Operating Profit,6.16,-6.05,-1.02,8.95,13.30,9.54,4.29,5.74,15.86,10.93,14.45,11.18,7.79,,,
Quarterly Results,OPM %,1.04%,-2.13%,-0.46%,1.56%,3.99%,2.94%,0.97%,1.08%,2.92%,1.61%,2.57%,2.23%,1.45%,,,
Quarterly Results,Other Income,3.67,5.05,10.47,1.46,1.29,2.43,5.56,4.58,3.03,4.59,2.28,5.58,6.66,,,
Quarterly Results,Interest,2.67,2.65,3.27,3.79,4.03,6.55,6.77,6.32,5.78,7.29,8.70,7.52,6.21,,,
Quarterly Results,Depreciation,0.84,0.72,0.74,0.76,0.90,0.97,0.93,0.53,0.54,0.54,0.54,0.59,0.63,,,
Quarterly Results,Profit before tax,6.32,-4.37,5.44,5.86,9.66,4.45,2.15,3.47,12.57,7.69,7.49,8.65,7.61,,,
Quarterly Results,Tax %,21.36%,-21.51%,18.75%,23.04%,20.19%,-3.15%,55.81%,16.43%,6.36%,21.85%,25.63%,26.71%,31.80%,,,
Quarterly Results,Net Profit,4.98,-3.43,4.42,4.51,7.71,4.59,0.95,2.90,11.78,6.01,5.57,6.33,5.19,,,
Quarterly Results,EPS in Rs,0.17,-0.12,0.15,0.14,0.24,0.14,0.03,0.09,0.36,0.18,0.17,0.19,0.16,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1279,,,,1424,,,,1839,,,,2281,390,582,960
Profit & Loss,Expenses,1266,,,,1395,,,,1802,,,,2237,382,570,948
Profit & Loss,Operating Profit,13,,,,29,,,,37,,,,44,8,11,12
Profit & Loss,OPM %,1%,,,,2%,,,,2%,,,,2%,2%,2%,1%
Profit & Loss,Other Income,6,,,,5,,,,15,,,,19,0,2,5
Profit & Loss,Interest,11,,,,15,,,,26,,,,30,3,8,8
Profit & Loss,Depreciation,4,,,,3,,,,3,,,,2,1,3,3
Profit & Loss,Profit before tax,4,,,,16,,,,23,,,,31,3,3,6
Profit & Loss,Tax %,20%,,,,21%,,,,11%,,,,27%,28%,20%,20%
Profit & Loss,Net Profit,4,,,,13,,,,20,,,,23,2,2,5
Profit & Loss,EPS in Rs,0.14,,,,0.40,,,,0.61,,,,0.70,0.58,0.11,0.20
Profit & Loss,Dividend Payout %,61%,,,,2%,,,,0%,,,,1%,2%,51%,43%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,26,,,,28,,,,29,,,,33,2,16,25
Balance Sheet,Reserves,54,,,,87,,,,110,,,,169,32,43,44
Balance Sheet,Borrowings,137,,,,254,,,,201,,,,224,29,56,122
Balance Sheet,Other Liabilities,54,,,,71,,,,80,,,,130,8,19,31
Balance Sheet,Total Liabilities,271,,,,439,,,,420,,,,556,71,134,222
Balance Sheet,Fixed Assets,38,,,,65,,,,49,,,,57,26,44,34
Balance Sheet,CWIP,0,,,,10,,,,0,,,,0,4,0,0
Balance Sheet,Investments,3,,,,3,,,,2,,,,3,2,3,3
Balance Sheet,Other Assets,230,,,,361,,,,369,,,,496,38,86,184
Balance Sheet,Total Assets,271,,,,439,,,,420,,,,556,71,134,222
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-29,,,,-67,,,,40,,,,-39,-46,13,-44
Cash Flows,Cash from Investing Activity,34,,,,-41,,,,2,,,,4,-30,-25,-14
Cash Flows,Cash from Financing Activity,-7,,,,109,,,,-42,,,,34,76,13,61
Cash Flows,Net Cash Flow,-1,,,,1,,,,-1,,,,-1,1,0,2
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,22,,,,54,,,,35,,,,44,7,13,37
Ratios,Inventory Days,35,,,,19,,,,21,,,,17,15,15,9
Ratios,Days Payable,13,,,,19,,,,4,,,,8,2,2,12
Ratios,Cash Conversion Cycle,45,,,,54,,,,52,,,,53,19,26,35
Ratios,Working Capital Days,45,,,,67,,,,52,,,,55,27,31,43
Ratios,ROCE %,7%,,,,11%,,,,13%,,,,17%,,12%,9%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.31%,72.30%,73.99%,73.97%,74.99%,74.99%,74.99%,74.99%,72.01%,72.01%,72.01%,72.01%,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.77%,0.72%,0.08%,0.08%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),DIIs,,0.77%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.05%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,26.93%,26.93%,25.29%,25.95%,24.93%,24.89%,24.96%,24.96%,27.99%,27.98%,28.00%,27.99%,,,
