Section,,Dec 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,266,170,169,246,309,354,402,330,283,371,373,361,374,,,,,,,,,
Quarterly Results,Expenses,227,122,127,227,275,328,369,310,309,349,344,372,358,,,,,,,,,
Quarterly Results,Operating Profit,38,48,42,19,34,26,32,20,-26,22,29,-10,15,,,,,,,,,
Quarterly Results,OPM %,14%,28%,25%,8%,11%,7%,8%,6%,-9%,6%,8%,-3%,4%,,,,,,,,,
Quarterly Results,Other Income,5,3,2,10,5,8,37,4,5,4,5,15,12,,,,,,,,,
Quarterly Results,Interest,4,0,0,2,5,9,10,7,3,7,10,5,10,,,,,,,,,
Quarterly Results,Depreciation,17,11,11,13,20,32,31,35,34,34,33,32,36,,,,,,,,,
Quarterly Results,Profit before tax,23,40,33,14,14,-7,29,-18,-57,-16,-8,-32,-18,,,,,,,,,
Quarterly Results,Tax %,25%,25%,26%,57%,27%,71%,-4%,-13%,-7%,-9%,58%,-6%,60%,,,,,,,,,
Quarterly Results,Net Profit,17,30,24,6,10,-12,30,-16,-53,-14,-13,-30,-30,,,,,,,,,
Quarterly Results,EPS in Rs,2.07,2.31,1.85,0.40,0.77,-0.64,1.92,-1.19,-3.68,-0.99,-0.75,-2.05,-1.52,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,891,,,,1367,,,,1479,156,325,415,557,633,762,,,
Profit & Loss,Expenses,,,,,748,,,,1313,,,,1422,146,296,368,495,541,653,,,
Profit & Loss,Operating Profit,,,,,143,,,,54,,,,57,9,30,46,62,92,109,,,
Profit & Loss,OPM %,,,,,16%,,,,4%,,,,4%,6%,9%,11%,11%,14%,14%,,,
Profit & Loss,Other Income,,,,,19,,,,54,,,,35,36,56,14,135,28,34,,,
Profit & Loss,Interest,,,,,8,,,,29,,,,32,0,2,4,8,7,6,,,
Profit & Loss,Depreciation,,,,,54,,,,132,,,,135,4,18,21,32,37,45,,,
Profit & Loss,Profit before tax,,,,,101,,,,-53,,,,-74,41,65,36,156,76,92,,,
Profit & Loss,Tax %,,,,,30%,,,,-5%,,,,17%,11%,23%,18%,12%,35%,35%,,,
Profit & Loss,Net Profit,,,,,71,,,,-50,,,,-87,39,51,29,137,49,60,,,
Profit & Loss,EPS in Rs,,,,,5.34,,,,-3.59,,,,-5.25,3.27,4.12,2.68,13.93,4.89,5.90,,,
Profit & Loss,Dividend Payout %,,,,,0%,,,,0%,,,,0%,15%,15%,23%,5%,13%,11%,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,13,,,,13,,,,13,3,3,2,2,2,9,,,
Balance Sheet,Reserves,,,,,906,,,,860,,,,984,656,695,615,763,814,839,,,
Balance Sheet,Borrowings,,,,,421,,,,576,,,,252,1,34,100,67,50,114,,,
Balance Sheet,Other Liabilities,,,,,292,,,,235,,,,205,33,85,114,156,199,227,,,
Balance Sheet,Total Liabilities,,,,,1632,,,,1684,,,,1454,693,817,832,989,1065,1189,,,
Balance Sheet,Fixed Assets,,,,,977,,,,928,,,,777,173,264,334,308,383,377,,,
Balance Sheet,CWIP,,,,,70,,,,126,,,,135,6,8,8,43,16,137,,,
Balance Sheet,Investments,,,,,11,,,,12,,,,50,381,341,226,264,350,230,,,
Balance Sheet,Other Assets,,,,,574,,,,618,,,,493,134,203,264,374,317,444,,,
Balance Sheet,Total Assets,,,,,1632,,,,1684,,,,1454,693,817,832,989,1065,1189,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,-6,,,,69,,,,100,1,24,32,43,103,-25,,,
Cash Flows,Cash from Investing Activity,,,,,-116,,,,-215,,,,-142,8,-3,162,20,-67,-26,,,
Cash Flows,Cash from Financing Activity,,,,,238,,,,168,,,,-53,-8,-22,-193,-64,-31,40,,,
Cash Flows,Net Cash Flow,,,,,115,,,,21,,,,-95,1,-1,2,-1,6,-10,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,38,,,,33,,,,32,68,59,68,61,71,55,,,
Ratios,Inventory Days,,,,,617,,,,247,,,,203,123,153,169,168,137,265,,,
Ratios,Days Payable,,,,,208,,,,84,,,,61,23,52,57,65,96,76,,,
Ratios,Cash Conversion Cycle,,,,,447,,,,196,,,,174,168,160,180,165,111,245,,,
Ratios,Working Capital Days,,,,,82,,,,71,,,,61,136,85,102,112,81,108,,,
Ratios,ROCE %,,,,,,,,,-4%,,,,-3%,,6%,8%,8%,9%,10%,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,61.65%,61.65%,61.64%,61.62%,61.60%,61.60%,61.60%,61.60%,61.60%,61.59%,61.58%,62.20%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,4.87%,5.81%,5.96%,6.18%,6.29%,4.40%,4.48%,4.37%,4.31%,4.18%,5.35%,4.54%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.18%,0.14%,0.10%,0.10%,0.07%,0.46%,0.74%,0.26%,0.24%,0.23%,1.02%,1.20%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,33.30%,32.39%,32.30%,32.09%,32.02%,33.53%,33.18%,33.78%,33.84%,34.00%,32.05%,32.07%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,245786,264776,270690,268947,263116,282084,277747,320502,322731,306532,283955,277795,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,61.62%,,,,61.60%,,,,62.20%,,,,74.28%,72.85%,72.85%,70.50%,61.83%,61.69%
Shareholding Pattern (Yearly),FIIs,,,,,6.18%,,,,4.37%,,,,4.54%,,,,2.52%,2.66%,2.49%,2.00%,6.99%,4.79%
Shareholding Pattern (Yearly),DIIs,,,,,0.10%,,,,0.26%,,,,1.20%,,,,0.04%,0.04%,0.28%,0.19%,1.94%,0.06%
Shareholding Pattern (Yearly),Public,,,,,32.09%,,,,33.78%,,,,32.07%,,,,23.15%,24.45%,24.38%,27.31%,29.24%,33.46%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,268947,,,,320502,,,,277795,,,,8846,15500,32441,62198,102563,218773
,,,,,,,,,,,,,,,,,,,,,,,
