Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,10.01,4.95,3.90,2.83,6.38,9.05,7.34,9.98,6.61,9.41,9.78,10.55,,,,,
Quarterly Results,Expenses,9.25,6.52,3.41,3.26,6.01,8.99,7.81,9.46,6.92,8.41,8.69,12.53,,,,,
Quarterly Results,Operating Profit,0.76,-1.57,0.49,-0.43,0.37,0.06,-0.47,0.52,-0.31,1.00,1.09,-1.98,,,,,
Quarterly Results,OPM %,7.59%,-31.72%,12.56%,-15.19%,5.80%,0.66%,-6.40%,5.21%,-4.69%,10.63%,11.15%,-18.77%,,,,,
Quarterly Results,Other Income,0.56,0.31,0.84,0.15,0.80,0.63,1.44,0.28,2.08,0.98,0.63,-0.69,,,,,
Quarterly Results,Interest,0.08,0.20,0.18,0.04,0.14,0.13,0.14,0.16,0.13,0.18,0.13,0.11,,,,,
Quarterly Results,Depreciation,0.39,0.43,0.05,0.01,0.01,0.11,0.12,0.14,0.12,0.14,0.13,0.11,,,,,
Quarterly Results,Profit before tax,0.85,-1.89,1.10,-0.33,1.02,0.45,0.71,0.50,1.52,1.66,1.46,-2.89,,,,,
Quarterly Results,Tax %,41.18%,8.99%,12.73%,-3.03%,27.45%,0.00%,18.31%,176.00%,30.92%,9.64%,-26.03%,-43.94%,,,,,
Quarterly Results,Net Profit,0.50,-2.06,0.95,-0.31,0.73,0.45,0.59,-0.38,1.04,1.51,1.84,-1.63,,,,,
Quarterly Results,EPS in Rs,0.17,-0.64,0.30,-0.10,0.23,0.14,0.19,-0.13,0.33,0.48,0.58,-0.53,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,21.69,,,,32.74,,,,36.35,9.79,14.04,10.10,10.96,16.34
Profit & Loss,Expenses,,,,20.40,,,,32.26,,,,36.56,9.65,13.71,10.12,10.46,13.81
Profit & Loss,Operating Profit,,,,1.29,,,,0.48,,,,-0.21,0.14,0.33,-0.02,0.50,2.53
Profit & Loss,OPM %,,,,5.95%,,,,1.47%,,,,-0.58%,1.43%,2.35%,-0.20%,4.56%,15.48%
Profit & Loss,Other Income,,,,1.47,,,,3.14,,,,3.00,1.22,1.09,0.49,0.58,1.45
Profit & Loss,Interest,,,,0.28,,,,0.57,,,,0.55,0.08,0.19,0.21,0.24,0.21
Profit & Loss,Depreciation,,,,0.44,,,,0.47,,,,0.50,0.32,0.27,0.30,0.38,0.34
Profit & Loss,Profit before tax,,,,2.04,,,,2.58,,,,1.74,0.96,0.96,-0.04,0.46,3.43
Profit & Loss,Tax %,,,,30.39%,,,,49.22%,,,,-59.20%,20.83%,45.83%,400.00%,45.65%,18.08%
Profit & Loss,Net Profit,,,,1.42,,,,1.32,,,,2.76,0.76,0.51,-0.19,0.26,2.80
Profit & Loss,EPS in Rs,,,,0.45,,,,0.42,,,,0.86,0.34,0.16,-0.06,0.08,0.88
Profit & Loss,Dividend Payout %,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,135.77%,18.91%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,10.59,,,,10.59,,,,15.89,4.94,7.06,7.06,7.06,10.59
Balance Sheet,Reserves,,,,18.28,,,,18.94,,,,15.57,12.56,18.19,17.66,17.94,16.79
Balance Sheet,Borrowings,,,,2.69,,,,4.15,,,,5.64,-0.01,1.10,2.36,1.11,0.65
Balance Sheet,Other Liabilities,,,,5.11,,,,7.28,,,,5.71,2.26,1.97,2.80,2.55,4.02
Balance Sheet,Total Liabilities,,,,36.67,,,,40.96,,,,42.81,19.75,28.32,29.88,28.66,32.05
Balance Sheet,Fixed Assets,,,,4.91,,,,5.07,,,,4.56,4.68,5.06,5.27,5.01,5.10
Balance Sheet,CWIP,,,,0.00,,,,0.00,,,,0.05,0.00,0.00,0.00,0.00,0.00
Balance Sheet,Investments,,,,10.60,,,,14.00,,,,13.18,4.41,6.42,8.47,6.62,8.13
Balance Sheet,Other Assets,,,,21.16,,,,21.89,,,,25.02,10.66,16.84,16.14,17.03,18.82
Balance Sheet,Total Assets,,,,36.67,,,,40.96,,,,42.81,19.75,28.32,29.88,28.66,32.05
,,,,,,,,,,,,,,,,,,
