Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,130,128,148,158,177,165,190,210,240,249,286,285,283,,,
Quarterly Results,Expenses,96,96,105,116,118,126,147,160,179,190,217,219,214,,,
Quarterly Results,Operating Profit,34,32,42,43,58,39,43,50,61,59,69,66,69,,,
Quarterly Results,OPM %,26%,25%,29%,27%,33%,24%,23%,24%,25%,24%,24%,23%,24%,,,
Quarterly Results,Other Income,1,0,1,3,3,5,4,5,6,7,8,7,8,,,
Quarterly Results,Interest,1,1,0,1,1,0,0,0,1,0,1,1,1,,,
Quarterly Results,Depreciation,5,6,6,6,6,6,6,6,6,6,7,7,7,,,
Quarterly Results,Profit before tax,29,26,37,38,55,38,41,48,60,59,69,64,69,,,
Quarterly Results,Tax %,23%,26%,25%,26%,25%,25%,25%,25%,25%,25%,26%,25%,25%,,,
Quarterly Results,Net Profit,23,19,28,28,41,28,30,36,45,44,52,48,52,,,
Quarterly Results,EPS in Rs,5.48,4.68,6.67,6.88,9.96,6.78,7.35,8.62,10.76,10.67,12.44,11.64,12.50,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,458,,,,617,,,,823,,,,1104,225,236,295
Profit & Loss,Expenses,335,,,,436,,,,612,,,,841,185,188,225
Profit & Loss,Operating Profit,123,,,,181,,,,211,,,,262,40,48,70
Profit & Loss,OPM %,27%,,,,29%,,,,26%,,,,24%,18%,20%,24%
Profit & Loss,Other Income,0,,,,2,,,,1,,,,30,-1,0,0
Profit & Loss,Interest,3,,,,2,,,,2,,,,2,3,3,2
Profit & Loss,Depreciation,13,,,,24,,,,25,,,,28,8,8,8
Profit & Loss,Profit before tax,107,,,,157,,,,186,,,,262,29,37,61
Profit & Loss,Tax %,25%,,,,26%,,,,25%,,,,25%,27%,26%,25%
Profit & Loss,Net Profit,80,,,,117,,,,139,,,,196,21,28,45
Profit & Loss,EPS in Rs,19.40,,,,28.18,,,,33.51,,,,47.25,203.37,269.45,438.27
Profit & Loss,Dividend Payout %,5%,,,,5%,,,,6%,,,,5%,22%,1%,1%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,,,21,,,,21,,,,21,1,1,1
Balance Sheet,Reserves,217,,,,329,,,,461,,,,647,82,111,157
Balance Sheet,Borrowings,13,,,,17,,,,20,,,,31,30,17,13
Balance Sheet,Other Liabilities,148,,,,152,,,,255,,,,245,80,66,115
Balance Sheet,Total Liabilities,399,,,,519,,,,757,,,,944,193,196,285
Balance Sheet,Fixed Assets,174,,,,164,,,,153,,,,162,24,27,26
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0
Balance Sheet,Investments,39,,,,143,,,,246,,,,365,7,6,21
Balance Sheet,Other Assets,185,,,,212,,,,357,,,,416,162,162,238
Balance Sheet,Total Assets,399,,,,519,,,,757,,,,944,193,196,285
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,93,,,,127,,,,150,,,,161,13,50,58
Cash Flows,Cash from Investing Activity,-163,,,,-112,,,,-139,,,,-142,13,-2,-28
Cash Flows,Cash from Financing Activity,-10,,,,-12,,,,-14,,,,-18,-9,-22,-11
Cash Flows,Net Cash Flow,-81,,,,3,,,,-4,,,,0,16,26,19
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,75,,,,61,,,,63,,,,48,126,61,85
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,75,,,,61,,,,63,,,,48,126,61,85
Ratios,Working Capital Days,-16,,,,-3,,,,-10,,,,6,26,-8,-25
Ratios,ROCE %,52%,,,,51%,,,,43%,,,,44%,,33%,41%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,58.44%,58.43%,58.43%,58.43%,58.43%,58.43%,58.43%,58.43%,58.43%,55.71%,55.71%,55.71%,,,
Shareholding Pattern (Quarterly),FIIs,,1.13%,0.75%,0.68%,1.16%,1.42%,3.81%,3.77%,12.11%,12.91%,14.63%,14.77%,17.63%,,,
Shareholding Pattern (Quarterly),DIIs,,10.51%,11.54%,11.32%,9.79%,9.23%,15.67%,15.75%,15.69%,22.28%,23.92%,23.63%,20.71%,,,
Shareholding Pattern (Quarterly),Public,,29.92%,29.27%,29.56%,30.61%,30.92%,22.09%,22.05%,13.77%,6.38%,5.74%,5.88%,5.95%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,27668,18183,17345,18386,19759,20485,22659,21846,20481,23470,29598,31754,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,58.43%,,,,58.43%,,,,55.71%,,,
Shareholding Pattern (Yearly),FIIs,,,,,1.16%,,,,12.11%,,,,17.63%,,,
Shareholding Pattern (Yearly),DIIs,,,,,9.79%,,,,15.69%,,,,20.71%,,,
Shareholding Pattern (Yearly),Public,,,,,30.61%,,,,13.77%,,,,5.95%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,18386,,,,21846,,,,31754,,,
,,,,,,,,,,,,,,,,,
