Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,
,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%
Shareholding Pattern (Quarterly),FIIs,0.08%,0.08%,0.08%,0.07%,0.05%,0.05%,0.08%,0.05%,0.04%,0.04%
Shareholding Pattern (Quarterly),Public,24.93%,24.94%,24.94%,24.94%,24.97%,24.97%,24.95%,24.96%,24.97%,24.97%
Shareholding Pattern (Quarterly),No. of Shareholders,13306,12002,10771,9795,8579,8443,8655,8915,9178,8790
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,74.98%,,,,74.98%,,,,74.98%
Shareholding Pattern (Yearly),FIIs,,0.08%,,,,0.05%,,,,0.04%
Shareholding Pattern (Yearly),Public,,24.94%,,,,24.97%,,,,24.97%
Shareholding Pattern (Yearly),No. of Shareholders,,12002,,,,8443,,,,8790
,,,,,,,,,,,
