Section,,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2019,Mar 2020,TTM,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018
Quarterly Results,Sales,191,235,320,222,253,299,363,335,256,594,608,188,234,,,,,,,,,,,
Quarterly Results,Expenses,194,189,296,223,246,234,335,311,253,518,503,182,254,,,,,,,,,,,
Quarterly Results,Operating Profit,-3,46,24,-1,7,64,29,24,3,75,105,6,-20,,,,,,,,,,,
Quarterly Results,OPM %,-1%,19%,7%,-0%,3%,22%,8%,7%,1%,13%,17%,3%,-9%,,,,,,,,,,,
Quarterly Results,Other Income,1,1,4,0,0,1,1,2,0,2,2,2,4,,,,,,,,,,,
Quarterly Results,Interest,9,10,12,13,11,10,11,14,12,9,13,9,9,,,,,,,,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,3,3,4,5,6,7,7,,,,,,,,,,,
Quarterly Results,Profit before tax,-14,34,12,-16,-6,53,16,9,-12,63,89,-8,-32,,,,,,,,,,,
Quarterly Results,Tax %,-4%,4%,14%,7%,-7%,3%,6%,33%,10%,28%,26%,20%,2%,,,,,,,,,,,
Quarterly Results,Net Profit,-14,33,10,-17,-6,51,15,6,-13,46,65,-9,-33,,,,,,,,,,,
Quarterly Results,EPS in Rs,-1.23,2.92,0.92,-1.50,-0.52,4.55,1.32,0.51,-1.20,4.05,5.80,-0.81,-2.95,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,956,,,,1137,,,,1794,,,750,870,1624,,,,,,,,
Profit & Loss,Expenses,,,888,,,,1038,,,,1586,,,700,802,1458,,,,,,,,
Profit & Loss,Operating Profit,,,68,,,,99,,,,208,,,50,68,166,,,,,,,,
Profit & Loss,OPM %,,,7%,,,,9%,,,,12%,,,7%,8%,10%,,,,,,,,
Profit & Loss,Other Income,,,6,,,,2,,,,6,,,9,3,10,,,,,,,,
Profit & Loss,Interest,,,43,,,,44,,,,48,,,38,43,40,,,,,,,,
Profit & Loss,Depreciation,,,12,,,,11,,,,18,,,15,14,25,,,,,,,,
Profit & Loss,Profit before tax,,,19,,,,46,,,,148,,,5,14,112,,,,,,,,
Profit & Loss,Tax %,,,8%,,,,7%,,,,31%,,,21%,1%,,,,,,,,,
Profit & Loss,Net Profit,,,17,,,,43,,,,103,,,4,14,68,,,,,,,,
Profit & Loss,EPS in Rs,,,1.52,,,,3.85,,,,9.16,,,0.39,1.22,6.09,,,,,,,,
Profit & Loss,Dividend Payout %,,,13%,,,,6%,,,,5%,,,0%,8%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,11,,,,11,,,,11,,11,11,11,,,,,,,,,
Balance Sheet,Reserves,,,69,,,,111,,,,210,,161,40,54,,,,,,,,,
Balance Sheet,Borrowings,,,610,,,,700,,,,400,,225,409,514,,,,,,,,,
Balance Sheet,Other Liabilities,,,203,,,,342,,,,296,,232,423,252,,,,,,,,,
Balance Sheet,Total Liabilities,,,893,,,,1164,,,,916,,630,883,831,,,,,,,,,
Balance Sheet,Fixed Assets,,,128,,,,119,,,,224,,250,152,137,,,,,,,,,
Balance Sheet,CWIP,,,3,,,,112,,,,38,,33,0,1,,,,,,,,,
Balance Sheet,Investments,,,4,,,,4,,,,4,,4,4,4,,,,,,,,,
Balance Sheet,Other Assets,,,759,,,,929,,,,651,,343,726,689,,,,,,,,,
Balance Sheet,Total Assets,,,893,,,,1164,,,,916,,630,883,831,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-78,,,,93,,,,394,,,,45,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-6,,,,-131,,,,-48,,,,-1,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,79,,,,39,,,,-346,,,,-37,,,,,,,,,
Cash Flows,Net Cash Flow,,,-5,,,,1,,,,-0,,,,7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,19,,,,29,,,,38,,,14,5,,,,,,,,,
Ratios,Inventory Days,,,314,,,,331,,,,98,,,407,330,,,,,,,,,
Ratios,Days Payable,,,57,,,,96,,,,40,,,128,96,,,,,,,,,
Ratios,Cash Conversion Cycle,,,276,,,,263,,,,96,,,293,239,,,,,,,,,
Ratios,Working Capital Days,,,192,,,,169,,,,57,,,154,141,,,,,,,,,
Ratios,ROCE %,,,10%,,,,12%,,,,27%,,,,11%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,44.52%,44.51%,44.35%,44.36%,44.36%,44.34%,,,,44.34%,44.45%,44.45%,44.41%,44.81%,46.57%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,0.31%,0.44%,0.91%,0.67%,2.26%,3.62%,,,,2.57%,2.05%,1.57%,0.61%,0.50%,0.38%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,0.00%,0.00%,0.04%,0.04%,0.00%,0.02%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,55.17%,55.05%,54.71%,54.94%,53.39%,52.03%,,,,53.08%,53.50%,53.97%,54.98%,54.69%,53.05%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,49618,48479,53961,53655,53802,58988,,,,63471,66327,65482,61830,61146,61788,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,45.23%,,,,44.61%,,,,44.36%,,,45.01%,45.22%,,,44.45%,,,,46.57%,44.95%,44.97%
Shareholding Pattern (Yearly),FIIs,,,0.00%,,,,0.18%,,,,0.67%,,,0.00%,0.00%,,,2.05%,,,,0.38%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,0.00%,,,,0.00%,,,,0.04%,,,0.00%,0.04%,,,0.00%,,,,0.00%,0.00%,0.08%
Shareholding Pattern (Yearly),Government,,,0.00%,,,,0.00%,,,,0.00%,,,0.00%,0.00%,,,0.00%,,,,0.00%,0.00%,0.27%
Shareholding Pattern (Yearly),Public,,,54.77%,,,,55.21%,,,,54.94%,,,54.98%,54.74%,,,53.50%,,,,53.05%,55.04%,54.68%
Shareholding Pattern (Yearly),No. of Shareholders,,,29748,,,,49015,,,,53655,,,30366,29116,,,66327,,,,61788,32411,31488
,,,,,,,,,,,,,,,,,,,,,,,,,
