Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,69.64%,69.41%,69.05%,69.02%,68.96%,68.94%,68.75%,68.63%,68.62%,68.61%,68.60%,68.60%,,,
Shareholding Pattern (Quarterly),FIIs,8.29%,8.82%,9.13%,8.45%,9.48%,9.08%,9.35%,8.59%,8.72%,9.18%,9.52%,9.88%,,,
Shareholding Pattern (Quarterly),DIIs,16.24%,16.99%,16.72%,17.47%,17.17%,17.28%,16.27%,16.68%,16.54%,16.76%,16.47%,17.22%,,,
Shareholding Pattern (Quarterly),Public,5.83%,4.78%,5.11%,5.06%,4.37%,4.69%,5.62%,6.09%,6.11%,5.46%,5.41%,4.30%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,1178353,1063054,1057260,1041168,967531,961296,1028673,1036632,1019117,948916,937270,847672,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,69.02%,,,,68.63%,,,,68.60%,69.55%,69.40%,69.59%
Shareholding Pattern (Yearly),FIIs,,,,8.45%,,,,8.59%,,,,9.88%,4.07%,8.62%,9.53%
Shareholding Pattern (Yearly),DIIs,,,,17.47%,,,,16.68%,,,,17.22%,3.79%,5.97%,12.41%
Shareholding Pattern (Yearly),Public,,,,5.06%,,,,6.09%,,,,4.30%,22.59%,16.01%,8.47%
Shareholding Pattern (Yearly),No. of Shareholders,,,,1041168,,,,1036632,,,,847672,1961808,1057518,1161090
,,,,,,,,,,,,,,,,
