Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,69,73,75,81,72,74,75,77,128,239,,
Quarterly Results,Expenses,60,61,67,69,61,63,64,64,112,220,,
Quarterly Results,Operating Profit,9,12,9,12,10,11,12,14,16,19,,
Quarterly Results,OPM %,13%,17%,11%,15%,14%,15%,16%,18%,12%,8%,,
Quarterly Results,Other Income,-24,23,1,1,1,5,7,7,5,6,,
Quarterly Results,Interest,1,0,0,0,0,0,0,0,0,0,,
Quarterly Results,Depreciation,0,1,1,1,1,1,1,1,2,2,,
Quarterly Results,Profit before tax,-16,34,9,12,11,14,17,19,19,23,,
Quarterly Results,Tax %,-26%,25%,35%,25%,24%,24%,27%,23%,27%,26%,,
Quarterly Results,Net Profit,-12,25,6,9,8,11,13,15,14,17,,
Quarterly Results,EPS in Rs,-1.88,3.73,0.77,1.27,1.12,1.13,1.32,1.58,1.44,1.45,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,243,,,,301,,,,519,64,97
Profit & Loss,Expenses,,210,,,,260,,,,459,60,90
Profit & Loss,Operating Profit,,33,,,,42,,,,60,5,7
Profit & Loss,OPM %,,14%,,,,14%,,,,12%,7%,7%
Profit & Loss,Other Income,,1,,,,8,,,,26,1,2
Profit & Loss,Interest,,4,,,,1,,,,1,2,1
Profit & Loss,Depreciation,,3,,,,3,,,,6,0,1
Profit & Loss,Profit before tax,,27,,,,46,,,,79,4,7
Profit & Loss,Tax %,,25%,,,,27%,,,,26%,20%,21%
Profit & Loss,Net Profit,,20,,,,34,,,,59,3,5
Profit & Loss,EPS in Rs,,2.83,,,,3.46,,,,5.78,3150.00,5380.00
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,17%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,67,,,,91,,,,91,0.01,0.01
Balance Sheet,Reserves,,40,,,,340,,,,392,10,15
Balance Sheet,Borrowings,,5,,,,7,,,,7,11,15
Balance Sheet,Other Liabilities,,67,,,,71,,,,183,20,26
Balance Sheet,Total Liabilities,,179,,,,510,,,,672,41,56
Balance Sheet,Fixed Assets,,88,,,,93,,,,148,8,15
Balance Sheet,CWIP,,0,,,,0,,,,11,0,0
Balance Sheet,Investments,,0,,,,15,,,,110,0,0
Balance Sheet,Other Assets,,92,,,,402,,,,404,32,41
Balance Sheet,Total Assets,,179,,,,510,,,,672,41,56
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,29,,,,20,,,,67,9,20
Cash Flows,Cash from Investing Activity,,-66,,,,-295,,,,-23,-1,-14
Cash Flows,Cash from Financing Activity,,46,,,,290,,,,-4,-5,-8
Cash Flows,Net Cash Flow,,10,,,,15,,,,40,3,-1
,,,,,,,,,,,,,
Ratios,Debtor Days,,27,,,,30,,,,66,50,32
Ratios,Inventory Days,,,,,,23,,,,,,
Ratios,Days Payable,,,,,,46,,,,,,
Ratios,Cash Conversion Cycle,,27,,,,8,,,,66,50,32
Ratios,Working Capital Days,,-56,,,,-27,,,,49,-47,-46
Ratios,ROCE %,,45%,,,,17%,,,,16%,,31%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,68.89%,68.89%,68.89%,68.89%,68.89%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,9.27%,5.69%,1.42%,0.78%,0.41%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,0.01%,0.01%,0.01%,0.01%,0.02%,,
Shareholding Pattern (Quarterly),Public,,,,,,21.83%,25.40%,29.68%,30.31%,30.67%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,73190,75001,87912,91939,93861,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,68.89%,,,,68.89%,,
Shareholding Pattern (Yearly),FIIs,,,,,,9.27%,,,,0.41%,,
Shareholding Pattern (Yearly),DIIs,,,,,,0.01%,,,,0.02%,,
Shareholding Pattern (Yearly),Public,,,,,,21.83%,,,,30.67%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,73190,,,,93861,,
,,,,,,,,,,,,,
