Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,38,15,11,23,36,33,37,38,64,44,51,48,84,,,,,,,,,
Quarterly Results,Expenses,37,14,10,20,31,35,31,32,51,41,38,40,68,,,,,,,,,
Quarterly Results,Operating Profit,1,1,1,3,5,-1,6,6,13,2,13,8,17,,,,,,,,,
Quarterly Results,OPM %,4%,4%,9%,14%,13%,-4%,17%,16%,21%,6%,25%,16%,20%,,,,,,,,,
Quarterly Results,Other Income,1,2,3,2,3,0,4,3,2,5,3,4,5,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Depreciation,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,
Quarterly Results,Profit before tax,1,1,2,3,5,-3,8,7,14,5,14,10,19,,,,,,,,,
Quarterly Results,Tax %,71%,-176%,28%,30%,24%,-60%,23%,28%,28%,-4%,23%,23%,22%,,,,,,,,,
Quarterly Results,Net Profit,0,2,1,2,4,-1,6,5,10,5,11,8,15,,,,,,,,,
Quarterly Results,EPS in Rs,0.43,3.02,2.17,3.29,6.57,-2.25,10.57,8.51,17.01,9.29,18.72,13.09,25.73,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,126,,,,84,,,,173,,,,228,140,171,140,185,108,,,,
Profit & Loss,Expenses,115,,,,75,,,,148,,,,187,117,149,125,159,102,,,,
Profit & Loss,Operating Profit,11,,,,9,,,,24,,,,40,23,22,15,25,6,,,,
Profit & Loss,OPM %,9%,,,,11%,,,,14%,,,,18%,16%,13%,11%,14%,5%,,,,
Profit & Loss,Other Income,11,,,,9,,,,9,,,,16,8,13,10,11,11,,,,
Profit & Loss,Interest,1,,,,0,,,,0,,,,1,0,0,1,1,1,,,,
Profit & Loss,Depreciation,7,,,,8,,,,8,,,,7,6,5,5,5,6,,,,
Profit & Loss,Profit before tax,14,,,,10,,,,25,,,,48,24,29,19,30,10,,,,
Profit & Loss,Tax %,21%,,,,14%,,,,22%,,,,20%,26%,16%,16%,24%,8%,,,,
Profit & Loss,Net Profit,11,,,,9,,,,20,,,,39,18,25,16,23,9,,,,
Profit & Loss,EPS in Rs,19.55,,,,15.05,,,,33.84,,,,66.83,31.00,42.85,28.21,40.17,16.45,,,,
Profit & Loss,Dividend Payout %,26%,,,,33%,,,,15%,,,,7%,16%,12%,18%,17%,30%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6,,,,6,,,,6,,,,6,6,6,6,6,6,,,,
Balance Sheet,Reserves,322,,,,327,,,,345,,,,380,255,276,289,309,313,,,,
Balance Sheet,Borrowings,2,,,,0,,,,1,,,,0,0,0,1,2,3,,,,
