Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2020,Mar 2021,TTM,Mar 2025,Jun 2025,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,67,74,79,80,77,82,83,66,75,80,75,85,90,,,,,,,,
Quarterly Results,Expenses,47,51,55,54,56,58,59,48,51,55,49,55,57,,,,,,,,
Quarterly Results,Operating Profit,21,23,24,25,21,24,25,17,24,24,26,30,33,,,,,,,,
Quarterly Results,OPM %,31%,31%,30%,32%,28%,30%,30%,27%,32%,31%,35%,35%,37%,,,,,,,,
Quarterly Results,Other Income,1,0,1,1,1,1,1,0,-1,0,-1,-1,5,,,,,,,,
Quarterly Results,Interest,0,1,1,1,1,0,0,1,1,1,0,0,1,,,,,,,,
Quarterly Results,Depreciation,6,7,7,8,8,8,8,9,8,8,8,8,10,,,,,,,,
Quarterly Results,Profit before tax,15,16,17,18,14,17,16,8,14,16,17,20,28,,,,,,,,
Quarterly Results,Tax %,25%,27%,28%,26%,27%,23%,25%,25%,25%,24%,26%,24%,23%,,,,,,,,
Quarterly Results,Net Profit,12,12,12,13,10,13,12,6,10,12,12,15,22,,,,,,,,
Quarterly Results,EPS in Rs,2.64,2.68,2.72,2.99,2.32,2.86,2.75,1.43,2.29,2.79,2.77,3.44,4.84,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,278,,,,318,,,,318,,,,181,211,329,,,,,
Profit & Loss,Expenses,,198,,,,223,,,,231,,,,151,158,216,,,,,
Profit & Loss,Operating Profit,,80,,,,95,,,,87,,,,30,53,113,,,,,
Profit & Loss,OPM %,,29%,,,,30%,,,,27%,,,,17%,25%,34%,,,,,
Profit & Loss,Other Income,,0,,,,3,,,,4,,,,3,1,4,,,,,
Profit & Loss,Interest,,2,,,,3,,,,2,,,,4,2,2,,,,,
Profit & Loss,Depreciation,,23,,,,31,,,,34,,,,21,23,34,,,,,
Profit & Loss,Profit before tax,,56,,,,65,,,,54,,,,8,29,81,,,,,
Profit & Loss,Tax %,,26%,,,,26%,,,,25%,,,,17%,25%,,,,,,
Profit & Loss,Net Profit,,41,,,,48,,,,41,,,,7,21,61,,,,,
Profit & Loss,EPS in Rs,,9.35,,,,10.87,,,,9.26,,,,1.55,4.84,13.84,,,,,
Profit & Loss,Dividend Payout %,,11%,,,,9%,,,,11%,,,,0%,21%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
