Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,175,224,190,160,149,156,137,154,153,168,169,173,157,,,,,,,
Quarterly Results,Expenses,125,181,175,148,137,153,121,154,151,153,146,158,133,,,,,,,
Quarterly Results,Operating Profit,50,43,16,11,12,3,16,-0,2,15,23,15,23,,,,,,,
Quarterly Results,OPM %,29%,19%,8%,7%,8%,2%,12%,-0%,1%,9%,13%,9%,15%,,,,,,,
Quarterly Results,Other Income,0,0,3,1,1,2,3,2,4,2,6,4,7,,,,,,,
Quarterly Results,Interest,2,3,2,4,3,3,3,3,3,3,3,2,2,,,,,,,
Quarterly Results,Depreciation,5,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,
Quarterly Results,Profit before tax,43,32,8,0,1,-6,8,-9,-5,6,17,9,20,,,,,,,
Quarterly Results,Tax %,25%,25%,20%,2225%,24%,2%,8%,-5%,-61%,29%,33%,23%,34%,,,,,,,
Quarterly Results,Net Profit,32,24,13,1,4,-2,12,-5,1,8,17,8,14,,,,,,,
Quarterly Results,EPS in Rs,13.10,9.90,5.46,0.59,1.62,-0.91,4.95,-2.11,0.37,3.38,7.08,3.05,5.75,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,489,,,,723,,,,600,,,,666,302,260,255,252,266,277,303
Profit & Loss,Expenses,370,,,,642,,,,579,,,,590,262,215,223,232,252,235,238
Profit & Loss,Operating Profit,119,,,,82,,,,21,,,,76,39,45,31,20,14,42,66
Profit & Loss,OPM %,24%,,,,11%,,,,4%,,,,11%,13%,17%,12%,8%,5%,15%,22%
Profit & Loss,Other Income,4,,,,5,,,,11,,,,18,2,2,2,3,1,4,5
Profit & Loss,Interest,3,,,,12,,,,12,,,,10,13,8,5,3,1,0,0
Profit & Loss,Depreciation,6,,,,32,,,,32,,,,32,22,22,22,14,2,2,2
Profit & Loss,Profit before tax,114,,,,42,,,,-12,,,,51,7,17,7,6,12,44,68
Profit & Loss,Tax %,25%,,,,26%,,,,-24%,,,,31%,46%,36%,-25%,33%,32%,27%,25%
Profit & Loss,Net Profit,98,,,,43,,,,6,,,,47,11,15,19,11,12,37,63
Profit & Loss,EPS in Rs,39.74,,,,17.57,,,,2.31,,,,19.27,4.51,6.10,7.66,4.66,4.97,15.16,25.46
Profit & Loss,Dividend Payout %,6%,,,,9%,,,,44%,,,,5%,0%,8%,7%,11%,10%,7%,6%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,13,,,,13,,,,13,13,13,13,13,13,13,13
Balance Sheet,Reserves,900,,,,767,,,,786,,,,789,197,210,394,444,445,378,513
Balance Sheet,Borrowings,173,,,,163,,,,126,,,,96,91,45,30,22,0,4,58
Balance Sheet,Other Liabilities,58,,,,36,,,,34,,,,51,9,15,9,8,11,10,69
Balance Sheet,Total Liabilities,1144,,,,979,,,,959,,,,948,309,282,445,487,468,404,653
Balance Sheet,Fixed Assets,293,,,,269,,,,237,,,,210,89,67,45,32,31,29,28
Balance Sheet,CWIP,2,,,,0,,,,0,,,,0,0,0,0,0,0,21,172
Balance Sheet,Investments,715,,,,568,,,,623,,,,588,157,162,338,387,387,279,366
Balance Sheet,Other Assets,135,,,,142,,,,98,,,,150,63,53,62,67,50,75,87
Balance Sheet,Total Assets,1144,,,,979,,,,959,,,,948,309,282,445,487,468,404,653
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-24,,,,110,,,,17,,,,57,,24,24,23,18,40,94
Cash Flows,Cash from Investing Activity,-92,,,,-37,,,,-11,,,,-3,,-0,-0,-1,-6,-40,-136
Cash Flows,Cash from Financing Activity,115,,,,-41,,,,-38,,,,-41,,-24,-23,-22,-11,-1,42
Cash Flows,Net Cash Flow,-0,,,,32,,,,-33,,,,13,,-0,0,0,1,-1,1
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,21,,,,13,,,,15,,,,17,38,39,47,48,29,12,14
Ratios,Inventory Days,75,,,,34,,,,35,,,,39,16,16,30,30,30,37,40
Ratios,Days Payable,11,,,,8,,,,9,,,,9,7,7,12,10,11,11,118
Ratios,Cash Conversion Cycle,86,,,,40,,,,42,,,,47,47,48,64,68,48,39,-65
Ratios,Working Capital Days,78,,,,39,,,,38,,,,56,43,32,44,64,46,81,16
Ratios,ROCE %,14%,,,,5%,,,,-0%,,,,7%,,9%,3%,2%,3%,10%,14%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,70.65%,70.65%,70.72%,70.85%,70.85%,71.05%,71.08%,71.48%,71.88%,71.88%,71.88%,72.22%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.29%,0.19%,0.17%,0.06%,0.06%,0.06%,0.07%,0.06%,0.11%,0.03%,0.05%,0.03%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,,,
Shareholding Pattern (Quarterly),Public,,29.05%,29.15%,29.12%,29.07%,29.08%,28.87%,28.84%,28.45%,27.98%,28.08%,28.04%,27.75%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,24794,26233,26705,26558,26217,25617,24338,24213,22672,22764,22157,21871,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.54%,,,,70.85%,,,,71.48%,,,,72.22%,,,70.16%,70.19%,70.19%,70.29%,70.29%
Shareholding Pattern (Yearly),FIIs,0.24%,,,,0.06%,,,,0.06%,,,,0.03%,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,,,0.01%,0.04%,0.01%,0.01%,0.01%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),Public,29.21%,,,,29.07%,,,,28.45%,,,,27.75%,,,29.83%,29.77%,29.80%,29.70%,29.68%
Shareholding Pattern (Yearly),No. of Shareholders,23972,,,,26558,,,,24213,,,,21871,,,25243,20592,19127,17185,19926
,,,,,,,,,,,,,,,,,,,,,
