Section,,Sep 2023,Dec 2023,Dec 2024,Mar 2025,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Mar 2024,Jun 2024,Sep 2024,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,122,201,266,232,,,,,,,,,,,,,,
Quarterly Results,Expenses,98,166,223,197,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,24,36,44,35,,,,,,,,,,,,,,
Quarterly Results,OPM %,20%,18%,16%,15%,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,1,10,7,,,,,,,,,,,,,,
Quarterly Results,Interest,1,1,3,3,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1,1,3,3,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,23,35,48,35,,,,,,,,,,,,,,
Quarterly Results,Tax %,19%,23%,25%,36%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,19,27,36,20,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.13,0.19,0.24,0.12,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,846,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,711,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,135,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,16%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,24,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,9,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,10,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,141,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,23%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,105,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,0.70,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,28%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,117,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,531,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,83,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,260,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,991,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,233,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,63,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,16,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,678,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,991,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,158,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-109,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-45,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,117,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,59,,,,,,,,,,,,,,
Ratios,Days Payable,,,,71,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,105,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,121,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,59.79%,59.79%,56.39%,56.23%,57.66%,57.66%,57.66%,60.64%,57.25%,57.25%,57.25%,49.36%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.25%,1.03%,2.87%,2.66%,0.00%,0.01%,0.03%,0.03%,1.39%,2.12%,2.22%,2.13%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.04%,0.09%,0.16%,0.16%,0.05%,0.08%,0.05%,0.04%,0.13%,0.14%,0.15%,0.17%,,,,,,
Shareholding Pattern (Quarterly),Public,39.91%,39.09%,40.57%,40.66%,42.29%,42.25%,42.26%,39.28%,41.03%,40.45%,40.35%,48.30%,,,,,,
Shareholding Pattern (Quarterly),Others,0.00%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,0.20%,0.03%,0.02%,0.03%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,362946,355127,424038,424677,397869,380276,355708,343224,377735,392659,424312,441037,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,56.23%,,,57.66%,,57.25%,,,49.36%,46.12%,46.12%,46.12%,46.12%,46.12%,53.41%
Shareholding Pattern (Yearly),FIIs,,,,2.66%,,,0.03%,,1.39%,,,2.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),DIIs,,,,0.16%,,,0.05%,,0.13%,,,0.17%,15.53%,13.98%,9.56%,0.40%,0.06%,0.06%
Shareholding Pattern (Yearly),Public,,,,40.66%,,,42.26%,,41.03%,,,48.30%,38.35%,39.90%,44.32%,53.48%,53.83%,46.51%
Shareholding Pattern (Yearly),Others,,,,0.29%,,,0.00%,,0.20%,,,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,,,,424677,,,355708,,377735,,,441037,147675,151250,158538,133005,168002,400833
,,,,,,,,,,,,,,,,,,,
