Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,49.18,84.81,92.32,110.74,78.88,72.68,85.17,86.44,106.29,168.42,193.95,,,,,,,
Quarterly Results,Expenses,48.84,84.22,91.48,108.81,77.71,71.20,84.13,85.04,104.44,165.39,190.54,,,,,,,
Quarterly Results,Operating Profit,0.34,0.59,0.84,1.93,1.17,1.48,1.04,1.40,1.85,3.03,3.41,,,,,,,
Quarterly Results,OPM %,0.69%,0.70%,0.91%,1.74%,1.48%,2.04%,1.22%,1.62%,1.74%,1.80%,1.76%,,,,,,,
Quarterly Results,Other Income,0.30,0.15,0.19,0.03,0.06,0.15,0.61,0.15,0.10,0.28,0.44,,,,,,,
Quarterly Results,Interest,0.19,0.12,0.26,0.55,0.77,0.77,0.84,0.93,1.01,0.75,1.55,,,,,,,
Quarterly Results,Depreciation,0.10,0.11,0.13,0.12,0.13,0.14,0.41,0.30,0.17,0.18,0.22,,,,,,,
Quarterly Results,Profit before tax,0.35,0.51,0.64,1.29,0.33,0.72,0.40,0.32,0.77,2.38,2.08,,,,,,,
Quarterly Results,Tax %,20.00%,29.41%,31.25%,29.46%,33.33%,18.06%,70.00%,68.75%,5.19%,25.63%,23.56%,,,,,,,
Quarterly Results,Net Profit,0.28,0.36,0.44,0.91,0.22,0.59,0.11,0.11,0.73,1.77,1.59,,,,,,,
Quarterly Results,EPS in Rs,0.17,0.22,0.27,0.55,0.13,0.36,0.07,0.07,0.42,0.92,0.86,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,269,,,,347,,,,555,,,,,,,
Profit & Loss,Expenses,,,267,,,,342,,,,545,,,,,,,
Profit & Loss,Operating Profit,,,2,,,,6,,,,10,,,,,,,
Profit & Loss,OPM %,,,1%,,,,2%,,,,2%,,,,,,,
Profit & Loss,Other Income,,,1,,,,1,,,,1,,,,,,,
Profit & Loss,Interest,,,1,,,,3,,,,4,,,,,,,
Profit & Loss,Depreciation,,,0,,,,1,,,,1,,,,,,,
Profit & Loss,Profit before tax,,,2,,,,3,,,,6,,,,,,,
Profit & Loss,Tax %,,,27%,,,,43%,,,,24%,,,,,,,
Profit & Loss,Net Profit,,,1,,,,2,,,,4,,,,,,,
Profit & Loss,EPS in Rs,,,0.79,,,,0.94,,,,2.25,,,,,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,16,,,,16,,,,17,,,,,,,
Balance Sheet,Reserves,,,4,,,,6,,,,54,,,,,,,
Balance Sheet,Borrowings,,,16,,,,43,,,,62,,,,,,,
Balance Sheet,Other Liabilities,,,13,,,,18,,,,49,,,,,,,
Balance Sheet,Total Liabilities,,,49,,,,83,,,,182,,,,,,,
Balance Sheet,Fixed Assets,,,3,,,,8,,,,10,,,,,,,
Balance Sheet,CWIP,,,0,,,,3,,,,1,,,,,,,
Balance Sheet,Investments,,,0,,,,1,,,,14,,,,,,,
Balance Sheet,Other Assets,,,46,,,,71,,,,157,,,,,,,
