Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20146m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,607,679,747,615,1033,931,985,1137,1218,1059,814,1081,1161,,,,,,,,,
Quarterly Results,Expenses,599,702,735,577,926,860,894,1011,1087,927,746,974,1097,,,,,,,,,
Quarterly Results,Operating Profit,8,-23,12,38,107,72,91,126,131,132,67,107,64,,,,,,,,,
Quarterly Results,OPM %,1%,-3%,2%,6%,10%,8%,9%,11%,11%,12%,8%,10%,6%,,,,,,,,,
Quarterly Results,Other Income,4,3,1,1,-34,0,2,0,2,1,15,3,109,,,,,,,,,
Quarterly Results,Interest,14,12,17,19,19,22,13,8,18,14,12,12,8,,,,,,,,,
Quarterly Results,Depreciation,21,12,12,12,12,12,12,12,11,11,11,11,12,,,,,,,,,
Quarterly Results,Profit before tax,-23,-45,-16,7,42,39,68,107,104,109,59,88,153,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-21%,,,,,,,,,
Quarterly Results,Net Profit,-23,-45,-16,7,42,39,68,107,104,109,59,88,186,,,,,,,,,
Quarterly Results,EPS in Rs,-17.83,-35.10,-12.53,5.74,32.62,30.36,52.99,84.03,81.64,85.41,46.67,69.33,145.57,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2831,,,,3074,,,,4272,,,,4115,765,2048,2101,2259,2927,4040,3212,2518,
Profit & Loss,Expenses,2745,,,,2940,,,,3852,,,,3744,984,2362,2133,2198,2779,3737,3083,2298,
Profit & Loss,Operating Profit,86,,,,134,,,,419,,,,372,-220,-314,-32,61,149,303,129,220,
Profit & Loss,OPM %,3%,,,,4%,,,,10%,,,,9%,-29%,-15%,-2%,3%,5%,8%,4%,9%,
Profit & Loss,Other Income,7,,,,-30,,,,5,,,,128,-25,3,8,1,9,20,49,4,
Profit & Loss,Interest,45,,,,67,,,,60,,,,46,10,10,1,4,5,38,19,54,
Profit & Loss,Depreciation,88,,,,49,,,,47,,,,44,72,159,154,148,149,143,134,121,
Profit & Loss,Profit before tax,-40,,,,-12,,,,317,,,,410,-326,-481,-180,-91,3,142,24,49,
Profit & Loss,Tax %,0%,,,,0%,,,,0%,,,,-8%,-1%,-0%,0%,0%,1%,0%,0%,0%,
Profit & Loss,Net Profit,-40,,,,-12,,,,317,,,,442,-322,-480,-180,-91,3,142,24,49,
Profit & Loss,EPS in Rs,-31.67,,,,-9.28,,,,249.03,,,,346.98,-280.49,-416.71,-156.72,-71.62,2.32,111.32,18.91,38.84,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,13,,,,13,,,,13,,11,11,13,13,13,13,13,11
Balance Sheet,Reserves,-1095,,,,-1109,,,,-794,,,,-172,,-1085,-1265,-1379,-1375,-1235,-1106,-1055,-608
Balance Sheet,Borrowings,2087,,,,1986,,,,1770,,,,1287,,3197,3186,3073,2851,2616,2294,2234,3245
Balance Sheet,Other Liabilities,741,,,,862,,,,852,,,,790,,354,368,512,671,775,720,705,353
Balance Sheet,Total Liabilities,1745,,,,1752,,,,1841,,,,1918,,2477,2300,2219,2160,2169,1920,1897,3002
Balance Sheet,Fixed Assets,698,,,,638,,,,613,,,,601,,1457,1321,1118,1027,949,825,738,1606
Balance Sheet,CWIP,33,,,,26,,,,44,,,,98,,21,21,22,17,29,28,27,23
Balance Sheet,Investments,8,,,,8,,,,8,,,,8,,0,2,7,7,7,7,7,0
Balance Sheet,Other Assets,1007,,,,1081,,,,1177,,,,1212,,998,957,1073,1108,1184,1060,1124,1373
Balance Sheet,Total Assets,1745,,,,1752,,,,1841,,,,1918,,2477,2300,2219,2160,2169,1920,1897,3002
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,179,,,,107,,,,351,,,,329,,72,52,58,161,344,181,225,46
Cash Flows,Cash from Investing Activity,-14,,,,-2,,,,-68,,,,-72,,-5,-42,-25,-46,-67,5,-62,-3
Cash Flows,Cash from Financing Activity,-189,,,,-103,,,,-294,,,,-303,,-46,-12,-52,-106,-262,-203,-104,-40
Cash Flows,Net Cash Flow,-24,,,,2,,,,-11,,,,-46,,21,-1,-19,9,15,-17,58,3
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,22,,,,25,,,,19,,,,23,,57,46,49,46,30,36,40,194
Ratios,Inventory Days,96,,,,91,,,,76,,,,77,,73,68,86,78,70,78,110,233
Ratios,Days Payable,68,,,,60,,,,52,,,,60,,47,66,90,82,60,72,93,103
Ratios,Cash Conversion Cycle,50,,,,56,,,,42,,,,40,,83,48,46,41,41,43,58,324
Ratios,Working Capital Days,20,,,,15,,,,18,,,,25,,-157,-114,-87,-83,-66,-83,35,-478
Ratios,ROCE %,0%,,,,10%,,,,40%,,,,32%,,-20%,-9%,-4%,1%,13%,2%,9%,-10%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,31.04%,31.04%,31.04%,31.04%,31.04%,31.04%,31.04%,31.04%,31.04%,30.69%,29.90%,29.90%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,4.94%,4.94%,4.94%,4.94%,4.94%,4.94%,4.94%,4.95%,4.99%,4.81%,4.61%,4.54%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.39%,,,,,,,,,
