Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,26.00,21.87,7.07,11.64,15.19,4.99,8.78,12.27,13.59,7.50,15.85,11.36,11.37,,,,,,,,,,,,
Quarterly Results,Expenses,23.75,20.52,6.77,10.07,13.57,4.68,8.11,11.31,13.93,6.90,15.04,10.28,10.42,,,,,,,,,,,,
Quarterly Results,Operating Profit,2.25,1.35,0.30,1.57,1.62,0.31,0.67,0.96,-0.34,0.60,0.81,1.08,0.95,,,,,,,,,,,,
Quarterly Results,OPM %,8.65%,6.17%,4.24%,13.49%,10.66%,6.21%,7.63%,7.82%,-2.50%,8.00%,5.11%,9.51%,8.36%,,,,,,,,,,,,
Quarterly Results,Other Income,0.05,1.83,0.08,0.05,0.14,0.06,0.18,0.06,-2.90,0.03,0.08,0.07,0.36,,,,,,,,,,,,
Quarterly Results,Interest,0.18,0.27,0.15,0.04,0.04,0.08,0.14,0.13,0.15,0.14,0.07,0.08,0.04,,,,,,,,,,,,
Quarterly Results,Depreciation,0.56,0.86,0.75,0.77,0.79,0.72,0.75,0.78,0.88,0.89,0.91,0.92,0.96,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.56,2.05,-0.52,0.81,0.93,-0.43,-0.04,0.11,-4.27,-0.40,-0.09,0.15,0.31,,,,,,,,,,,,
Quarterly Results,Tax %,25.00%,31.22%,0.00%,14.81%,30.11%,-2.33%,125.00%,36.36%,-27.40%,-25.00%,211.11%,-133.33%,96.77%,,,,,,,,,,,,
Quarterly Results,Net Profit,1.14,1.27,-0.52,0.69,0.66,-0.41,-0.09,0.08,-3.11,-0.30,-0.28,0.36,0.00,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.11,1.24,-0.51,0.67,0.64,-0.40,-0.09,0.08,-3.03,-0.29,-0.27,0.35,0.00,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,47.86,,,53.40,,,,39.63,,,,46.08,61.06,67.81,39.44,53.88,,,,,,,,
Profit & Loss,Expenses,,44.43,,,45.38,,,,38.00,,,,42.59,52.48,59.86,35.69,45.22,,,,,,,,
Profit & Loss,Operating Profit,,3.43,,,8.02,,,,1.63,,,,3.49,8.58,7.95,3.75,8.66,,,,,,,,
Profit & Loss,OPM %,,7.17%,,,15.02%,,,,4.11%,,,,7.57%,14.05%,11.72%,9.51%,16.07%,,,,,,,,
Profit & Loss,Other Income,,1.88,,,0.23,,,,-2.62,,,,0.47,0.15,0.31,2.26,1.14,,,,,,,,
